label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	1
5	1
6	2
7	1
8	1
9	2
10	2
11	2
12	2
13	2
14	1
15	1
16	2
17	1
18	2
19	1
20	1
21	1
22	2
23	1
24	2
25	3
26	1
27	2
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	2
37	2
38	2
39	1
40	1
41	1
42	1
43	1
44	1
45	2
46	1
47	1
48	1
49	1
50	1
51	2
52	1
53	2
54	1
55	1
56	1
57	4
58	1
59	4
60	2
61	1
62	2
63	2
64	1
65	2
66	2
67	4
68	1
69	2
70	3
71	1
72	2
73	1
74	2
75	1
76	2
77	2
78	2
79	4
80	2
81	2
82	2
83	1
84	4
85	2
86	2
87	2
88	2
89	2
90	2
91	2
92	2
93	1
94	4
95	1
