label_id	feature 1	feature 2	feature 3	feature 4	feature 5	feature 6	feature 7	feature 8	feature 9	feature 10	feature 11	feature 12	feature 13	feature 14	feature 15	feature 16	feature 17	feature 18	feature 19	feature 20	feature 21	feature 22	feature 23	feature 24	feature 25	feature 26	feature 27	feature 28	feature 29	feature 30	feature 31	feature 32	feature 33	feature 34	feature 35	feature 36	feature 37	feature 38	feature 39	feature 40	feature 41	feature 42	feature 43	feature 44	feature 45	feature 46	feature 47	feature 48	feature 49	feature 50	feature 51	feature 52	feature 53	feature 54	feature 55	feature 56	feature 57	feature 58	feature 59	feature 60
1	-3.1384321245860973	-1.8764929760390785	-0.2428876662511507	0.6193436015433513	-0.0443654226336145	0.46547144844527105	1.2239826367653306	0.7314782359449565	1.907722480380184	2.0496663177905683	0.3200137898950301	-0.5580715577301071	-2.3562523902880645	-2.308787198939063	-0.9898586320924642	0.0393360552306849	1.0733648342645454	-3.295633546455212	-0.4007641295196955	0.1690948497522622	0.1100911838333291	-1.2000562585532542	-0.8277503736419395	2.5004897874238226	-2.5725100066353397	-0.4672535849000008	-3.7750135170008963	0.6555224277730782	-0.3573006743416167	0.7387161660118873	-0.6081911224444183	-0.8675751754565688	0.5529042241541635	0.714734475675658	0.5129355333153871	-0.7051503993071537	0.5178278560932528	2.674167985009092	-1.970435390199711	0.2758925995508816	0.0893649660595414	1.0029308723010122	-0.972170068843047	-0.5279521049692133	0.2625417921439601	-0.7444304458905076	-0.4441052163533361	-0.8368117343293808	1.11344018906439	2.343259056767831	1.6835548657319894	-1.1536033269541708	0.0464908921668056	-1.9716409552472005	1.5955115506187112	1.928474409976732	2.6416094466568665	-2.899546927237732	-2.4920210249267667	1.2527542890215302
2	-2.646940460965431	-1.5138483067475987	-0.4546517725771638	-0.161524728300445	-0.4210033425038914	0.3388099183934284	0.2699967548981939	-0.0511368334538098	1.946364275010756	2.980935192739821	-0.1676636264833609	0.2332298492452564	-1.9162218337349244	-1.999297548330887	-1.2614755115901364	-0.4695701368024797	0.2340789209701102	-2.486933967103419	0.0651126916893996	-0.18076615538050397	-0.0639509695360263	-1.2837577315923192	-0.7927161177979438	3.436174954829238	-2.387580317611611	-0.4388285936806068	-3.1365649860092906	1.5421689158952625	-1.053879599536772	0.979783720700642	-0.0917517169214627	-1.0998889999638355	0.7126331991560295	1.3739317490178928	1.1824171959586138	-1.127249954979699	1.02794423911184	2.111706622832678	-0.6792026067786141	-0.2077906156634328	0.8685782694520277	2.0262442279996926	-0.8009094547238051	-0.049764171380898	0.8222876518760134	-0.2111416877876861	-1.661564376557373	-1.4427546786619023	0.5952096060975287	1.5075922694605195	0.0204639722066017	-1.0199700239472116	0.8802206488696802	-1.9400949389773496	1.9438247390418355	-0.18970699110736103	2.257133664526333	-2.1644889510819105	-1.8667975479081824	2.186371079857488
3	-1.8882390790113304	-1.2480786790121892	0.2469434493727555	0.3212547663018261	-0.8416151699705005	0.850854307799903	0.5359369095216596	0.0513979820320641	2.0338897710932136	2.2529131208840862	-0.1167643401137676	-0.7411468918870838	-1.3267239151001244	-2.127287283161167	-0.7895756087118937	-0.4547619564859201	1.0031317948591574	-1.9872540380384045	-0.2484067258183153	0.2737020642398413	0.0780824505337745	-0.5337968830742659	-1.0901785319836357	2.398787449421864	-1.7828697111081582	0.0180738800375937	-3.4394901774888207	0.5123545751990055	-0.9982366022068736	0.7766847597265019	-0.4081528170621196	-1.0366312040508836	0.857926172256432	0.343048765966343	1.7172874281314958	-0.7930122693406452	0.55462935659894	1.9779357947939489	-1.4356245548062687	0.7316871517609265	0.2740630247077309	0.6305044150662327	0.2163334326310497	-0.0875570599139945	0.056433935947503	-0.3453399482533819	-0.6836585713080892	-0.3887999272547762	0.5921735215269388	0.9629730956255508	0.4605018029899776	-0.7558563120473911	1.5567153726656997	-2.061672728438145	0.8860734585565986	0.480669622984331	2.142071391340433	-1.8281829994744272	-2.2830497995585697	1.646412285113409
4	-3.4694189341632247	-1.525392497097442	-0.489055506742125	0.3507275030587338	0.0086595154359468	0.4627767680955142	1.3032690685942816	0.2477637963177146	2.2990429754544506	2.010451127498796	0.6624905364544525	-0.1575533842360248	-2.265069524944113	-2.574882291098506	-1.1191173641567402	-0.3942777115067061	1.38880283568739	-2.862278216844806	-0.3946971590139481	-0.2653546704920548	0.1853464084219926	-0.5413237260788186	-1.4123879568951399	2.3899523918929435	-2.4356333187665338	-0.7624124390796356	-3.500683833479656	0.6047519761996836	-0.247237037087082	1.281241902198673	-0.5392406141860939	-1.268827794652489	0.7092658078662204	1.0227327440319876	0.457269297513891	-0.566535455968117	0.50103335189957	3.062803271614603	-1.2249007343742735	0.1493491390712416	0.0359173979460019	0.1975069181546311	-1.45815284550372	-0.1010957297595736	-0.0441068979175969	-0.4116513952567593	-0.9319925864109108	-0.6815609971070189	2.1291498031627922	2.390006010792808	0.6425690044864483	-1.4156886181662005	0.3739991689011184	-1.7104002483618248	1.8867453896380364	1.871117717919576	3.1172388001360667	-2.1467851068669743	-2.6466393355554896	1.4781077347526344
5	-4.005401913698414	-1.745582386375983	-0.6485654473174185	0.5878643148750713	0.0515716147287708	0.4237055310009382	1.2037307406676914	0.3710914637412736	0.8961116895605752	3.72527234660136	-0.1838530564801531	-0.4201080400672821	-2.687900786046316	-2.488583960536043	-0.1324767985125445	-0.4051591529187447	0.6496228955192923	-2.4666498543110342	0.8997562193431894	-0.2263381217018913	-0.2711735606766079	-1.2240843532473702	-0.6771350807465707	1.4734574245258152	-3.2617631810119683	0.5721584908132122	-3.182070186270773	1.7853958175389484	-1.5808288226968754	0.9902899529517571	-0.4261165570862771	-1.990069057833536	0.4083254754372329	0.5820921276965028	1.8972825950789387	-0.6675749287859112	1.4869857345015411	2.2528280501789046	-0.7276181752562425	-0.0227947410118254	1.1249479294695592	1.1732637264637402	-2.0962473360724854	0.238784438516034	-0.0149353665557931	0.2217924290068031	-1.4467813643236904	-0.8167766159569174	1.2346400159818849	2.625822457627457	0.9073121068103172	-2.5019753062647556	1.3354165245630287	-2.1031399139818157	2.6554521645577864	0.8913584352874533	2.5742336778456885	-2.724195658991156	-2.869247210111612	0.5450483521346965
6	-3.190970657785816	-1.6059834051276245	0.5380958262387926	0.1553849313097763	0.0805770420083981	0.6225247423330119	-0.1067571169758223	-0.2825107790120089	1.990692749997955	2.7563747820619517	0.1480959449602292	-1.8992092847812019	-2.067127831675711	-2.020084061075867	-0.3378651646357513	1.0658431257214815	1.7172906030227435	-3.850967146737844	0.4876900050401063	0.831579886069663	-1.5027254143017017	-1.7763493136020354	-0.6015153073043948	3.657530435132478	-1.618500143836206	-0.4644700985517783	-3.686147358090848	0.9972387753978498	-0.8433298361516148	0.5675922408295415	-0.5148921861682187	-0.9262809362551137	0.489375066415342	0.2761199816943365	0.4475214625953452	0.1854838120128615	1.3819548887324284	1.632473734585586	-3.3823901929107736	-0.665930565508293	1.1778885610382641	2.4389815607860688	-1.7001717304112756	0.0773680568817236	1.3578931543322812	-0.032161850713243	0.3148240830710804	-0.7064433280614768	0.6433073029628984	1.6989037126677875	0.5472301512740361	-0.9300362567539469	0.0082452041992149	-1.1932528518191168	1.3417758601650869	0.3552061864917791	2.0720637351755133	-2.889225898410166	-2.3236889611204137	2.0601494732580505
7	-4.190829990848711	-1.4006760994519314	-0.07948045615069502	0.8691813498280998	0.1902157904173911	0.0501434394974881	0.2631130125701511	-0.5251231320745514	1.8805693055907682	3.091493395956561	1.3004922382868824	-0.053646629742607	-2.5930324460991097	-1.9894002978343768	-0.6981873403113044	0.0680990512478237	1.5522798589415419	-2.569307497953317	0.1990237572945492	0.4378561127582223	0.0292488064234066	-1.5683545169119282	-1.610990198429986	2.9219869331402832	-2.9577139746522323	0.2470295919244639	-2.8711070121532374	0.9383381806220724	-0.8369471204088548	0.9420820950668178	-0.4608411602272335	-1.0744618101345529	1.141752325810144	0.8871949574859443	0.9219513405761436	-0.3023685601493034	1.5134888954538401	3.595565260164949	-0.9676343497707708	-0.3258318084922678	-0.1275715914257582	0.5096666609304874	-2.1445861124316496	-0.31043069402254103	0.0850748552866327	-0.4392225815766237	-0.6757124274531692	-0.226705423813482	2.217287239009063	2.0559496396508274	-0.6191547643462112	-2.0578723859638317	0.6883151551552573	-1.7720252756946238	2.1451844502725517	1.1436355438372643	2.134982708014592	-2.9872429334809607	-2.3755480605175734	2.239350315864206
8	-2.8112499893375924	-1.2956833098624043	-0.4819273673748424	0.4341761072806804	-0.6464423965336764	0.4813761808792584	-0.0661038729931413	-0.1305959713987257	-0.0654600364824027	3.2972463266599505	-1.1567958356632464	-0.383363521916618	-1.903296523005411	-2.0491184443642494	-0.4574693986769209	0.0160631258837548	0.0722234323829786	-0.1562693916581921	0.7715976731422489	-0.6333809136511492	-0.1805183092469486	-1.248079336434362	-1.3155506480762098	1.299896085165221	-2.151368696603172	-0.342807305717308	-1.66481538369941	1.7205274302758662	-1.0391571133547233	0.1528624923199482	-0.3470148546270734	-0.8110831493531165	0.534684935215777	0.3653789640437572	2.6538509867958777	-0.6860021297823921	0.8104480401695473	1.1707514288533205	-0.8458605959155143	0.5721301945272614	0.6622824847750719	0.1845922495369043	-0.8200233087169257	0.0422551171664871	-0.1302763145128187	0.3751566063339397	-1.8087012706618824	-0.4152201891921514	0.5163425847182554	1.4167469189421171	1.2586612313009788	-1.7208716600195777	2.0392732554000492	-0.4996810872695625	2.0554572607427493	0.1729097221553787	-0.1580619621365162	-2.1689417103272866	-2.089729199241285	1.4450272503893102
9	-4.5903963076227985	-0.9882872303712926	0.9635484834018307	0.5503231670686541	0.0936076784713103	0.0560176200762291	0.4862614314875385	-0.3686577111997602	1.5161072501890462	3.612636059020041	0.7980314715559861	-0.8360965065404615	-2.7075052235984347	-1.6642366638834156	0.2519268128134557	1.0853894752507696	1.8671908619675108	-3.0120954067156984	0.7554895943959425	0.3883751155339277	-0.5983194521940047	-1.8903507662501953	-1.4235826919128736	2.502956879990682	-2.6239893235899023	0.3202447057544901	-2.9478963975499646	1.6114179861308742	-1.60108755626748	1.1035790151474385	-0.6143852493626045	-1.7378026124880628	1.0185014951100744	0.6323723968683106	0.548778661788603	-0.2832362932144277	1.7455799551530125	3.2533660697769378	-2.087419496681253	-0.9703209696177896	0.2437173693746133	0.96920764326501	-2.64504521539077	-0.7572782868960264	0.4666988547089197	0.0131382968643929	-0.0794807307908924	-0.2498209235267499	1.9176192426546383	2.0885461556124367	-0.2664708614424009	-2.358867093584816	0.8626056937740221	-1.5384044484902468	2.759004755518645	0.5171598020006375	2.0731324379759957	-3.516889937005621	-2.7985615407977904	1.7216004484015268
10	-4.020986101708752	-0.25013947340489	-0.929309236012807	0.5708697436341468	-0.281534838099837	0.2765646485581959	0.8411725090484432	-0.1331127098970023	1.4041567438510874	3.9185239812803214	-0.6061297427378295	-0.6956559457040525	-2.077091680985666	-2.2739115599790587	-0.5608747434160299	0.049880427443415004	0.1610656620436635	-1.3479790633746591	1.2157786802493398	-0.5538501870188695	-0.3082607418014316	-0.4418129826359944	-1.1121133643812184	1.582604910221118	-3.6512593422263526	0.2151082807028753	-1.7466426510291866	1.9997697227264453	-1.8186144700859064	1.1265278973427344	-0.0869737208548824	-1.7175175108490124	0.5436599851695287	-0.2837514002368337	2.917422226507621	-0.7029181573355292	1.4955950189578735	1.951597871726064	-1.0058476073496279	0.5099017794690184	1.338330015260489	-0.1426202330091861	-1.9692876510494888	0.9596253987344884	-1.1066695472925905	0.370019165795397	-1.6523137659650122	-0.7042548554728979	0.7682083727277882	1.5195790281787849	0.7436322576336061	-3.113845820422933	2.1484822390850464	-1.7328804706996708	2.5820563634958016	0.0446489231830925	2.434538252110793	-1.8423548916199264	-2.4809107250000535	1.2450765210407373
