label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	3
6	1
7	1
8	2
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	2
22	1
23	2
24	1
25	1
26	1
27	3
28	1
29	1
30	4
31	1
32	2
33	2
34	2
35	2
36	1
37	1
38	3
39	2
40	1
41	2
42	1
43	2
44	3
45	1
46	2
47	2
48	1
49	1
50	1
51	2
52	2
53	4
54	1
55	2
56	3
57	2
58	4
59	2
60	3
61	2
62	1
63	1
64	2
65	1
66	2
67	2
68	3
69	1
70	3
71	2
72	1
73	3
74	2
75	1
76	1
77	2
78	1
79	1
80	2
81	2
82	2
83	2
84	2
85	4
86	2
87	4
88	3
89	2
90	2
91	2
92	3
93	2
94	2
95	4
96	4
97	1
98	2
99	4
100	1
101	2
102	4
103	2
104	1
105	2
106	1
107	2
108	2
109	1
110	2
111	2
112	1
113	2
114	4
115	1
116	4
117	2
118	1
119	2
120	1
121	2
122	2
123	2
124	4
125	2
126	4
127	2
128	4
129	2
130	2
131	2
132	2
133	2
134	2
135	4
136	4
137	2
