label_id	PC 1_CDMPRtagRFPt_CFOR_pca_predicted	PC 2_CDMPRtagRFPt_CFOR_pca_predicted	PC 3_CDMPRtagRFPt_CFOR_pca_predicted	PC 4_CDMPRtagRFPt_CFOR_pca_predicted	PC 5_CDMPRtagRFPt_CFOR_pca_predicted	PC 6_CDMPRtagRFPt_CFOR_pca_predicted	PC 7_CDMPRtagRFPt_CFOR_pca_predicted	PC 8_CDMPRtagRFPt_CFOR_pca_predicted	PC 9_CDMPRtagRFPt_CFOR_pca_predicted	PC 10_CDMPRtagRFPt_CFOR_pca_predicted	PC 11_CDMPRtagRFPt_CFOR_pca_predicted	PC 12_CDMPRtagRFPt_CFOR_pca_predicted	PC 13_CDMPRtagRFPt_CFOR_pca_predicted	PC 14_CDMPRtagRFPt_CFOR_pca_predicted	PC 15_CDMPRtagRFPt_CFOR_pca_predicted	PC 16_CDMPRtagRFPt_CFOR_pca_predicted	PC 17_CDMPRtagRFPt_CFOR_pca_predicted	PC 18_CDMPRtagRFPt_CFOR_pca_predicted	PC 19_CDMPRtagRFPt_CFOR_pca_predicted	PC 20_CDMPRtagRFPt_CFOR_pca_predicted
1	-0.7172733011020541	1.8732571388801875	1.2513696932359175	-0.0374131098169992	0.1296884419568015	0.3659837810453737	0.0331918236956416	-0.1202642190549817	-0.4099019607448773	0.1933431949303786	-0.2248135389116628	0.2146644261014648	0.2381519020539248	-0.0916556556707734	0.1076887919484966	0.0202236967616494	0.0811625620762156	0.1253496763865504	0.0354889861206789	0.0459561464786081
2	0.6875083008152638	-3.470936443166241	-1.3462045995145642	0.0183565168877744	-0.2435111436999744	0.0153765542573246	0.2842298383088679	0.0642378429225967	-0.2933866657280963	0.0956497330657699	0.1078915905027421	-0.109648011704238	-0.014567746538827	0.0180929107985213	0.157768543109264	-0.0118002512447492	0.1347495865507924	-0.063791258267123	-0.1425718116045332	-0.0186987665305381
3	0.4624149019061005	-3.3718188881301425	-1.0252830585069037	-0.6374219911472986	0.6941919530983042	-0.4411964953198376	-0.2469409313092711	-0.1206623549726651	0.2186330364492363	0.1379987445172526	0.04932343861698	-0.1353716464919416	-0.4023885384323726	-0.1584651339663513	-0.0718839348248817	-0.0320812375222059	-0.1678813707900994	0.0484469735085984	0.1315611395327315	0.027649714723478
4	2.3563584794044217	-5.8618398781998895	-2.4090786670210105	-0.0606258284603433	0.4679754015375589	-0.4047332053235061	0.263324896247595	0.2287146751021717	-0.0480654260694023	-0.1326228959114846	-0.0048640460536886	-0.1194892955814475	-0.2165606637221794	-0.0119087254723009	0.0512397152367896	-0.0274114743183546	0.1002723347902683	-0.1709920331109161	-0.0964308430820152	-0.0326822698339841
5	-0.170840012743879	1.2786405449799405	0.2214052648895071	0.5179173895924662	0.270406162585528	0.16574263176359	0.134505831865919	-0.1204673408168614	-0.2569862700862734	-0.1711772571726296	0.0122181141176941	0.0882032584083225	0.2598577547555893	0.019950758010192	-0.0821401401983804	0.0543530239333979	0.0549785989392654	0.034342586836052	0.016786054963605	0.0515194687373933
6	-1.3493804288890927	2.95482186600244	1.8336883093412208	-0.1418351153596916	0.231748145204903	0.4168286966142987	-0.0628085976200447	-0.1188646491320944	-0.6177512519204093	0.4044178211165602	-0.3712863622145604	0.3800167762789168	0.2729527972199065	-0.276705782881835	0.2083034747420063	0.0502310648809583	0.1957058089747241	0.1075321315076968	-0.0198868545443237	-0.030941956414236
7	-0.0013080890500075	2.009091811052849	0.5523063221703735	-0.0729369068540902	1.0909458850535527	-0.0644918044376085	-0.2112768135447754	-0.4163136100616882	-0.0678393966123983	0.1979098244049076	-0.1483929484833618	0.0537796916918724	0.2342874242449785	-0.0148410092972355	-0.0430230437002087	-0.0025255185323258	-0.1464071804657822	0.0051753417578258	0.0475155805036208	0.0665467871787386
8	0.6096741516872962	-3.070762355338444	-0.921282812415986	-0.8931636379211222	1.1182367851431532	-0.3874080061673482	-0.3015702062289647	-0.3122872568544478	0.1778816329905578	0.1696153973708711	-0.1831263910373892	-0.1485431414612714	-0.3168760728360268	-0.0308426327989795	-0.0104848128435058	-0.0153118432986673	-0.2333541230638615	-0.1000967000455137	0.0947919439033509	0.0513617752613278
9	-0.231157139532199	3.3257909260279934	1.4669523376900169	0.4948850728505092	-0.4404527706926974	0.1560509842043328	-0.0966705709471978	0.5400546032267479	0.3886460668677031	-0.0984214623825098	-0.2061528284854961	0.1810116542491144	-0.1168721291372356	-0.1533687648051308	-0.0799041562660927	0.1533034075103688	0.0059751641624891	-0.139977930549374	-0.0569876676318484	-0.0985813564065097
10	0.5964997018710011	1.070669940510775	0.2716087976564127	0.1662174319445403	0.8431829496025963	0.5456298408952996	0.0684961254634965	0.1570540713619116	-0.365688886793751	0.0932453056236295	-0.2225751819193642	0.0380904732729555	0.5678351173104432	-0.1075631444006312	0.1257671313488679	-0.0412451930132574	-0.0971571680748564	-0.0567620856492661	-0.1818303889876881	0.0277299797760305
