label_id	Predicted Archetype
1	1
2	3
3	4
4	3
5	2
6	2
7	1
8	3
9	2
10	1
11	2
12	1
13	1
14	3
15	2
16	3
17	3
18	3
19	2
20	1
21	1
22	1
23	1
24	2
25	3
26	3
27	1
28	3
29	2
30	3
31	1
32	1
33	2
34	2
35	2
36	1
37	3
38	1
39	1
40	2
41	3
42	2
43	1
44	2
45	1
46	2
47	1
48	2
49	3
50	1
51	2
52	2
53	1
54	1
55	2
56	2
57	2
58	1
59	2
60	1
61	3
62	2
63	1
64	1
65	3
66	2
67	1
68	2
69	1
70	1
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	2
82	1
83	2
84	2
85	2
86	4
87	3
88	2
89	4
90	3
91	3
92	2
93	4
94	4
95	2
96	4
97	4
98	4
99	2
100	3
101	4
