label_id	PC 1_mKate2rab5_TFOR_pca_predicted	PC 2_mKate2rab5_TFOR_pca_predicted	PC 3_mKate2rab5_TFOR_pca_predicted	PC 4_mKate2rab5_TFOR_pca_predicted	PC 5_mKate2rab5_TFOR_pca_predicted	PC 6_mKate2rab5_TFOR_pca_predicted	PC 7_mKate2rab5_TFOR_pca_predicted	PC 8_mKate2rab5_TFOR_pca_predicted	PC 9_mKate2rab5_TFOR_pca_predicted	PC 10_mKate2rab5_TFOR_pca_predicted	PC 11_mKate2rab5_TFOR_pca_predicted	PC 12_mKate2rab5_TFOR_pca_predicted	PC 13_mKate2rab5_TFOR_pca_predicted	PC 14_mKate2rab5_TFOR_pca_predicted	PC 15_mKate2rab5_TFOR_pca_predicted	PC 16_mKate2rab5_TFOR_pca_predicted	PC 17_mKate2rab5_TFOR_pca_predicted	PC 18_mKate2rab5_TFOR_pca_predicted	PC 19_mKate2rab5_TFOR_pca_predicted	PC 20_mKate2rab5_TFOR_pca_predicted
1	0.2390491643896823	-0.0982807135419318	4.435020748511408	-1.6178730897746494	-0.8469542425057632	-1.5176533703866548	0.7701996771932951	1.499101052214101	-0.7150341169689516	0.5000478349473416	-0.3254494516660583	0.8692975388522477	0.7091397164413493	-0.5489443540623641	-2.130192100770804	-0.3718302023413194	-0.5161939049322257	0.0406094555696265	0.0507516267840966	-0.2344915403811955
2	-0.3643523624231668	-5.101412693375662	1.9779721324647064	0.544329974359977	-3.9148780727998727	0.5368497303745725	-0.4570107421875153	0.3995828876369707	-0.6080553100367719	0.4541140935725527	0.2431865270597749	0.990963393148915	-0.0715581612659867	-0.6005309713432112	0.669185561706537	0.3888020473774655	-0.1224780986580065	0.5685502751292228	0.8366930837711113	-0.4521799674051556
3	-3.005158811297663	3.3643445319446177	3.1213944800259514	-3.266839827615117	-2.0490263799439283	0.4374130160603959	-0.3498460513335377	-0.505219408763125	-0.9441874388200842	0.0333073345767436	1.2534719457864671	0.9018921786834326	-0.7210334852068137	0.0334434666604366	-0.0395189877547865	-0.3549781677213756	0.7738346025574472	0.2774737171892989	0.3898306218832469	-0.7865191102102371
4	-4.810644895229143	-1.6839062618123246	3.5252570374300083	-0.7064299132374234	-1.1141590137316015	-1.3564684559926947	-3.629441438394144	0.8259667593814832	-0.4177093019920623	-2.3356935484262102	0.8005763739346479	-1.4696551159656617	-0.5719680091943928	0.2633324446798148	0.0081065472847283	0.2558902032674223	0.056757581570715	0.7492505214147374	0.1132651878051245	-0.3543974539564014
5	-5.369575314843611	-4.573755699988464	3.926875188679325	2.420866084263354	-0.1187732104112555	0.0076384520641488	-1.1822857673662297	-1.3530215662076692	-0.6494570790321323	-0.5675411196425169	0.0997941641505785	-0.3262626039979945	-1.3256727631094627	-0.0887161462751713	-0.2385626335812789	-0.3914964343637509	-0.5306592475884913	0.3434959573646596	0.0159515520636954	0.0417396623969055
6	-1.4652534294447626	-3.4037181003172665	4.745760803801018	1.8190477445955668	1.2910067981475066	-0.7298089800027627	-0.0610938343465807	0.7076118798716173	-0.4486503751018742	0.2364883273028366	-0.2792487058641716	0.143107652123767	-0.1992916535038098	-0.9988125780898685	-0.4211265127142356	-0.2249394990654375	-0.1703133816800666	-0.0881353960194173	0.3250409133697207	0.0494918766295691
7	-4.329871241679639	3.5193619162653005	2.0551335663863872	-1.8198905409995496	-1.6988783200082092	-0.7282016786320087	-1.27861856027039	0.4254547735604532	-1.2945290619221343	-0.5792564110328728	0.460556100163961	0.95098639517599	-0.6999079735607516	0.5885943955277355	-0.7894646730749217	-0.7900278497109926	0.0492808862985618	0.2283395198768938	-0.0742972267189525	-0.4648499949759901
8	-2.0207693445629302	-1.2373334625287875	-1.8831233272928007	-4.364144467488473	0.6058299183954219	0.9299137278129584	0.6798728992425094	0.4004774211011224	-1.896262093003828	-0.5546497603716356	0.2701633399873503	0.4218424235481084	-0.3496984565642229	0.5836321186723232	-0.7589765654077008	1.152514893468502	0.3301114005391781	0.0295960711301008	-0.0036373205934214	-0.4102382771000257
9	-5.904883306728302	0.886172622035922	1.025687730312476	-0.332128648646405	0.5187328208649369	-1.951170866036344	-1.7385570183474837	-0.1520681403596739	0.1689364327120759	-0.551284609194749	-0.3876059149688925	-0.1135967492647775	-0.9245434735365698	1.1884401791364745	-0.5150749968083597	-0.7515654140325642	-0.5734794122771334	0.1727987856726154	-0.6534356551715756	0.2301914133916374
10	-4.706368010698808	-2.0130744407162697	1.1136298512057927	-0.1871842870507958	-3.2244982051602835	-0.2524772583521484	-0.1566065551655082	0.8554926547374642	-0.9914116929693724	1.2409133070064229	-1.1128710607226768	1.5174053990075969	-0.3640033810494394	-0.5913775266908416	-0.1218704358140216	0.0360711222666262	0.395208240142481	0.1780544179481575	0.2763347209121551	-0.0067998661555921
11	1.239637740984096	6.153269927487094	2.1867903356995404	-1.541473320593619	0.621636827553349	0.8602315016790767	0.4786323120498057	-0.54187423535679	-0.9555888864009714	-2.107303028516494	0.6981013924744505	-0.2389099444611488	0.6300149985398988	-0.2653999221318308	0.2327136765019473	0.0212654920882852	0.0572044630141597	-0.1544374307675615	0.0952815937768161	-0.0907575266522697
12	-1.6546279171119358	-3.210255372694113	-0.2675964948714238	0.2912239735386475	-1.4227914435103592	-0.7875664481083193	-0.7060321885660041	0.7539736638267911	-0.8996821601649683	0.4023253325716316	1.1432946406588849	1.1054995494887052	-1.0231119818903878	0.2087979921655289	0.0310720845453778	0.3017966311529289	-0.1112394647538004	-0.3002744473080019	0.3980641061527574	-0.3251280008072483
13	-1.6911559319747105	-3.2610570515141712	3.946568526717996	1.9677241307997395	-0.5555596021650224	0.5277028063948093	-0.2175206115549652	-0.4864845048926938	-0.2029471192457745	1.067687379828726	-1.0993662637493298	0.2062289504059471	-0.7886749172230125	-0.9964451114619132	1.0783024245446908	0.3669245548884768	0.1170907177665661	0.3999427040187735	0.037786867984094	0.2427302849720072
14	-3.607384694900472	-6.088139494296431	1.6322092647876822	0.22723411318991	-0.1207802137149904	0.0752426596162463	-0.5664511247948436	-0.574881524853339	-0.3343402512369775	0.3104168269005389	0.3816511164145292	-1.0592985340127452	-1.3738424238228468	-0.8244655013009989	0.6185605525638591	0.6196279681786189	0.259615635407713	0.2048371872476517	0.2256857152907212	0.0430111956801195
15	-2.2305372301954463	0.6358612912041156	1.5739532634179334	2.5563854896973432	2.0710230108978145	-0.6849792942543838	-0.7726987891857622	0.1568343276273509	-0.5023391449782939	-0.0204787577117822	0.2180403106543965	1.007807999068662	-0.8871935969104321	0.0475228077865459	-0.0342778894956277	-0.7674984259360609	-0.0344887197379322	-0.2146258403827194	-0.2891669982913516	0.1245058845551292
16	-3.4939183557660924	-0.4109275214916398	5.567379499590036	-1.6624776116064108	0.9591698661340544	-0.2892606020348021	-0.1223456839533039	0.3524340595539605	-1.7158623696043882	-1.1813791547857806	-0.9384867505648576	-0.4988523188393916	-0.0395339243044679	-0.0321939812690637	-0.9373584537503392	0.1312357651725485	-0.3787475635164725	0.1115530672857121	-0.1920878731317099	0.0648189439708599
17	-0.2904696311300774	4.722704386966125	0.7180600819613041	-1.8582443259540733	-1.3623057923101245	-0.7688181576943878	-0.9264338853409572	0.104459729580931	-0.1506632584767051	-0.2522652240279941	-1.0346710955523992	0.4171097527862457	0.98883883624665	0.7269125727489367	1.0777564682279417	0.5280008504948744	0.3075936365200185	0.308718206359295	1.1919579527974538	-0.5565258796787353
18	-4.005322479679185	0.5565850869821464	0.5727597632198844	-2.3826728796933465	1.9739990437124568	-0.9237207806029036	0.5338706492624876	0.5339229025530798	-0.7916186329572529	-0.5427897253602014	0.1432514545870215	-0.4913453054914285	0.0038683348799502	0.2680015839365346	-0.3093867545371624	-0.0299880757807896	0.1340602818131138	-0.612713427163772	-0.1780541752297589	0.1419413267498783
19	-4.615164255113639	0.5413465565683996	0.3597100168633169	-0.9757208038657924	-0.3931893493886456	0.4772585394318609	-0.0881110355705647	0.2380900009768858	-1.0661244224545716	0.0533913785515449	-1.4406990467508238	0.2122998265947888	-0.8923472381022249	-0.5520884371248336	-0.0703611934900694	-0.6026079990985173	-0.3821334931358102	0.1017629233005659	-0.3282286510490575	0.3379763747092519
20	-5.135129211627745	-4.013668440255152	1.0146198887359354	-0.4514244737585944	-1.0118418834916518	-1.1542843375426852	-1.6869351982025211	0.6120790348484846	-1.0450326645413424	-0.2817689558164036	-0.0902377725289779	-0.7828284208296914	-1.285554287248445	0.1713302959587217	0.2034775536833484	0.9497435696541776	0.264109664766839	0.3832907646854375	0.079691030617182	-0.2001774997894467
21	-4.083815868688018	-0.9039146829222592	1.90646524535656	2.8213222505353768	0.0281160656855732	0.2619214275821475	-0.6564747305252379	-0.9747128981389748	-1.0767197262151496	0.1226869740343621	0.2753028477201712	0.4069313188102281	-1.6514613995055782	0.4765114390621043	-0.1721260876866717	0.4825361222657397	0.1224949079687156	0.2988266410835225	-0.1938908663111949	-0.0217109520208818
22	-1.8871506371561089	-1.5339320301677044	3.627900188732976	0.5870072626702747	-1.0468482568021358	-0.8439179899814038	0.179705666083132	0.0761430405821208	0.3962315295130767	-0.032717776117096	-0.1634229191916479	-0.5745919763721421	0.4950422518489965	-0.6484758713865233	-0.8597146332768101	-0.3758099322321625	-0.5096722870820891	-0.1520074734772334	0.1067463870745175	0.4016326947864344
23	-1.03369221554888	-1.6798971693218545	0.9679836314021516	0.586083707697922	-2.7004404497095496	-0.0936281943738892	0.0818507079684121	1.0330937041819794	-1.293211769103888	0.1626080549263908	-0.7252748037800228	0.2328279159298159	0.5771435338634952	-0.3166063002170105	-0.4003596388024286	1.5375927681759376	0.4064717154029587	0.2880679226195222	0.3296646717258387	-0.0524325284562396
