label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	2
12	1
13	1
14	1
15	1
16	1
17	1
18	2
19	1
20	2
21	3
22	2
23	2
24	1
25	1
26	1
27	1
28	2
29	2
30	1
31	2
32	4
33	2
34	3
35	1
36	1
37	2
38	1
39	1
40	2
41	2
42	1
43	1
44	3
45	2
46	1
47	4
48	2
49	2
50	2
51	1
52	2
53	2
54	1
55	2
56	3
57	2
58	2
59	1
60	3
61	1
62	2
63	3
64	2
65	2
66	2
67	2
68	2
69	1
70	2
71	2
72	3
73	2
74	2
75	2
76	2
77	1
78	2
79	4
80	2
81	2
82	2
83	2
84	2
85	2
86	3
87	2
88	4
89	2
90	2
91	2
92	3
93	2
94	2
95	1
96	2
97	3
98	2
99	2
100	3
101	2
102	2
103	1
104	3
105	2
106	2
107	2
108	3
109	2
110	3
111	2
112	2
113	2
114	3
115	2
116	2
117	3
118	2
119	2
120	2
121	2
122	2
123	4
124	3
125	2
126	3
127	3
