label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	2
12	1
13	1
14	1
15	1
16	1
17	1
18	2
19	1
20	1
21	4
22	2
23	2
24	1
25	1
26	1
27	2
28	2
29	2
30	1
31	2
32	1
33	3
34	2
35	1
36	2
37	1
38	1
39	1
40	1
41	2
42	1
43	2
44	2
45	1
46	1
47	4
48	1
49	4
50	2
51	1
52	2
53	1
54	1
55	2
56	2
57	1
58	2
59	2
60	1
61	2
62	4
63	4
64	2
65	2
66	2
67	2
68	2
69	2
70	4
71	2
72	2
73	2
74	1
75	2
76	1
77	2
78	3
79	4
80	2
81	2
82	2
83	2
84	2
85	2
86	1
87	2
88	4
89	2
90	4
91	2
92	4
93	2
94	1
95	1
96	2
97	1
98	2
99	2
100	1
101	2
102	2
103	1
104	4
105	2
106	2
107	2
108	2
109	2
110	4
111	2
112	2
113	2
114	1
115	2
116	2
117	2
118	3
119	2
120	2
121	2
122	2
123	4
124	4
125	2
126	4
127	2
