label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	2
3	1
4	2
5	1
6	2
7	1
8	1
9	1
10	1
11	2
12	2
13	1
14	1
15	2
16	2
17	1
18	2
19	2
20	1
21	2
22	2
23	2
24	1
25	2
26	1
27	2
28	1
29	2
30	2
31	1
32	2
33	2
34	1
35	1
36	2
37	2
38	1
39	4
40	1
41	3
42	1
43	2
44	2
45	1
46	2
47	2
48	1
49	2
50	1
51	1
52	2
53	2
54	2
55	2
56	1
57	2
58	1
59	2
60	2
61	4
62	4
63	4
64	2
65	2
66	1
67	2
68	2
69	3
70	2
71	2
72	4
73	2
74	2
75	2
76	2
77	4
78	1
79	2
80	1
81	2
82	2
83	2
84	2
85	1
86	2
87	4
88	2
89	2
90	1
91	2
92	2
93	2
