label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	2
4	2
5	1
6	1
7	1
8	3
9	2
10	2
11	4
12	1
13	1
14	1
15	1
16	1
17	1
18	2
19	2
20	3
21	1
22	1
23	1
24	1
25	1
26	2
27	1
28	1
29	1
30	1
31	1
32	1
33	4
34	1
35	2
36	1
37	1
38	2
39	1
40	1
41	2
42	2
43	4
44	3
45	1
46	4
47	2
48	1
49	1
50	1
51	4
52	1
53	2
54	2
55	2
56	1
57	2
58	2
59	2
60	1
61	1
62	3
63	1
64	2
65	2
66	1
67	2
68	2
69	2
70	2
71	2
72	2
73	4
74	1
75	1
76	1
77	2
78	2
79	1
80	1
81	2
82	2
83	2
84	1
85	2
86	2
87	2
88	1
89	2
90	1
91	1
92	2
93	3
94	1
95	1
96	2
97	2
98	2
99	1
100	3
101	1
102	2
103	3
104	1
105	2
106	2
107	1
108	1
109	2
110	1
111	1
112	2
113	2
114	1
115	1
116	1
117	1
118	1
119	2
120	2
121	2
122	1
123	2
124	1
125	2
126	1
127	3
128	1
129	2
130	2
131	2
132	4
133	1
134	1
135	1
136	1
137	2
138	3
139	2
140	4
141	1
142	2
143	1
144	3
145	2
146	2
147	2
148	2
149	4
150	4
151	2
152	4
153	4
154	4
155	4
156	4
157	2
158	2
159	4
160	4
161	3
162	2
163	4
