label_id	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20
1	2.8851615590815047	-0.5807770656704726	0.2120253967328966	0.1255843711469323	0.4184371726336791	0.3540161290529827	0.3578298965278481	-0.0866831268683848	0.0181277140248282	0.1944342547170608	0.1429810471451552	0.2200329293008604	-0.0129817829985105	-0.1046785574572282	-0.0915585506926746	-0.0085733086243514	-0.027080728124215997	0.0105503401525055	-0.0614660715189551	-0.027617519362027998
2	-0.4532272076494116	2.2555573180866757	0.3036632388404874	-0.8463454505324588	-1.285741165943448	-0.7131456579248424	-0.5199290873010599	-0.3405198932325841	0.3747691790872501	-0.5192333216398304	-0.3248441298726298	-0.4125901008982486	-0.0587374795229817	0.0600180807481559	0.2171157520591552	0.0661776293744251	0.1315014201710035	-0.0916813663396016	0.1241645542074534	0.023346624795878
3	-0.8884375480059117	0.5227018678891547	1.0515330224810064	-0.9855893230919066	-0.7300307540160984	0.1263929720075729	-0.7054387227441313	0.0804399233909291	0.2537316767243696	-0.5771028782695583	-0.3772421222957376	-0.7695317887234632	-0.0553466728156106	-0.0219106192211798	0.3199596091998334	0.0084984602577207	0.1447259926770314	-0.1203020690935017	0.0333551800588548	-0.114329386969257
4	-1.2051792324115809	0.4807717525977634	0.8236318095278355	-0.35638191729333707	-0.1554370114055926	-0.2000803502224707	-0.2590392109826501	-0.0517727542525381	0.2499572007355228	-0.2564738727889645	-0.1763587965521025	-0.4502590523430194	0.0330491002578467	-0.0414090161437009	0.0524447804265877	-0.0309025909052331	0.0850557445772438	-0.0028964280547193	0.0489546214075458	0.0058475988988996
5	3.1689611966784623	0.4655352061570564	0.7930851818616211	-0.9652607636716312	0.3168266481668211	-0.0732405833051881	0.0207639139586847	0.0692988486725323	0.2507509892629922	-0.1177229472053864	-0.1058324730599365	-0.2562686716241817	0.0551792499216046	-0.2259681388772016	0.0902322296110584	-0.0748125827950563	0.1023878230879442	-0.0069139805164111	0.0977033366533072	-0.0874882749321792
6	0.8110533674614332	0.3785154037833593	0.3678939145302868	-0.2152165002657891	-0.1757842066672399	-0.0170044917154292	0.0055631013878644	0.0015864237730023	0.09306161294841099	-0.0399247653712755	-0.099937835466526	-0.0141199836082021	-0.039720991531853996	-0.0878995429888899	-0.0638995687288259	0.0356622486422877	-0.003025807055348	0.0287575952160125	0.0172047041662181	0.0617016280984571
7	2.72791469681866	0.3925258639229547	0.8086538464364941	-0.5270372792625723	0.0589473845162429	-0.1594003019000729	-0.0317437178027796	0.062389803695864006	0.1679562931229082	-0.0426103990468869	-0.1218589758466962	-0.1950789091743182	0.044630758457311	-0.1067352266048157	0.0953536277745179	-0.0183740506462795	0.0502652026137103	0.0008569225212158	0.0475018343424559	0.0020962569011033
8	-0.8251679323752376	-0.9247121478437772	0.3853395982266555	0.2766628397413199	0.6622902518398415	0.2977439471543823	0.0232536572808415	0.1576647171495571	-0.1080920257501644	0.0776781817314323	0.0358259903146591	-0.0615462307087482	0.0292992669834097	-0.082727688432086	-0.0164983130489523	-0.0907675729318674	-0.0149502004051671	-0.0036897937625129	-0.055930530549448	-0.0757123319501514
9	-0.9507486611092506	0.5815586946306828	0.2241496057385959	-0.4288758222098929	-0.4990379425313208	-0.3464518116448701	-0.2154437839432018	-0.094226494577922	0.1349872108204114	-0.2326844820435298	-0.0774971947903775	-0.1782082088085655	-0.0182476815560149	0.0885547180143513	0.0657122296869942	0.05009955349081201	0.0998564837741984	-0.0312593731933725	0.0268833451766206	0.0447352769703942
10	-0.0254481550961242	0.4586845400932106	0.1147577700621543	-0.1070218511697509	-0.341988384272742	-0.2369769263523375	-0.0722217601910989	-0.0158053383073916	-0.007529057216921999	-0.1990357822606761	-0.014083551225701	-0.0876263805802097	-0.0132585563179758	-0.0062511023358452	0.0422305142117573	0.0543099472725746	0.0297183613365934	0.0095271805435729	0.0295566224478059	0.0339099852037491
11	-2.7715985681871893	1.1568498263440006	-0.4090304917194998	-0.1183068971141742	-0.8954876114045948	-0.5516416122830925	-0.0626033449999099	-0.2587264879412444	0.2015290088169657	-0.37102911140618705	-0.1469820396712782	-0.1740301063993983	-5.9392756639190515e-05	0.0529183833338657	0.0627246609762828	0.0829745692126705	-0.022336949059774	-0.0126730453383623	0.0386174635184022	0.0919632269028564
12	1.8330525940553648	1.039248921303168	0.4227549914677078	-1.0326670126588828	-0.1986690326585193	-0.4150663060812851	-0.2980435499284883	-0.0450563463113586	0.483734849899461	-0.2292224903795318	-0.2923442422073135	-0.4312830750031448	0.0912040527262581	-0.130025487738841	0.1410339811053029	-0.1519811598342316	0.1189059183517837	-0.0707988555666363	0.12781885428261802	-0.0043158874427026
13	0.9618643648188008	1.0967281970236271	0.5729231545360243	-0.6538742075890431	-0.8063737971822865	-0.40716892633290797	-0.3094644609227913	-0.1432434678850708	0.2736915072486392	-0.3796478991438717	-0.2157989217214479	-0.4505244797309207	-0.0034171351383233	-0.0441462501663952	0.0815264924998172	-0.0264996769316499	0.166909743101868	-0.0189577855168828	0.1465281409625312	0.0422927634320108
14	1.3328379645000854	0.8633084443303494	0.4788090604476838	-0.7508107768513833	-0.2333425389614124	-0.457630173797063	-0.0606967440864887	-0.0312709045237433	0.1589070515278823	-0.2405609818744431	-0.1001945319872312	-0.1614185955157497	0.0198807453294398	-0.0484402233275799	0.0720022172173873	-0.0010508855132022	0.0924630325300123	-0.0199032775984034	0.065813852860907	0.0184930792541301
15	1.0888124314630288	0.3158083929675582	0.4411081140215651	-0.1036629236364942	-0.1017843373818662	-0.1893127938938022	0.0390384280224929	0.0176209180324752	-0.0194135997106092	-0.11625032748479901	-0.0117083824045862	-0.0472109468357924	-0.0102180088967834	0.0026220844040802	0.0294108753257651	0.0450693626494816	0.0034136750762252	0.0240341436555278	0.0201334687338134	0.0311369410427905
16	-1.2446845436211575	1.7265627845923717	-0.0515259237945519	-0.6611630727819398	-1.38576400313229	-0.5249135279478605	-0.5326496671781074	-0.2794261842158378	0.1889292499769998	-0.5270584363676074	-0.2609870619985781	-0.3296045465798593	-0.0660865932695754	0.0985192667056727	0.2815792995234879	0.0930215473652223	0.1216178003908041	-0.1115320012553347	0.0888583066506372	-0.0176716201638168
17	1.6997566976362215	-0.0904434112651868	0.1743118380752116	-0.9025355499576736	0.4876169410256926	-0.1555896470437709	-0.1161934096111401	0.264801349463121	0.1492852847356467	0.0342202889081617	-0.1417208532313778	-0.1131145693721371	0.0737432832565013	-0.0786087819892489	0.0402191964694949	-0.1261036685214122	0.1242498174233253	-0.0857184406235347	0.0415788170787941	0.0012221762852901
18	-2.4929319549157585	0.4830626756692512	-0.1532435639485309	0.0383039560521044	-0.38970198238692405	-0.2378070922079381	-0.1610278478977165	-0.1444865210311856	0.1186649225523483	-0.1602207750291237	-0.0645503676359979	-0.144087356664863	0.0363067930409291	0.0885427088495897	0.0268818082556291	-0.0037371478008511	0.0152346427530434	0.0131905753943332	0.0563421722783778	0.0374034598286143
19	0.0024749290577792	0.8858623714280437	0.2096692048096572	-0.7482388894010168	-1.2020292856501782	-0.1158164198031839	-0.4525989591980452	-0.0790937861115847	0.3743575909375599	-0.4729965311162551	-0.3433411000548496	-0.5696919241075142	-0.0122126078290301	-0.0619413833409072	0.1851169173195314	0.0062113867734226	0.1157622205245616	-0.0682428671330528	0.1222326693840697	0.0273221831718585
20	-3.6474928916184552	1.8961959157367947	-0.4938012281581112	-0.6579896078621494	-2.0992337753151817	-0.7956531165646836	-0.5858878644243483	-0.6250195819907635	0.3729619762143299	-0.6822545945935355	-0.2274525519998985	-0.5833090245444389	-0.034076092503212	0.2862440067878774	0.2898220282338324	0.1564534832307062	0.2373428087865072	-0.1311896551615478	0.1031307375098164	0.0270387911171239
21	1.2242707238305557	0.9794255396896748	0.6294814644382898	-0.1500875319408036	-0.3532172978179332	-0.4567667495231248	0.0603478052855093	-0.2115572087897191	0.2406137125699146	-0.2089744880504425	-0.0241108563249042	-0.2806748426712414	0.0369443649645203	0.0234092506206764	-0.0248318322357505	0.0068619476834288	0.0528121792833079	0.054624774132506	0.1098310491514601	0.0647922621618525
22	-1.0830625997626993	0.5519606872612799	0.0866319897533235	-0.1190433109249574	-0.4088836605059722	-0.2814529142565842	-0.1213919048027757	-0.074926032637153	0.0438871003931473	-0.1833254019453199	-0.0742990391925322	-0.0390020822981227	-0.0072669407859634	0.0299677202346408	0.0235180611134079	0.0233181787306628	0.025882433842067003	0.0016505142015049	0.0385644988302796	0.0558410893219583
23	-0.4931700419931705	1.5741515720774646	-0.2392482125388872	-0.7054086724591523	-1.1526695498471549	-0.5534063593641629	-0.4134697746083811	-0.2022588777223294	0.2714816460126872	-0.3857580759484517	-0.2977116047397307	-0.1647239137539572	-0.0260717091001165	-0.0545828135754744	0.1303446067864632	0.0250412502121132	0.1064381716675839	-0.0509851667694074	0.1137007241836802	0.1107929565976924
24	0.1989899155523404	-0.2754059991793991	-0.1159289232430799	0.0658462001062175	0.3392952725888622	0.2252489244499838	0.1615701500171699	-0.1171498512135396	0.1430051734868764	0.1096510664404714	0.0593243054129347	0.0875799263942597	0.0295577231051674	-0.0772241949243042	-0.0977466621824868	-0.0795669498007747	-0.0238614077706583	0.0333293817512856	0.0074064268450269	-0.0137793175285729
25	0.7160154280501582	-1.0187690828501288	0.3728278506472673	0.1172338693066678	0.8352031486660311	0.4365009773968303	0.0127772404431161	0.1910027742510633	-0.1028156126579433	0.1695188031420999	0.0314106493557457	-0.0902740167578648	0.0122546856767762	-0.1287585639313601	-0.0370440512011206	-0.0890510764970652	0.0293668971971232	-0.0269692224692889	-0.0676180240603506	-0.10427030408948801
26	-0.4543965794691285	-0.072289663849471	0.4072026364068379	0.1874750312529022	0.0486328958873455	-0.0885265877586601	0.1011936474263361	-0.0738864942692266	-0.0196824126096538	-0.1676771439329772	0.037625520852795	-0.1771136070024591	0.0131940053753885	-0.045992000364331	0.0092951761250549	0.0111930902504237	0.0131236839182933	0.0332131905929441	-0.0005619736785855	-0.0135775395179787
27	0.6458024851240073	-1.293727960278653	-0.4413029567251371	0.4380319773402795	0.6662367421309504	0.4915846543785048	0.1981389935039628	0.1309387302849225	-0.2569350196821345	0.2303330821370007	0.24572094037660397	0.2824014124836118	-0.0431305152313301	0.0186859667381182	-0.0295035993623061	-0.0731286641903962	-0.0325346815819141	-0.0374261755806508	-0.0814144242827395	-0.11197070176966499
28	-1.2714322101313007	0.2315323496939043	0.2581662477152928	-0.1355673362150102	0.0272432848686758	-0.0904928478434429	-0.0876190347690055	0.0474259558540406	-0.0108623462348055	-0.0340245418209631	-0.0686014622117178	-0.0878396141232381	-0.0175152023596514	-0.0431560627901022	-0.0366151365923794	0.0020355594292411	0.0172139892111983	0.0369209407172964	0.0245202957880116	-0.0034022610135828
29	0.4743858544790474	-0.6120001352662542	0.1699750780466239	0.1900610285841032	0.5536616647294466	0.4216233464254904	0.1279116769330125	-0.0767825829393846	0.1027443938002843	0.2788298541867078	0.0516571020639076	0.0676396005126558	0.0079418694311265	-0.0643447204286496	-0.1421646775449761	-0.0552162667159964	-0.0129994668821462	0.0350772078070065	-0.048057383375805	-0.0152878527536992
30	3.7396422105661533	0.4329479551262108	0.2395491906903547	-0.2624283574183058	0.0225874229752973	-0.1097575961729755	0.0491447746129142	0.1155324298310964	-0.0668108892612132	0.0226632618637515	-0.0153376668127853	0.2066815191834002	-0.0260026977956624	-0.0707791920389428	0.0370232737899969	0.0004664460825054	-0.0155752611377857	-0.0016939317077318	0.0371225813206172	0.028994318134618998
31	0.662569991176968	-0.4394133870896755	0.1987427256718889	-0.0918534288988746	0.524629444607149	0.1579769144952172	0.1376793254985737	0.0688627116462682	-0.0029518744409186	0.2065151683560695	0.0217293219255257	0.0052020248120467	0.0012271391953031	-0.05238718069815701	-0.0857373109316265	-0.0216980159384324	0.0087408637893514	0.028458582508898995	-0.0369782077601895	-0.0192908661666948
32	1.4086142482168211	0.1800086655447526	0.5327411144105311	-0.4150196496879932	0.4276372371759603	-0.1677118829552754	0.1319948220782346	0.0592841209500519	0.0697704509262184	0.0262608893507335	-0.0725032258277497	-0.1707625703617845	0.0298559610773869	-0.0749618858828096	0.0204360694798434	-0.032556879892304	0.0456868629976452	-0.0096231761846532	0.0246332042671852	-0.0478976694079907
33	-3.1026496770881367	0.7918770937484458	-0.0933348278712038	-0.042822327291023	-0.6986280856577117	-0.459072977725042	-0.1037681921504548	-0.3154897200842629	0.2026166847671515	-0.4347344800164524	-0.0315249066215936	-0.3498792074204324	-0.0045374675292576	0.0866714427215927	0.0244932074043461	0.0105455308140119	0.0674923107904982	0.0060384639373131	0.0703157094610472	0.0277144849057434
34	1.1620596595164343	0.1579418864290403	0.486307911862704	-0.2521655601441628	0.5097057693394424	0.0526610137783424	0.1162210719996939	-0.0739037033325176	0.1015590349764888	0.2411830593608254	-0.0266572866123281	0.1506648865309477	0.0151763669493353	-0.0146811465853449	-0.0290023172677614	-0.0011677415870233	-0.0081995659634834	0.0234153627076206	-0.0264621683544485	-0.0022135672138911
35	-0.9365724858322182	1.2962325415188158	0.6099856755606354	-0.2533505929864351	-0.9259620030792404	-0.4232180468506925	-0.2573619795771224	-0.3145066488763054	0.2465191395685272	-0.4174012007129073	-0.0985726248311825	-0.3323690728884366	0.0022627105988188	0.1371868681671547	0.1849065488189375	0.1089873762318631	0.0747751058111015	-0.0310174153938554	0.0765392642166191	0.008280896666330001
36	2.121208176443433	0.7453926326702237	0.3514752051943882	-0.1708549851400112	-0.1525500781600379	-0.3629558430095851	0.122408130758747	-0.0692701861849021	-0.0226638420548617	-0.1216492273333206	0.0394345331847818	0.1092734070401362	0.0020447873999687	-0.0157471939073741	0.0358766260316583	0.038164644506349	0.0002915014848793	0.0309425536660548	0.0549661736879666	0.0296601651714445
37	0.990614712801256	0.1496588905100241	0.1345321643866368	0.0454935675556952	-0.1588711554416346	-0.0767605229694844	0.0279816984897628	0.0622284931967282	-0.1837583691993404	-0.0437162587414556	0.038598131012949	0.1005593233925732	-0.0371833872410853	0.0173954428213497	0.0425791294424889	0.058459323977585	-0.0006681985300290001	0.0155168355952165	0.0241442671517261	-0.0069130209663706
38	-0.6471190821841483	0.524466414889561	-0.0442258434069849	-0.4107885181561995	-0.4583689745991261	-0.2613660800198553	-0.21842573140953697	0.0184595199394188	0.1409702309406764	-0.2593910567988864	-0.1414335813663552	-0.2015769937149274	0.0331131566960956	-0.0309639406812575	0.0999913651473383	-0.0011661022784485	0.0582421776525864	-0.0529914840297863	0.0516292542632768	0.0255638623132793
39	2.5259947128782314	0.2379895044170939	-0.13450637497975398	-0.08749105886547	-0.1469275747233503	0.0418246754552055	-0.0647448448063101	0.1387318185481401	-0.1877082315695562	0.1567150308068258	0.0193410460829473	0.3365619125287699	-0.0789895763478748	0.0605542200804918	0.0335578893008022	0.0816281819533565	-0.0328097190214307	-0.0253294743142253	-0.0219708214611618	0.0216690898859628
40	0.6884397305349674	-1.277004749854438	-0.4383533638308745	0.5355609249591434	0.5784183488430075	0.5161288753753913	0.3364380404062043	0.0607948967277139	-0.128243702206575	0.3377955895049739	0.284365688931717	0.3528184185722912	-0.0058534382591864	-0.0097857622343301	-0.2026577085884861	-0.097173670845425	-0.0455996018558977	0.0035293800394786	-0.0517501360322497	-0.0541523284177294
41	-0.6161384509715638	0.9909656609777922	0.3052680964682734	-0.4813338702835619	-0.5674516131307135	-0.4186352011867944	-0.2496476759925958	-0.1107378424276575	0.0961367360526838	-0.3652388012004964	-0.1903674317905287	-0.3211822780388221	-0.0056073508341653	0.025802978854227002	0.222662301290415	0.041323754979857	0.0647240621624288	-0.0708882811557841	0.0433569005947371	-0.0496274353949996
42	0.0183350652692329	1.1383380696224967	0.7629104823941087	-0.1636350696200115	-0.9478915801095704	-0.4424266247969416	-0.0664346240365686	-0.3194393501369342	0.1456119025912969	-0.4876899200888825	-0.0269742135514662	-0.4161938043816088	-0.0504005368699568	0.1186219504401314	0.1435384175906003	0.1514935657636727	0.0741466139733682	0.0013126665707585	0.0605219844046504	-0.0093621768343834
