label_id	Centroids RAW X	Centroids RAW Y	Centroids RAW Z	Centroids TFOR X	Centroids TFOR Y	Centroids TFOR Z	Longest Extension	Major Axis Length	Major/Medium Axis Eccentricity	Major/Minor Axis Eccentricity	Medium Axis Length	Medium/Minor Axis Eccentricity	Minor Axis Length	Orientation along X	Orientation along Y	Orientation along Z	Roundness (Smoothness)	Sphericity	Surface Area	Volume	X Axis Length	Y Axis Length	Y/X Aspect Ratio	Z Axis Length	Z/X Aspect Ratio	Z/Y Aspect Ratio
1	54.56203675659781	37.12849676541939	1.687768782621481	-96.84975380943807	11.633342841108394	-8.533788392448232	5.5361991817781435	9.931248375366774	0.6614071930378789	0.7257577836053349	7.448704585904777	0.3983487135352518	6.832205474361343	0.7450039226983597	-0.3547527604183505	-0.5649067481802789	0.7579694218897683	0.8009407661723487	146.2676744174791	127.37305079999996	9.112749450295324	6.539197770651784	0.7175877934885899	7.975616374041349	0.8752151496695517	1.2196628170257025
2	61.33733594290854	34.09105771905874	8.226251787343344	-90.72736809355499	4.628755568764459	-5.167094863556162	9.10046603124058	15.639820157690579	0.8617320806260186	0.9129372647500612	7.9350754372115775	0.5941503876353855	6.382609468733307	-0.4536055703007241	-0.5262352973217495	0.7192484956152807	0.9029578584375694	0.7563673025621489	338.3139864956986	361.80716309999985	8.745699324616112	9.25275035607845	1.0579771854304625	14.430201999615226	1.6499769159681958	1.5595581253454582
3	78.72502258007758	39.63728392248204	8.046529203287728	-72.74648181914138	7.052864188060442	-3.1831598627044126	8.514806580727983	14.689657878190687	0.7706072687645001	0.9207175933477566	9.361870486387122	0.7906200994622888	5.732338801919715	0.3493144388842544	-0.7302223453291105	0.5871581977363782	0.8505994612611915	0.7385795705681873	311.84200705634623	279.39343769999994	9.70407093424295	10.741189614746089	1.106874598045593	12.610112409624493	1.2994662235131584	1.17399588517762
4	71.84690378714797	40.06940639178466	8.87569301384783	-79.52056054444915	7.824773952563106	-1.8797898762201048	9.359843836264416	16.354906049473758	0.8112395608983562	0.8628085913734549	9.56294131960668	0.5024987884758118	8.267907847875954	0.4663864320879549	-0.6137873034619392	0.636984177254968	0.8336895035023449	0.7523338602521991	388.77245260161436	376.12410749999987	10.134714773714832	12.379706914078556	1.2215150786666715	13.529447975352268	1.3349609019527553	1.0928730437039826
5	56.7980484090357	29.2471980568375	8.38445394097644	-95.88825707441606	1.148839323586261	-7.479786697254085	8.40041943697892	14.439076046057124	0.6340658935963871	0.8788289489409357	11.165434572786069	0.7869390138817935	6.889416848392048	0.1340995762523904	-0.4641906909771828	0.8755251601519257	0.8488073833522787	0.8003612451127582	353.1439210955773	385.49941199999984	11.222767594582422	9.261321011920623	0.825226124827832	13.070835014515607	1.1646712724252888	1.4113359204039688
6	74.86636833878767	32.7946125628877	8.004397254921116	-77.50106917821884	1.958382222388432	-6.809906550392138	8.302498581412811	12.826132173833466	0.7071038821146941	0.8475794142157363	9.069482220238921	0.6608981351479417	6.806425284720929	0.0338740542810282	-0.1338497120775991	0.9904225376188236	0.8523913177840607	0.8046779592147852	291.3724385860412	287.55147419999986	9.029822699634607	7.336405887932607	0.812464002004101	12.857647000161586	1.4239091317575785	1.7525811952840111
7	85.61599859451863	39.731563598032324	7.937676976974907	-65.90674772992665	6.309264949524593	-3.5971473713079782	7.747071491770276	12.18972764180067	0.7084318937479906	0.8872805964589979	8.603255988081838	0.7569224320388261	5.622268479927578	-0.2133429249993241	-0.586505318058573	0.7813426317831025	0.8714502188497502	0.8000672920052073	244.72392061405102	226.5148476	7.025639401571474	9.023264660655114	1.2843335880057856	11.372986076492047	1.6187830639227188	1.260407015000083
8	53.8500168591582	32.554161925432126	7.352226571583599	-98.32878989939009	4.813753823666628	-6.337598172223258	9.110885872324	14.344462980125066	0.6666423017558814	0.8711796303487037	10.692044034846816	0.7524243993240374	7.042620800573252	0.1449729831616904	-0.3835897392131798	0.9120535873091916	0.8313512264002139	0.7833942326644935	352.2685882292337	362.3994108	10.432953854788453	9.623955882980862	0.9224574379348685	13.93725473838245	1.335887700872521	1.4481835648300594
9	35.503026407760366	32.96101675844315	8.79857007688767	-116.47996059072364	6.688039850394452	-3.910345931880161	12.397505812436133	19.268989423773373	0.8979364795031964	0.9231984193611052	8.480765352567044	0.4873357797203465	7.405528611375941	-0.4477411503470472	-0.4820012701936009	0.7531285665924896	0.8361038044095678	0.7176044372793584	419.3975557541921	411.9305139	11.000045517165477	10.433366064829652	0.9484838993210052	16.81971225048474	1.5290584229163169	1.6121079377424643
10	57.80051327208796	37.67077564480397	7.764105150301825	-93.72873121298227	8.274728689931749	-3.3682691432796807	10.072308039161463	17.44012987846901	0.8135888110074392	0.8734875718489694	10.140400709542108	0.5467274630397484	8.490665246291101	-0.2917535964159132	-0.7163398231094485	0.6338273399009419	0.832313817306346	0.7865860305531643	428.0082627549674	460.69848359999986	12.847974575138394	12.0699033354373	0.939440163494197	13.703363262722199	1.0665777070604603	1.135333306480513
11	64.01357949593233	30.94624004420909	8.986511678336843	-88.52667286072375	1.2832758559575448	-6.429972073894861	9.192684856695195	16.699868280352987	0.8471668001536746	0.8540881394723666	8.873091413357349	0.2042292112280145	8.686074123794963	-0.6229263064253056	-0.2910321408636705	0.7261288520280922	0.8067711351551121	0.7281318369226786	358.8937795012551	334.64804129999993	11.878185609328725	11.750317047193295	0.9892350089196278	12.832564795466206	1.0803472194766803	1.0921037061320331
12	50.183546322412674	36.18051598650861	9.616882729442397	-101.52398876582977	6.9937175927494035	-2.2436294796431757	8.467022226272617	14.68171503080636	0.8227819891108051	0.9345675408774792	8.344457046060004	0.7798312220312552	5.223545233587648	0.5035531407885974	-0.7184518138745061	0.4798554214994046	0.8595872132597385	0.702184768221954	273.74432704179884	237.3625782	8.25274514006685	10.042040822367852	1.2168121821203497	13.620385207063494	1.6504066193607387	1.3563363710616636
13	75.221712402901	36.81686864484777	7.818528421013879	-76.59493620436389	5.315226585057411	-4.748382945217157	8.246344830975103	13.794101570607786	0.7439509292440443	0.9039404709025096	9.217691138141378	0.7683893881020227	5.899162084250901	0.1105416053095592	-0.5803566048412403	0.8068251140815672	0.8372093584550524	0.7540417787871836	276.92988526989467	254.3434668	8.814881573785911	8.685149945538482	0.9852826578370344	12.259899940865619	1.3908184515291342	1.4115933539136498
14	90.19553874949696	37.87224594536419	8.350099903605889	-61.636526340986116	3.9685151454698016	-4.538126903096841	7.451806767309633	11.240088997962346	0.3109975990579448	0.8382342976263504	10.682700821309037	0.8190215627397209	6.1293356747976535	-0.4903662466145694	-0.3420196804016804	0.8016005753485158	0.8372778913931388	0.8132978009675123	276.9341811348189	250.13218769999997	10.034122934183726	7.944768274706899	0.7917750586492294	10.824256601132534	1.0787446667866722	1.3624383023974185
15	80.81497534673797	44.38404722005644	8.669980398185873	-70.04496634327279	10.330560837688731	-0.1422924586322123	7.357722456240944	11.811289678587894	0.2586833178694895	0.8809454039338214	11.409259174629016	0.8717826841529429	5.589313877794728	-0.2366393760443364	-0.7463286759543992	0.6220894735916213	0.811221645707653	0.7670556718867216	273.981997345393	213.1693767	11.483813119015105	8.610911938082344	0.7498303785372683	10.08060467529349	0.8778098851680061	1.1706779430307876
16	74.92152561595233	43.35652279539669	10.8261257653337	-76.07825150575455	9.039331600771627	1.397095803876781	7.966589498480866	14.243043512023066	0.8075663716193636	0.9085056856542919	8.400215195244646	0.7056840857735355	5.9517760785951195	0.4245567047247979	-0.8671369065130928	0.2604326973252869	0.8199662289240126	0.7265186547115063	304.8164466361205	238.1935977	8.4312833043155	12.487988274824279	1.4811491707830975	10.570611444607827	1.2537369535664074	0.8464623133830231
