label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	1
3	4
4	1
5	1
6	1
7	1
8	1
9	2
10	4
11	4
12	4
13	1
14	1
15	1
16	2
17	1
18	2
19	1
20	1
21	1
22	1
23	1
24	3
25	1
26	2
27	2
28	1
29	1
30	2
31	1
32	1
33	2
34	4
35	2
36	1
37	1
38	1
39	2
40	2
41	3
42	2
43	1
44	1
45	1
46	1
47	1
48	3
49	1
50	1
51	1
52	1
53	2
54	2
55	1
56	2
57	4
58	2
59	1
60	1
61	2
62	1
63	2
64	1
65	2
66	1
67	1
68	2
69	1
70	1
71	1
72	1
73	2
74	1
75	1
76	4
77	1
78	1
79	2
80	2
81	2
82	1
83	1
84	1
85	2
86	2
87	4
88	4
89	1
90	2
91	2
92	2
93	1
94	2
95	3
96	4
97	1
98	4
99	2
100	1
101	4
102	4
103	2
104	4
105	2
106	2
107	3
108	3
109	1
110	4
111	3
112	1
113	4
114	1
115	2
116	2
117	4
118	2
119	4
120	2
121	4
122	2
123	2
124	3
125	2
126	2
127	2
128	2
129	4
130	2
131	2
132	2
133	4
134	2
135	2
136	2
137	1
138	4
139	2
140	2
141	2
142	4
143	3
144	4
145	4
146	4
147	3
148	1
