label_id	Predicted Archetype
1	2
2	1
3	2
4	2
5	1
6	1
7	1
8	1
9	2
10	2
11	2
12	1
13	2
14	1
15	3
16	4
17	1
18	3
19	2
20	1
21	1
22	1
23	1
24	1
25	1
26	2
27	2
28	1
29	1
30	2
31	1
32	1
33	1
34	4
35	2
36	1
37	1
38	1
39	2
40	2
41	2
42	2
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	2
55	2
56	1
57	2
58	1
59	2
60	3
61	2
62	3
63	2
64	2
65	1
66	1
67	1
68	2
69	1
70	1
71	1
72	1
73	2
74	1
75	3
76	1
77	1
78	1
79	2
80	3
81	2
82	1
83	1
84	2
85	1
86	2
87	2
88	4
89	1
90	3
91	2
92	2
93	3
94	2
95	1
96	4
97	2
98	4
99	2
100	1
101	4
102	1
103	2
104	4
105	2
106	2
107	4
108	2
109	2
110	2
111	2
112	2
113	3
114	1
115	2
116	2
117	2
118	2
119	4
120	2
121	2
122	2
123	2
124	2
125	3
126	2
127	1
128	2
129	2
130	2
131	2
132	2
133	3
134	2
135	2
136	3
137	3
138	1
139	4
140	2
141	2
142	2
143	1
144	4
145	4
146	3
147	4
148	3
