label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	2
5	2
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	2
14	2
15	1
16	1
17	1
18	4
19	1
20	2
21	2
22	1
23	1
24	1
25	2
26	1
27	2
28	2
29	2
30	4
31	1
32	1
33	2
34	1
35	1
36	1
37	2
38	2
39	1
40	2
41	1
42	1
43	1
44	2
45	2
46	1
47	4
48	4
49	3
50	1
51	2
52	1
53	2
54	2
55	2
56	1
57	1
58	1
59	2
60	1
61	2
62	2
63	1
64	1
65	2
66	2
67	2
68	1
69	2
70	2
71	4
72	3
73	2
74	2
75	1
76	2
77	1
78	2
79	2
80	1
81	2
82	2
83	1
84	1
85	1
86	1
87	2
88	2
89	2
90	2
91	3
92	1
93	2
94	2
95	1
96	1
97	2
98	1
99	4
100	4
101	2
102	2
103	1
