label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	2
3	1
4	2
5	2
6	1
7	1
8	1
9	1
10	1
11	2
12	1
13	3
14	2
15	1
16	1
17	3
18	1
19	1
20	2
21	1
22	2
23	1
24	1
25	1
26	1
27	3
28	1
29	2
30	1
31	1
32	2
33	1
34	1
35	2
36	2
37	1
38	2
39	2
40	1
41	2
42	1
43	1
44	2
45	2
46	1
47	2
48	1
49	2
50	1
51	2
52	1
53	2
54	2
55	2
56	1
57	1
58	2
59	1
60	2
61	2
62	1
63	2
64	2
65	1
66	2
67	2
68	2
69	2
70	1
71	1
72	2
73	2
74	2
75	4
76	2
77	2
78	2
79	2
80	2
81	2
