label_id	Predicted Archetype
1	2
2	2
3	2
4	1
5	1
6	2
7	1
8	1
9	3
10	1
11	1
12	1
13	1
14	2
15	2
16	3
17	4
18	4
19	4
20	2
21	3
22	4
23	2
24	1
25	1
26	1
27	1
28	1
29	2
30	1
31	4
32	2
33	2
34	2
35	1
36	2
37	1
38	1
39	2
40	4
41	2
42	2
43	4
44	1
45	2
46	2
47	2
48	2
49	2
50	3
51	2
52	2
53	2
54	2
55	2
56	4
57	2
58	2
59	2
60	1
61	2
62	2
63	1
64	3
65	2
66	2
67	2
68	4
69	2
70	2
71	1
72	2
73	1
74	4
75	4
76	2
77	2
78	2
79	2
80	1
81	2
82	4
83	2
84	2
85	2
86	3
87	2
88	4
89	2
90	2
91	4
92	1
93	1
94	2
95	4
96	2
97	2
98	4
99	2
100	4
101	2
102	4
