label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	1
3	2
4	2
5	1
6	1
7	1
8	3
9	2
10	2
11	2
12	2
13	1
14	3
15	1
16	1
17	3
18	2
19	2
20	2
21	2
22	3
23	2
24	1
25	1
26	1
27	1
28	2
29	1
30	1
31	2
32	3
33	2
34	1
35	1
36	2
37	2
38	1
39	1
40	1
41	4
42	4
43	3
44	2
45	1
46	2
47	2
48	1
49	2
50	2
51	4
52	2
53	2
54	2
55	1
56	4
57	4
58	1
59	1
60	1
61	1
62	2
63	4
64	2
65	2
66	2
67	2
68	2
69	1
70	2
71	2
72	1
73	2
74	1
75	1
76	2
77	4
78	2
79	3
80	1
81	2
82	2
83	1
84	2
85	4
86	2
87	2
88	4
89	2
90	3
91	1
92	4
93	2
94	2
95	4
96	4
97	2
98	2
99	1
100	4
101	1
102	2
103	4
104	2
105	2
106	1
107	2
108	2
109	2
110	4
111	4
112	2
113	4
114	1
115	2
116	2
117	2
118	1
119	4
120	2
121	2
122	2
123	1
124	4
