label_id	archetype 1_archetype_CFOR_probabilities	archetype 2_archetype_CFOR_probabilities	archetype 3_archetype_CFOR_probabilities	archetype 4_archetype_CFOR_probabilities
1	0.7010809300322304	0.0939878836194269	0.1908427496037369	0.0140884367446054
2	0.4870285295554726	0.1960648476595472	0.1818098091155435	0.1350968136694364
3	0.8622530419492226	0.0366880192588936	0.0959025349466113	0.0051564038452721
4	0.6243893005255989	0.2187691043031689	0.1393130562429724	0.0175285389282593
5	0.3731617735953569	0.4470572718575964	0.1451102244511611	0.0346707300958852
6	0.6294363823046066	0.0933219439520687	0.2520437774276486	0.0251978963156758
7	0.9301454193549789	0.0038258132841252	0.0636372746016291	0.0023914927592672
8	0.0288103888994189	0.8428842655669952	0.1053852833885769	0.022920062145009
9	0.1288560147780188	0.5871707847144966	0.1940012148778537	0.0899719856296303
10	0.0306862466348112	0.7359000346961152	0.1379491450416595	0.0954645736274136
11	0.3832585350867265	0.2639250530450023	0.1362274278744639	0.2165889839938073
12	0.7410278584382399	0.1034967751701177	0.1455449229317383	0.009930443459904
13	0.2259588987407936	0.5844617579500553	0.1189010957533483	0.0706782475558025
14	0.6566441582794241	0.1797500020172227	0.1018428729665206	0.0617629667368322
15	0.2474526815039304	0.4087640600761978	0.1802011710500909	0.1635820873697807
16	0.0152737258542889	0.65203051195349	0.2357610511131715	0.0969347110790495
17	0.1197079440512514	0.5247751554056174	0.1704071281472348	0.1851097723958964
18	0.3528699249142337	0.2470889250091461	0.2033979042266938	0.1966432458499265
19	0.3187621363243753	0.5301907630035203	0.1086332932000282	0.0424138074720759
20	0.0520222672779129	0.5886135703768579	0.2091374248248401	0.1502267375203886
21	0.136485713960954	0.3785312595434596	0.2322006700538571	0.2527823564417292
22	0.4288590765033765	0.3700782162426092	0.1704666975798223	0.0305960096741914
23	0.5537399291970093	0.1041084472396628	0.1806442287738371	0.1615073947894908
24	0.0066398202796519	0.6499561973013023	0.1521745890165025	0.1912293934025431
25	0.889835861810509	0.0405961425833989	0.0514259251525461	0.018142070453546
26	0.2296929076072257	0.3907205996136429	0.2366072332257905	0.1429792595533405
27	0.2638806531049789	0.3518029454797504	0.2014997994399115	0.1828166019753591
28	0.2330517239589019	0.380063246194071	0.1757048254831911	0.2111802043638359
29	0.3847932806174002	0.177866124434106	0.2750303567063328	0.1623102382421611
30	0.2515370843685849	0.3545681232763681	0.1875160053072542	0.2063787870477927
31	0.0087403964125675	0.4647625941688842	0.1483837116034647	0.3781132978150833
32	0.0727013149082927	0.6680418516370827	0.1349237753190418	0.1243330581355829
33	0.2842562454003501	0.2926051188157677	0.2278999533676712	0.1952386824162107
34	0.2437577239780976	0.1578882576725417	0.3725900387819724	0.2257639795673881
35	0.0394531467550626	0.4635095268224712	0.2126944191119396	0.2843429073105263
36	0.459097694223635	0.1341291856175807	0.2457564308506157	0.1610166893081686
37	0.8881361611655709	0.0131188858818881	0.0689188989132067	0.0298260540393343
38	0.3042732486285825	0.3735685290772428	0.2345064569459405	0.0876517653482343
39	0.4053095110434619	0.1979422780640759	0.1953479886606265	0.2014002222318354
40	0.0973214548448755	0.08118643835519	0.1014443285289155	0.7200477782710185
41	0.4945389996179126	0.0439589370031286	0.1825331869434568	0.2789688764355019
42	0.0617617247941214	0.0581415710698597	0.1844956277670053	0.6956010763690132
43	0.1856180096456426	0.3696953381440928	0.2511519404895709	0.1935347117206937
44	0.2545524683008607	0.3221629493646911	0.303289170715371	0.1199954116190773
45	0.0242330167114523	0.4792330140297865	0.2049877026641405	0.2915462665946206
46	0.2384441504568004	0.5568260536487357	0.1517666426975849	0.0529631531968792
47	0.031289881761896	0.7440701912663772	0.2016388713237639	0.0230010556479628
48	0.0276660088640344	0.7784056883418738	0.1484946909825469	0.0454336118115448
49	0.0311472956141597	0.8235415824708153	0.1170788668970643	0.0282322550179604
50	0.0190587462456987	0.134603928031434	0.127510779630666	0.7188265460922008
51	0.4250674385749035	0.0288877859057766	0.0934540290239092	0.4525907464954106
52	0.0094133362149117	0.5816555010183999	0.1789879511113009	0.2299432116553873
53	0.0093886969028833	0.6156762666636648	0.13448665192658	0.2404483845068717
54	0.0493197465152321	0.2823215619020868	0.1058051209576163	0.5625535706250646
55	0.1307420818659543	0.3403825909188645	0.257233472276866	0.271641854938315
56	0.0615499288754098	0.567821022626905	0.2035916273760925	0.1670374211215926
57	0.0133304043615309	0.0607721512841399	0.1803826013741662	0.7455148429801628
58	0.0225301100713831	0.3673271616289584	0.3469909691893601	0.263151759110298
59	0.0321806901875471	0.4279889375009529	0.252525528149033	0.2873048441624667
