label_id	feature 1_mKate2GM130_TFOR_pca_measured	feature 2_mKate2GM130_TFOR_pca_measured	feature 3_mKate2GM130_TFOR_pca_measured	feature 4_mKate2GM130_TFOR_pca_measured	feature 5_mKate2GM130_TFOR_pca_measured	feature 6_mKate2GM130_TFOR_pca_measured	feature 7_mKate2GM130_TFOR_pca_measured	feature 8_mKate2GM130_TFOR_pca_measured	feature 9_mKate2GM130_TFOR_pca_measured	feature 10_mKate2GM130_TFOR_pca_measured	feature 11_mKate2GM130_TFOR_pca_measured	feature 12_mKate2GM130_TFOR_pca_measured	feature 13_mKate2GM130_TFOR_pca_measured	feature 14_mKate2GM130_TFOR_pca_measured	feature 15_mKate2GM130_TFOR_pca_measured	feature 16_mKate2GM130_TFOR_pca_measured	feature 17_mKate2GM130_TFOR_pca_measured	feature 18_mKate2GM130_TFOR_pca_measured	feature 19_mKate2GM130_TFOR_pca_measured	feature 20_mKate2GM130_TFOR_pca_measured
1	4.476522736775023	-0.7845610947684957	-4.106889140051079	1.860288757084072	-2.1804867015075007	0.4631238482391882	1.1490619415465866	-0.1737180092491708	-0.9942397489276248	-0.5324316164073801	0.6320114720713645	0.4399412326125386	-0.1226146363162484	-0.2071398576008976	-0.6099486856710999	-0.0330900535656568	-0.2324668865564625	0.0488896349664623	-0.0727924632234054	0.3216234865944322
2	2.2597805293899627	-2.3395667472631927	-2.129911794995397	0.164553806989833	0.8100492497797778	0.5804287336292284	1.8216861079168247	-0.8551605397757958	0.5340820882715467	1.2508059148625528	0.6284224693730303	1.2940263819076294	0.836119846547332	-0.9482042765615748	-0.0772656416900784	-0.3291653793915783	0.2844896035838035	-0.6102806911241573	-0.1766910664965437	-0.0918752550283092
3	1.4630637138905231	-2.351714507612022	-1.857277798337112	-1.5329243108615238	0.6759529281772637	1.192793279491971	0.7006822824376714	-0.3590846624382471	-0.1320521577479328	0.6974276148367131	0.3541965269117823	0.829970666362028	-0.59004168591638	-0.7130435751184949	-0.2493493217842139	0.3023786139901738	-0.5781319409054908	0.4600481713860525	-0.6440636220577988	-0.4174779263874857
4	4.625995169164366	-1.5879076821242224	-1.6497590652952565	0.9657435320260408	-1.3567565224589992	-1.946346624138404	2.0845467480748123	-0.2809215715371743	0.2030164392900267	1.4801397439159716	0.2381858560841828	-0.686802301646924	0.7900288532855786	0.2236519395854754	-0.0819097586130304	-0.5966114850709464	-0.167642028938018	0.4937454642979075	-0.2910013381778641	-0.7766033058688204
5	2.6579905434433737	-4.304167664761682	0.4201950172194578	0.4154350734827087	0.4768698989482656	-1.6061605676621409	1.323798437909638	-2.066321959104524	0.6156834930889638	0.4781460867992376	0.1439476611655447	2.2665931274008124	0.0089505501436954	0.9348025025889636	1.0648016365941864	-1.9643235237521208	0.0460088394076543	-0.0362413922530537	0.7269370371911904	0.4666968227140872
6	5.62302267942168	-0.0090366118749175	-1.0780715482424057	3.134905148252741	1.0648901932779875	-1.0209310430899632	0.7030151782776689	-1.9922939480596	-1.558639520192508	0.5915951909197376	1.844410377762314	1.5795647366317551	0.9713431192926348	2.250886515428213	-0.4153844843639607	-0.3153505126365533	-0.2734329828119722	0.9451705065533812	0.5385980822860186	0.1608723714898171
7	1.328163206373107	1.1423894255456826	-3.160299053657333	-0.8182751538088973	1.4415541109272132	4.262650693340444	0.1167040704371001	0.3172756113248499	0.0812438461200418	1.5227045250265652	0.6435637199535237	-0.0381837315828527	1.1144925935870649	-1.7194431526747107	-2.1955571110618086	1.284375355736427	-0.4082646601793162	-0.2832332229426479	0.2721235838890684	0.2327455990293374
8	3.4457825863539364	1.048327188498123	-3.2859243997072687	-0.6314785490325175	0.147561108263087	0.4560102458118076	1.3752373866010708	-0.3880702117049385	-0.2783426800485686	-8.206069478989414e-05	0.6898527568907693	-1.7454272355848537	-0.2086106313025625	0.0185467781837873	-1.011857154143336	0.9966879165163676	-0.5237115634477755	-0.1216208274029272	-0.6788276896538874	-0.9244279971398046
9	2.3072868555409234	4.150469931447772	0.142986153413457	-3.06256445357922	5.01686229625336	1.6232180801545348	0.0520060429967523	0.8271733993292084	-2.0819736700506697	-0.1865941949882861	-1.6045449963967624	0.5136909406962488	0.88161985028485	0.3533664477649431	2.4609047026798625	-2.431831649386846	-0.1008531843592062	1.2868806414350356	1.7578018443003878	0.0860543169497289
10	-0.5355620375797978	0.8106634492428237	-1.3330277201063698	-3.2073344768999505	1.9467685306333653	3.5214624746743763	-0.5005067159362838	0.5663034370197236	-0.333490420447057	0.0064141203900395	1.0577404519290714	0.6756759833867937	0.1541771610469425	-2.4389178668166784	-0.7437957314190243	1.336739331707987	1.3944971510261386	-1.0769715308972811	-1.2577099707816668	1.0432113355001522
