label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	2
6	1
7	1
8	1
9	2
10	2
11	1
12	2
13	2
14	1
15	1
16	1
17	2
18	4
19	1
20	2
21	1
22	2
23	2
24	2
25	4
26	2
27	3
28	4
29	2
30	2
31	1
32	2
33	2
34	2
35	4
36	1
37	2
38	2
39	1
40	1
41	2
42	1
43	2
44	2
45	1
46	1
47	1
48	1
49	2
50	2
51	2
52	1
53	2
54	1
55	2
56	2
57	2
58	4
59	2
60	1
61	1
62	1
63	1
64	1
65	2
66	1
67	1
68	1
69	1
70	1
71	2
72	4
73	2
74	2
75	4
76	2
77	2
78	2
79	4
80	2
81	2
82	1
83	1
84	2
85	4
86	2
87	1
88	2
89	1
90	4
91	2
92	2
93	2
94	2
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	4
103	2
104	1
