label_id	pea3 spot count
1	13.059344898032082
2	8.55955728127038
3	5.957146336902964
4	10.457504531709734
5	6.422154609254577
6	5.510434142525001
7	8.718896606061268
8	11.271769671530485
9	9.491803948462813
10	7.41991289284517
11	11.359989896932385
12	1.3758714060451376
13	6.209305062826216
14	7.384169252249509
15	4.27709411909274
16	4.199678773849437
17	8.690517760719748
18	7.435999479527941
19	3.3387352598367435
20	6.031662267983794
21	5.59035453338647
22	4.701891644474236
23	11.041569421656964
24	5.417319340758644
25	6.634397685146968
26	7.06430746613335
27	9.684357357335834
28	6.453530697364602
29	5.376736561999962
30	2.651143778643566
31	10.962354315351439
32	8.023321246103638
33	12.87846868300807
34	3.1399232351998254
35	2.0056949345518884
36	7.706177322039113
37	5.860855583816953
38	12.642566603103187
39	13.062669597342158
40	4.9597137186497955
41	15.556753625794315
42	3.0917806356563844
43	7.095351608375982
44	2.6626881650801497
45	13.270627964301955
46	10.629719783127983
47	12.024446911718421
48	15.622367382024628
49	4.5957578429985
50	5.9616245298369615
51	10.885218875343671
52	18.70214809122333
53	9.033689150304527
54	15.096530095179762
55	7.091419043740688
56	6.514658163946501
57	5.263999560540528
58	6.765384167422068
59	18.54074342553982
60	12.756548105720071
61	7.965912320247309
62	16.456231524251596
63	12.153821448269909
64	7.855662580359678
65	9.583428194180236
66	7.974584979662452
67	7.049134942264327
68	8.633048387390103
69	8.254752874512103
70	3.970898605885303
71	12.006997681800106
72	13.918779778723856
73	3.957659627860625
74	7.304384845147827
75	9.093475798167674
76	9.66888112830307
77	9.09553940619188
78	10.880258738334495
79	6.9534399243765534
80	5.1504707927092435
81	8.415769561644495
82	10.642387365705144
83	9.424741999645528
84	11.079022389478087
85	14.10885977430608
86	12.29442297560708
87	8.107594601902933
88	12.032875917309875
89	11.03260198534976
90	4.1959633968425525
