label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	1
3	1
4	2
5	3
6	1
7	1
8	2
9	1
10	2
11	2
12	4
13	1
14	2
15	1
16	4
17	2
18	1
19	4
20	1
21	2
22	2
23	2
24	2
25	1
26	1
27	1
28	4
29	2
30	2
31	1
32	1
33	2
34	1
35	2
36	1
37	1
38	2
39	1
40	2
41	2
42	2
43	1
44	4
45	2
46	1
47	2
48	2
49	2
50	2
51	2
52	1
53	3
54	2
55	2
56	2
57	2
58	1
59	4
60	2
61	2
62	1
63	1
64	1
65	1
66	2
67	1
68	2
69	2
70	2
71	1
72	2
73	1
74	1
75	2
76	1
77	4
78	2
79	4
80	2
81	1
82	2
83	2
84	2
85	4
86	4
87	4
88	4
89	3
90	2
