label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	2
4	2
5	2
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	2
16	1
17	1
18	1
19	1
20	1
21	2
22	2
23	1
24	2
25	1
26	1
27	1
28	1
29	1
30	1
31	2
32	2
33	2
34	1
35	1
36	2
37	1
38	2
39	1
40	1
41	1
42	2
43	1
44	2
45	1
46	2
47	1
48	1
49	1
50	2
51	1
52	1
53	2
54	2
55	1
56	1
57	2
58	1
59	1
60	2
61	2
62	2
63	2
64	1
65	2
66	1
67	2
68	1
69	1
70	2
71	1
72	4
73	4
74	1
75	1
76	4
77	1
78	1
79	2
80	1
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	1
90	2
91	3
92	2
93	2
94	2
95	4
96	4
97	2
98	3
