label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	4
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	3
24	2
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	2
37	1
38	3
39	3
40	1
41	1
42	3
43	1
44	1
45	4
46	2
47	1
48	1
49	3
50	1
51	1
52	1
53	2
54	2
55	4
56	1
57	2
58	2
59	1
60	2
61	2
62	4
63	2
64	2
65	4
66	2
67	2
68	4
69	2
70	3
71	2
72	3
73	1
74	2
75	2
76	2
77	2
78	2
79	2
80	2
81	1
82	2
83	2
84	2
85	2
86	3
87	2
88	2
89	3
90	2
91	2
92	3
93	1
94	2
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	1
105	3
106	4
