label_id	feature 1_mKate2rab11_CFOR_pca_measured	feature 2_mKate2rab11_CFOR_pca_measured	feature 3_mKate2rab11_CFOR_pca_measured	feature 4_mKate2rab11_CFOR_pca_measured	feature 5_mKate2rab11_CFOR_pca_measured	feature 6_mKate2rab11_CFOR_pca_measured	feature 7_mKate2rab11_CFOR_pca_measured	feature 8_mKate2rab11_CFOR_pca_measured	feature 9_mKate2rab11_CFOR_pca_measured	feature 10_mKate2rab11_CFOR_pca_measured	feature 11_mKate2rab11_CFOR_pca_measured	feature 12_mKate2rab11_CFOR_pca_measured	feature 13_mKate2rab11_CFOR_pca_measured	feature 14_mKate2rab11_CFOR_pca_measured	feature 15_mKate2rab11_CFOR_pca_measured	feature 16_mKate2rab11_CFOR_pca_measured	feature 17_mKate2rab11_CFOR_pca_measured	feature 18_mKate2rab11_CFOR_pca_measured	feature 19_mKate2rab11_CFOR_pca_measured	feature 20_mKate2rab11_CFOR_pca_measured
1	-2.2262054995910074	3.946863812907473	0.4607115112200379	-0.4312555775385119	-0.0141369757284822	-1.075534083056078	-1.828674782207777	0.3592299581958281	0.2725639818028715	-0.7232638991037087	-0.4101051849847464	0.8205322781293822	0.3035997875583408	-0.0344400969272169	-0.1965150627909052	-0.2818485254372884	0.0485076169914853	0.1939787741982864	0.0074337170638026	-0.0318320569697701
2	-1.2002674459332872	3.3248148511555886	4.038458606147239	-1.0851564897421355	0.1043960517828613	0.7037906909858083	-0.1064880960887719	0.1994530707985739	-0.9307416438374628	-0.662317856724594	-0.4953156871361586	-0.2671030696597413	0.3302063376773779	-0.6093635009106233	0.0467358800906874	0.31975757593407	0.2280959879601891	0.0129294729551935	-0.1968856175774969	0.195311408248768
3	-3.3474641498820428	1.3975902683047547	1.0863164757898656	0.5610326268565201	1.6162045372331182	-0.3479967865674695	0.5332534498443899	0.4419532486434542	0.4471911439543439	0.2718187507313794	-0.8227628414258578	0.1878140987350694	-0.1109707424572171	0.4130935955545993	0.5496325899644616	1.1111575932408504	0.6806734478774219	-1.026156338594678	0.2012529889751891	-0.2611055409258661
4	-6.3464730986839815	0.1139404330338321	-4.559131193375773	-2.622660403379265	-0.3553725202922599	0.5092840646155898	1.1450225060312844	-0.3370295967740577	0.1533382378469478	-0.1171247492084093	-0.4204665220593181	-0.0976401066000274	0.1273552368565007	-0.4981085283819332	0.5561540322534769	0.3486598177331149	0.2355374100253442	0.1958875267622271	0.0845304911510168	0.2152589535401651
5	-1.231746408955176	2.204871664027136	4.2994721318170015	-2.182831563238634	-1.80653385120262	0.9898222212131824	-0.3426408815375938	0.0463123670283371	0.1593944141656466	-0.7507231082502204	-0.4333792057187796	-0.2328369524813577	-0.2308508029170489	0.6572384497392194	-0.4204227771230447	0.5802766933408304	-0.0075767438755491	-0.7541532553554877	-0.1827867056079503	-0.3393319652013364
6	13.868332491558949	-9.080173195355416	0.2188836434392997	0.6561430362273787	1.844851572169276	-4.05668320330394	1.3128276485039876	5.173484868358873	0.9730526861872968	-1.4993818440231514	0.742425256868562	-1.5886767959684105	0.8100753054638801	-0.7944445127379107	-0.7150765742333124	0.349099766153562	0.2846488707159147	-0.6441914185370107	-0.5664204567403806	0.1798784733795856
7	-4.766144239482956	-0.8990172317065892	-2.3239443440768923	-0.3769087425526963	0.8421596073542703	0.915195224502792	0.9760443599798712	0.6404510342537579	-0.5685513253510711	0.6659880851608598	0.5396266031059056	0.2481816833941407	-0.2636092964858894	0.1460340516093077	-0.1921443493004269	-0.0108078202878851	-0.0088353795145445	0.1497311117875385	0.0019689248772549	-0.3988041314670824
8	-2.9452693519365964	-0.0969181900029184	1.3893412565729732	-0.0741495311516483	-1.2766604611339525	-0.9356707647348548	-0.5199230286237738	0.5560022909790266	-0.4291223475570658	0.8132918414144351	-0.3045683658686337	0.6891626754685892	-0.3825736138237671	0.1973626340547853	0.4538736997099966	0.1707761250357592	0.1430237751013823	0.1323347887946065	0.3612545292485637	-0.2486761976654111
9	-5.631867791317919	0.857472682238303	-2.6487714004565683	-1.4867232818925449	-0.611457610049463	-0.7935149100460915	0.1050774081434979	-0.755856091983602	0.7308298849329368	0.3385770568691296	0.4348834199680903	-0.6963457764488099	0.0120328292875951	0.3428439442690967	0.2375776667813289	0.5377964318754102	0.0206801175938659	0.2303310399058981	-0.0088137701398732	0.6295815076804396
10	-5.467827901734752	2.2294507733382347	-2.54267957947426	-0.4278599884878883	-1.6003597488104504	-1.1763049744892742	-0.8940751815043407	-0.4264141592355245	1.7893642808029904	-0.4856637532502606	0.1829136330287815	-1.4867904358368842	0.5054243187407883	-0.0455136370756396	0.1414877549870332	0.4930589866520554	-0.0944509209792569	0.1844711828910893	0.3637314735115765	0.4074484352457944
11	17.775733069281788	18.2844354314168	-2.9749474704297585	2.6938359055690357	-4.587073502579512	-1.1528897770731836	-0.4779753882149234	0.6081752246043901	0.5972924919786857	-0.3003829425651941	1.573687722236892	0.4383361708703174	-0.9609465783025504	-0.201175285099026	-0.7309895908848928	0.4513446212728266	-0.2909705633775834	-0.5985472563609542	-0.0192026071034931	-0.0050044814038359
