label_id	Predicted Archetype
1	1
2	1
3	2
4	1
5	1
6	1
7	1
8	1
9	2
10	2
11	1
12	1
13	2
14	2
15	2
16	1
17	4
18	2
19	1
20	2
21	2
22	1
23	2
24	2
25	4
26	1
27	2
28	2
29	2
30	1
31	2
32	4
33	1
34	4
35	1
36	1
37	3
38	2
39	2
40	2
41	2
42	2
43	2
44	1
45	2
46	1
47	1
48	2
49	4
50	2
51	2
52	2
53	1
54	2
55	1
56	4
57	1
58	1
59	1
60	4
61	1
62	1
63	2
64	1
65	1
66	1
67	1
68	1
69	2
70	1
71	1
72	1
73	1
74	2
75	1
76	1
77	1
78	4
79	4
80	1
81	2
82	2
83	2
84	1
85	4
86	4
87	2
88	2
89	1
90	1
91	1
92	2
93	1
94	2
95	2
96	4
97	2
98	2
99	1
100	2
101	2
102	2
103	2
104	2
105	1
106	2
107	2
108	4
109	2
110	2
111	1
112	2
113	4
