label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	3
4	2
5	2
6	1
7	3
8	1
9	1
10	2
11	2
12	1
13	1
14	1
15	2
16	1
17	1
18	2
19	1
20	4
21	1
22	2
23	3
24	1
25	3
26	2
27	3
28	2
29	1
30	1
31	2
32	2
33	2
34	2
35	1
36	2
37	1
38	1
39	4
40	2
41	1
42	2
43	1
44	2
45	2
46	3
47	1
48	3
49	2
50	1
51	2
52	1
53	2
54	1
55	1
56	1
57	4
58	2
59	2
60	1
61	3
62	2
63	2
64	1
65	4
66	4
67	1
68	2
69	2
70	2
71	2
72	4
73	2
74	3
75	2
76	4
77	4
78	1
79	2
80	2
81	2
82	2
83	2
84	1
85	4
86	4
87	2
88	2
89	2
90	2
91	2
92	2
93	4
94	4
95	1
96	2
97	2
98	2
99	4
100	2
101	2
102	2
103	4
104	2
105	2
106	2
107	4
108	2
109	2
110	2
111	4
112	2
113	2
