label_id	Annotated Archetype
1	
2	
3	
4	1.0
5	
6	
7	
8	1.0
9	1.0
10	
11	
12	
13	
14	
15	
16	1.0
17	
18	
19	
20	
21	
22	
23	
24	
25	2.0
26	
27	
28	
29	3.0
30	
31	
32	
33	1.0
34	
35	
36	3.0
37	
38	
39	
40	
41	
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	4.0
57	
58	
59	1.0
60	
61	
62	
63	
64	
65	
66	2.0
67	2.0
68	
69	
70	
71	
72	
73	
74	
75	4.0
76	4.0
77	
78	2.0
79	
80	2.0
81	2.0
82	
83	4.0
84	
85	2.0
86	
