label_id	archetype 1	archetype 2	archetype 3	archetype 4
1	0.9694593305167946	0.004278431103798	0.0235478442481041	0.002714394131303
2	0.9820168967647734	0.0039258066511171	0.0106772970472198	0.0033799995368892
3	0.9013992501457412	0.0336130688109679	0.059933586310815	0.0050540947324758
4	0.0448180742914183	0.8012506682670201	0.150929455639764	0.0030018018017974
5	0.2620961421528234	0.3565260755980413	0.3726312929915245	0.0087464892576109
6	0.729041023190045	0.03390619383128	0.2071287219762954	0.0299240610023795
7	0.0016592454673763	0.0664825422036028	0.0963329674978696	0.8355252448311512
8	0.0363357655985529	0.5210053695263389	0.4399027814189866	0.0027560834561214
9	0.8719337992540865	0.0124103713632483	0.11371304472995698	0.0019427846527082
10	0.0755459840084875	0.6237376009448566	0.2975287523694766	0.0031876626771792
11	0.0469979682978617	0.7618655107830228	0.189158265601029	0.0019782553180863
12	0.0014946505846696	0.842657772763772	0.1545193869441725	0.0013281897073859
13	0.0266329228722777	0.7836081293943485	0.1182048835603045	0.0715540641730693
14	0.0837288533850166	0.7421216509619665	0.1477254093611908	0.0264240862918258
15	0.3065879526230162	0.0984265109094355	0.5476292255956596	0.0473563108718886
16	0.0040532264577448	0.6468481720026888	0.348342427724531	0.0007561738150350001
17	0.7918695893606921	0.0761676644182475	0.1200222542189047	0.0119404920021554
18	0.9641297330408864	0.0036116950455107	0.0274782959735303	0.0047802759400723
19	0.0303836748235435	0.6805854648963214	0.2856976594515935	0.0033332008285417
20	0.0595531169204827	0.7416115801581853	0.1699748200279966	0.0288604828933352
21	0.0045457069155614	0.7274496587646223	0.19072056085901898	0.07728407346079699
22	0.9187903804724696	0.0143002767512363	0.0450196574892233	0.0218896852870706
23	0.0224526225500552	0.7723719276419297	0.1951586442514254	0.0100168055565893
24	0.0060448209236139	0.2573242450913142	0.6557654694355651	0.0808654645495069
25	0.9445746633337749	0.0023358829200117	0.0507073749928452	0.002382078753368
26	0.0071825855116158	0.7098659736749654	0.2082122085410711	0.0747392322723475
27	0.3037415395763136	0.1456708705103101	0.4316068153090332	0.1189807746043426
28	0.3449532606109464	0.5724779319200753	0.0583369029498329	0.0242319045191454
29	0.9845683832682997	0.0030007972467313	0.0120018566803466	0.0004289628046226
30	0.0008494962463074	0.9408323369421118	0.0567256993508649	0.0015924674607159
31	0.2519656226143644	0.0678751326260736	0.5946248561777947	0.0855343885817673
32	0.5823315440633501	0.0704542490775467	0.329445511145689	0.0177686957134141
33	0.0970551626908011	0.0845218462887625	0.1605246543079132	0.6578983367125231
34	0.5866402308516484	0.1826418588537932	0.15620081663156	0.0745170936629985
35	0.8511379069378129	0.0155407573392915	0.1308445015927519	0.0024768341301437
36	0.1390488891564936	0.2579946185971793	0.5355237913532876	0.0674327008930392
37	0.0086504671550589	0.7711516367396483	0.2100788200256469	0.0101190760796458
38	0.0020213650847060003	0.4855641154641009	0.5104664675674331	0.00194805188376
39	0.0043910687692615	0.0168431536602804	0.0698851834685605	0.9088805941018976
40	0.8604472487092351	0.0182483595395926	0.1063544139793332	0.0149499777718393
41	0.9354594189940468	0.0182744529236221	0.0353433781523449	0.0109227499299861
42	0.7338981016448474	0.2045951839672033	0.056582938648369004	0.0049237757395803
43	0.4432086190616625	0.0256714742673656	0.4973220163435422	0.0337978903274295
44	0.6676945161494618	0.2353574516838567	0.0905829177964303	0.0063651143702508
45	0.5983784848298705	0.1605126577100003	0.1513900860529218	0.0897187714072069
46	0.0733660701379435	0.056809423250235004	0.867684124071834	0.0021403825399873
47	0.7303587239836726	0.0936334147169972	0.1714056108784686	0.0046022504208615
48	0.0007045664296243	0.0022523043779417	0.0083124734118219	0.988730655780612
49	0.21795965662893999	0.1869137800783428	0.2140999542860544	0.3810266090066627
50	0.9257688874505836	0.0091121787415911	0.0521906648136579	0.0129282689941671
51	0.4959798683486987	0.0194005289349872	0.4782700485046623	0.0063495542116517
52	0.1718359016122489	0.2943601724437008	0.3681747133312257	0.1656292126128245
53	0.572608228516448	0.1691301619607552	0.2423673313182905	0.0158942782045062
54	0.1612621596856307	0.4806418140566085	0.257150093397727	0.1009459328600341
55	0.033461490311543995	0.1079303938035128	0.6359962215812849	0.22261189430365802
56	0.926840926722516	0.0499839945681143	0.0181581933537795	0.0050168853555902
57	0.0025412560094007	0.0113177886760207	0.0097982139123573	0.9763427414022212
58	0.8741352706656274	0.0288111320392108	0.0944793556011079	0.002574241694054
