label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	2
15	1
16	1
17	1
18	3
19	1
20	1
21	3
22	3
23	2
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	2
32	1
33	1
34	2
35	2
36	1
37	2
38	1
39	4
40	1
41	1
42	2
43	2
44	1
45	2
46	1
47	1
48	2
49	4
50	2
51	2
52	2
53	1
54	2
55	1
56	1
57	1
58	2
59	2
60	1
61	2
62	2
63	2
64	4
65	1
66	2
67	4
68	2
69	1
70	2
71	2
72	1
73	2
74	2
75	1
76	1
77	1
78	2
79	2
80	2
81	1
82	2
83	1
84	2
85	3
86	2
87	2
88	2
89	1
90	2
91	2
92	2
93	1
94	4
95	3
96	2
97	1
98	2
99	4
100	4
101	2
102	2
103	2
104	2
105	1
