label_id	feature 1	feature 2	feature 3	feature 4	feature 5	feature 6	feature 7	feature 8	feature 9	feature 10	feature 11	feature 12	feature 13	feature 14	feature 15	feature 16	feature 17	feature 18	feature 19	feature 20	feature 21	feature 22	feature 23	feature 24	feature 25	feature 26	feature 27	feature 28	feature 29	feature 30	feature 31	feature 32	feature 33	feature 34	feature 35	feature 36	feature 37	feature 38	feature 39	feature 40	feature 41	feature 42	feature 43	feature 44	feature 45	feature 46	feature 47	feature 48	feature 49	feature 50	feature 51	feature 52	feature 53	feature 54	feature 55	feature 56	feature 57	feature 58	feature 59	feature 60
1	-0.5841920145574699	-0.2496510467628994	-0.3749840147450479	0.5720285835568295	0.1499307036101443	-0.3793194561177847	0.0436156147050395	-0.1622106421517973	0.0879183126480034	0.5236535741696722	-0.3053654395885019	-1.4187902762587958	-0.2416752285149458	0.1412580843302904	0.1835435517862322	0.1203083684026941	-0.012176277919267	-0.9501024051687288	-0.0909909392887809	-0.3013646645831296	0.0245875256846048	0.2180752248177013	-1.3817006410428203	-1.4352977885011882	-2.37730232183188	-1.206421327767054	-0.7764242877346711	-0.2269849420591836	0.0271371476216719	-0.3288345457543724	0.9046935279909056	0.0162124199852218	-0.7220059681577262	-0.0763677011380217	-0.2542366141248182	-1.103409636115832	-1.058263259782675	0.0535013669490457	0.0496101290177102	-0.2935749410569758	0.2617542364976136	-0.501809548778042	0.1262794806536611	0.4340332830888277	0.1561755526528416	-0.1344439421538228	-0.1146604931492843	-0.0311140098845689	-1.061126568731581	-1.4387183270352262	-1.5127390766742237	0.4559323375929087	0.3033557731459408	0.1923342285634413	0.3129660020485133	-1.2295111792222144	-1.328525926713065	0.2039177382307535	-0.0775994128441814	0.0110701980627045
2	-0.4980425894247091	-0.1622889887630731	-0.2062384639391623	0.8125056982757639	0.6620178303753617	-0.8899107329589933	0.0349611612878318	-0.1138887359513619	0.037334498003845	1.0359273672793616	-0.659496627248408	-1.3521561594415623	-0.1576119688878481	0.1675071494402182	0.1541560404592432	0.1959903939072101	0.5127850619752324	-1.0497662069340294	0.1598980302834589	-0.4236101857646104	0.1338988105764561	0.3819019509978181	-1.382974709117903	-1.2444617736504455	-2.006315761117386	-1.177236219764145	-0.6652187830181886	-0.2037881659615894	0.0724449610249109	-0.2232913837635719	1.1556788490951206	-0.4246046170559644	-0.8329831438283516	0.4101002369388913	-0.1275937738568091	-0.8681438134810762	-0.7070901808822514	0.358650080732241	0.1926715997783298	-0.018588629606959	0.24070151648974	-0.6992042835781082	0.2016281064907475	0.5727952651685615	0.0388584283255549	0.0114712398729376	0.0127407943740531	-0.0165101538594588	-0.8202465148104048	-1.339918528685673	-1.3044721776808283	0.5288768681092542	0.3597776831233488	0.2704136407876443	1.0272145448353518	-1.4698471025539543	-1.1068089946820454	0.2824079422243379	-0.1204475523625323	-0.0202149410791467
3	-0.5814834942678477	-0.2650995000191798	-0.2774593275599246	0.9464452209428896	0.8778965540290103	-1.0329467486848216	-0.0717620260940668	-0.0802980815183412	0.0656497654610893	1.1830908249682974	-0.4382945109530238	-1.2710691587487246	-0.0639240894242538	0.1871162611345347	-0.0643885015319198	0.3398292686555688	0.5079857812169689	-1.1196335162049065	0.1417438220614706	-0.2784405259794664	0.1175077391230243	0.2662122274548748	-1.4412720619754114	-1.3434251575210987	-2.374432824798074	-1.2283357620132316	-0.6885794531237732	0.0204034615414092	0.0691428666417607	-0.0553020301446687	1.2938145726134862	-0.1993422484421481	-0.8495488006768406	0.0789240842485602	-0.2284138301728331	-0.9628479474201008	-0.989684627756938	-0.1983091056227682	0.316857913890764	0.0648128158969949	0.3902749090109179	-0.3858069702769474	0.2532663558090376	0.8014475616682517	-0.1498747041976973	-0.1012457424361781	0.0194909092062278	0.099995761876926	-0.9478224790352808	-1.50028299449046	-1.4546368857870016	0.5571787148346506	0.5499534994238151	0.3311290275402487	0.9132394306296492	-1.3591451366308165	-1.1166437118096304	0.3747856008984687	0.0645789353863694	-0.1400932998891675
4	-0.6658447425386584	-0.6410960890683017	0.0379461147988162	0.779665848424578	0.4344224049978675	-0.0134244744335675	-0.1094616005765025	-0.2075287425950249	0.083539919109986	0.7314383979922426	-0.5378855821888022	-0.6729637465520177	-0.6971259587875029	0.001219140922732	0.2603861886030738	0.015182955575157	0.2129616417124119	-0.364269087673142	0.1945576678649937	-0.328892197758684	0.5311345741994296	-0.0566469971053354	-1.1295535356216375	-0.7273758385377544	-2.2624989539966567	-1.1691644684406788	-0.1653251291061284	-0.5622351319012819	0.4288911423345654	0.3785585388569012	1.0143257939974624	-0.2159844313765415	0.0456835100692301	0.0970625117401888	-0.0521945827284846	-0.3339936180022445	-0.825500051546544	-0.2335874024216064	0.3678123549113607	0.1097854731945172	0.0603287244630226	-0.1702020071138271	0.3485034193819359	0.2420083511797586	-0.2337526801850077	-0.0812364845565898	-0.2417619774691579	0.2646526095914225	-1.1525065229315483	-1.180659532175592	-0.7283639715793917	0.1298586413580345	0.2394037374056932	0.0973381574464757	0.7296757368366054	-1.056464520466814	-0.471321629012847	0.3772157703077741	-0.4362035667195014	0.5812196012325481
5	-0.1623808005038072	-0.2206467193572374	-0.0396237513286297	0.8067615448878409	0.6952193805869211	-0.8548802494077535	-0.0224739398416224	-0.2252300047014626	0.104045711664153	1.060707670732749	-0.777887146664619	-1.407356335684212	-0.1009240653111346	0.1173461383020266	0.0604598839309464	0.2816727968712115	0.3765991008753403	-1.1015317149177004	0.2222726213704253	-0.3504618565085049	0.0070442824586958	0.527093663814757	-1.5732279761981325	-1.169002687443488	-1.5655562670723475	-1.0858325734934524	-0.3703656672469047	-0.1583281254309074	0.0918653315712769	-0.1641533170964756	1.1514595978404332	-0.427941739606566	-0.9238730715263576	0.3294759273499308	-0.3586026940236455	-0.8366099855858415	-0.7650145154916996	0.0149309602815833	0.4495522238758025	-0.1021436184581228	0.5242672178149612	-0.5511550967150811	0.1366263430266741	0.3780323959153389	-0.2071230373603205	-0.0511424276631455	-0.0866271760729696	0.1161727780117337	-0.1928968985772798	-1.3440530898755425	-1.1191459683673664	0.180116177907024	0.2681061975247136	0.3097649972819762	1.19897477835371	-1.5077923058442029	-1.0874022760199995	0.1828514292287175	0.0284338763761034	-0.0743270886523847
6	-0.87658014481315	-0.3906720133316643	-0.028134564739739	-0.0104493595156873	0.3414801496668092	-0.1867752733003959	0.025937412267108	-0.1239477206575794	0.0575274551564303	0.212081904558653	-0.8163237452079815	-1.0163413218349089	-0.1174272320184518	0.1890272758170341	0.1355061318058739	0.0314105680722531	0.3233784975970868	-0.3881479520549129	-0.1324463983672703	-0.7115258408942893	0.2705700098201126	0.192122104699732	-1.6091198086139646	-1.1304324966003332	-2.498084705695251	-1.48145969751687	-0.5459615782564677	-0.5114363335928247	0.2303767384061921	-0.1626820550154925	0.4223643855346208	-0.1998123427082295	-0.3808142592135698	-0.228235690128174	-0.6655930337865366	-0.698774023262916	-1.0895547864394617	-0.3152391601166018	0.1589103048085667	-0.0688199570369355	0.1588680862358939	-0.2551243151099195	0.2006797438973454	0.1624627526467457	0.1207949305311767	-0.4502855425568659	-0.3070059649040066	0.1882259073072661	-1.239071270398285	-1.622755260846422	-1.2125580392647517	0.416118143394173	0.2821670643035712	0.3406785766019207	0.4035634473611534	-1.8154951314533916	-0.876601162592362	0.1077740303033989	-0.1215951259485511	0.2650136604535184
7	-0.5595218498808248	-0.6695515495143358	-0.2730653827276477	1.396255624550612	0.7710891642800222	-0.7146402254083277	0.0533222208263716	-0.0722478638602873	0.0797587078490801	1.4825780803690454	-0.8615526825319368	-1.3544809860524931	2.506266545398983e-05	0.5853404311333295	0.3371391123820788	0.7151875445170423	0.3071185275657272	-1.019674602281969	0.325205113557896	-0.6779890257015906	0.1311700805358342	0.4213901150792758	-1.9402718299250348	-1.4058024875546429	-2.2614599968443114	-1.6921316471076062	-0.7606506706631786	-0.1424223449697881	0.1794346139928488	-0.1539512893174618	1.6980446572202097	-0.5505509233001935	-0.840826373005176	0.467576807364158	-0.6171322038951743	-1.024996456985156	-0.8365656703674555	-0.1668098539838616	-0.051521570328925	-0.1690416370202134	0.5310615502834437	-0.3985257826853806	0.586682873310332	0.5202282897686257	-0.1381870294316672	-0.0436100852955653	-0.0551324188204044	0.084457681665597	-0.9328288518414164	-1.926638405431211	-1.4921632240579406	0.4705898674527594	0.6053745767807691	0.3056147035394476	1.119336956209086	-1.882507114168938	-1.2710818458977045	0.7712366224172531	-0.1446631715294182	-0.008423595344572
8	-0.2625459585419762	-0.3861487940575849	-0.2075678547679684	1.2267204911430745	0.7634669660576305	-0.852857739635992	-0.0697975030124165	-0.0842545930861692	-0.0122917686139066	1.3447721662825178	-0.2999844199435413	-1.0559931206561213	0.1797336201952591	0.6192493923793886	0.279198795116103	0.610151428449456	0.5071557167075752	-0.9214481486089552	0.0031364706010889	-0.3320480268129453	0.3898468560123327	-0.0393279411456287	-1.4316209211991286	-1.144939131182348	-2.0339495661589044	-1.3584801134819509	-0.6305064367384325	-0.2342376176542751	0.0328054223009429	-0.1927209491632657	1.6653971233473277	-0.2577467551675548	-0.5972541880116985	0.1401050756856219	-0.0632403433671655	-0.7495433975427994	-0.8309599126181617	0.3508374347295335	0.3145628488230697	-0.0936926419250339	0.2718015559615533	-0.4285006224274839	0.1310849256382422	0.6605988195909607	-0.452031990964683	-0.0970172271264211	-0.1595927577817665	0.0609753970345371	-0.8054963803362254	-1.4993920438656478	-1.2935626767065282	0.0840465138376863	0.6393296360748021	0.2995395217872536	0.9300842693472454	-1.2990315190152937	-0.9168708223860288	0.8136639784166855	-0.1573926528431108	0.0304888880960408
9	-0.3565466480088441	0.1190061579038255	0.0586100804817313	0.6103269252291539	0.6195653520076534	-0.6595928542664653	-0.2699570304501818	-0.2571693816758319	0.075629116357885	0.9588691625205852	-0.2567734213643415	-1.0677127227146532	-0.1410608160993427	-0.1775053922038962	0.2525055981624562	0.3178818166077968	0.333503766022212	-0.861217659030195	0.0008276782428268	-0.2421655307838301	0.2153712680561755	0.343680133456532	-0.9430035705163712	-1.049072794544908	-1.9243900428392025	-0.6238535225418373	-0.2837647041623914	-0.5678127654107117	-0.0978371077773146	0.1290827699925605	0.9592036874430714	-0.4727314769896503	-0.7183002515796564	0.0857125182449738	0.0626280540558701	-0.7179448844800098	-1.1739531393543488	-0.3608168424583292	0.4060500792275763	-0.0622220439318764	0.1711397319149229	-0.2409153307297413	0.0438818269191525	0.3080707210445813	-0.1434786828531088	-0.1846520597426348	-0.0543689411471544	0.1406303410115215	-0.5307001945756233	-0.8600580241848061	-1.0638562082425878	-0.0368674433860041	0.1631549831203875	0.0972815596309426	0.7300494707761636	-1.018879787789788	-0.9240112097177756	0.1011402731336561	-0.1224929077826152	-0.0016942506887002
10	-0.2574608941707756	0.1366091095666173	-0.1102923424844422	1.2388551348964296	0.6989832754981788	-0.9102301365848984	-0.0554800394100004	-0.0068802334401874	0.0605321226487002	1.477931827292859	-0.4863633595630179	-1.3750294610180744	-0.0053988311194937	0.2700922856437211	0.3276153190208022	0.562362960721783	0.3145220226720652	-1.2458946891628175	0.243088597879116	-0.424754257694435	0.0796929794624864	0.6579637951245016	-0.7343648081730261	-1.0279272569539872	-1.2257795055512464	-0.1342541875048035	-0.0766422526135737	-0.2524599916465675	0.1042927995898967	0.1036770402238074	1.6670963101029854	-0.2996908819913544	-0.8515653601594046	0.3885934115071958	0.0038404657795747	-0.8723810037382791	-0.9966291719166708	-0.2859587445642348	0.2721266092295101	0.1730631062488755	0.2693019616563637	-0.4222310693068535	0.4754725659742083	0.5455238098853261	-0.116362328587334	-0.1966787559327715	0.0331705681677041	0.0595235903940066	0.1010139160399923	-0.3747808586962811	-0.8490755444400677	0.4171231396466643	0.4825934393427831	0.467052335756978	1.6281104801852209	-0.9434546162382886	-0.9293524969635214	0.615055778978503	-0.1973339928602819	-0.1183198024562965
