label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	1
3	2
4	2
5	1
6	1
7	1
8	1
9	1
10	2
11	1
12	2
13	1
14	1
15	1
16	1
17	2
18	1
19	1
20	2
21	1
22	1
23	1
24	3
25	1
26	1
27	1
28	1
29	2
30	1
31	1
32	2
33	2
34	1
35	1
36	2
37	1
38	2
39	1
40	4
41	1
42	1
43	1
44	1
45	1
46	2
47	1
48	2
49	1
50	2
51	2
52	1
53	1
54	3
55	1
56	2
57	2
58	2
59	2
60	1
61	4
62	1
63	2
64	1
65	4
66	2
67	4
68	1
69	2
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	2
82	3
83	1
84	1
85	1
86	2
87	2
88	2
89	4
90	1
91	2
92	1
93	1
94	1
95	2
96	1
97	1
98	1
99	1
100	4
101	4
102	2
103	1
104	2
105	4
106	1
107	2
108	3
109	1
110	1
111	4
112	2
113	2
114	2
115	2
116	2
117	4
118	1
119	1
120	2
121	2
122	1
123	3
124	1
125	2
126	4
127	2
128	4
129	2
130	2
131	2
132	2
133	2
134	2
135	2
136	1
137	4
138	2
139	2
140	2
141	3
142	2
143	2
144	1
145	1
146	2
147	2
148	4
149	2
150	4
151	4
152	4
153	2
154	1
155	4
156	2
157	3
