label_id	PC 1_mKate2rab5_TFOR_pca_predicted	PC 2_mKate2rab5_TFOR_pca_predicted	PC 3_mKate2rab5_TFOR_pca_predicted	PC 4_mKate2rab5_TFOR_pca_predicted	PC 5_mKate2rab5_TFOR_pca_predicted	PC 6_mKate2rab5_TFOR_pca_predicted	PC 7_mKate2rab5_TFOR_pca_predicted	PC 8_mKate2rab5_TFOR_pca_predicted	PC 9_mKate2rab5_TFOR_pca_predicted	PC 10_mKate2rab5_TFOR_pca_predicted	PC 11_mKate2rab5_TFOR_pca_predicted	PC 12_mKate2rab5_TFOR_pca_predicted	PC 13_mKate2rab5_TFOR_pca_predicted	PC 14_mKate2rab5_TFOR_pca_predicted	PC 15_mKate2rab5_TFOR_pca_predicted	PC 16_mKate2rab5_TFOR_pca_predicted	PC 17_mKate2rab5_TFOR_pca_predicted	PC 18_mKate2rab5_TFOR_pca_predicted	PC 19_mKate2rab5_TFOR_pca_predicted	PC 20_mKate2rab5_TFOR_pca_predicted
1	-2.651724478648736	4.568806977401189	-1.9423457772539343	0.2563040450521594	-0.5240572768473122	-0.4674885827088788	0.520180439065177	0.2722701262741438	-0.9750403330599976	0.283120817123059	-0.9048823612231216	1.4799118269085432	0.0108923048876441	0.3740454110855573	-0.8699590476615287	-0.9299567058958506	0.0656855734930921	-0.2209915677799221	-0.1518836179203315	0.1909170917745482
2	-4.434496896021495	1.7688435682661816	-1.6891826073109122	-0.0168153785881894	-0.7541949888092567	-0.7534757856704823	-0.1074059108524476	-0.0122153197884884	-0.6852521776919365	0.8766959192706911	-0.7214866924839481	0.860254665935452	-0.924562238917165	0.7647469762460588	-0.4053629315083222	-0.0606215791760932	-0.0208042563095489	0.1825940884110688	-0.3162157306784134	0.0302655984444997
3	-1.2464347422480893	5.771467594316339	0.2991359943304978	0.0732673859704551	-0.9225945247351852	0.3652059531089362	-0.0270497444630901	0.5799629518170448	-1.3774379161899015	-1.5474549983523045	0.4839774794845669	0.2179960353393895	0.1755339100173145	-0.0769766152203743	-0.2247974521787101	0.1785862517986775	0.2300906533493083	-0.1954339468136117	0.0058727652125352	0.0358775193650644
4	-1.950237469476144	5.209694724763036	2.282414606187067	-1.6042319886818233	2.973000690455517	0.8079143972124987	0.6215855683345897	-0.8846292593485927	-2.1038366136566187	-1.2113307870656806	0.5038169563415326	0.5654048550055464	-0.3457977849647236	0.7068133728733841	0.303367890484167	0.7400143181494484	0.6071871082217697	-0.2934855989049756	0.9140652293010644	-0.3601951802425271
5	-3.872913471532664	3.796050830722397	-2.7202349847194123	-1.0886129021868722	2.282851091505389	-1.2694043520014808	0.2263522932068102	0.0449446542329674	-0.2178681622489837	0.2763603692109695	-0.3346743163469715	-0.4554497889963151	0.1612014498341487	0.9124688422432712	0.1582836964805798	1.1052140846034937	0.2222202253677963	0.0180235141045381	0.1939109953821383	-0.1088798445618492
6	-3.897361567728341	0.1346960434468659	2.4336901167913667	-0.7340878915933491	0.0407982393170414	-0.3241324394985421	0.1775064361720471	1.1135092488911305	-1.5219886941305991	0.1455349568481982	0.6447955636056067	0.259898129891333	-0.8686478604303112	-0.6894375398256436	-1.2367150477075348	0.4382671357737057	0.2967384235809163	-0.1026626264186203	-0.4713432595747147	-0.0319950617823603
7	-5.8316011663003895	-2.624337650237052	-0.9314161690343504	-0.2924580396281246	-0.4286458185282065	-0.954215001316137	-0.873851592561385	1.040703060437604	-0.3186701002629637	0.5107731205538533	0.5269123409162847	-0.6341468883805383	-1.5245788630457184	-0.7019335267141464	-0.6334360456373966	0.6077358980214983	-0.1906815621974218	0.2159285663384162	-0.2761678476821654	-0.0396601425400073
8	-2.3369241656787643	1.8348260508059868	-1.009179175666781	-3.801239060280404	-2.2756133122811626	-0.0317331125789595	-0.2949459828960616	0.9016757229444572	-0.3442746448882166	-0.3359342144996982	0.4264068448766148	0.7741669146516443	-0.2946996561488895	-0.4153715012330998	-1.1237904168952868	-1.163629196392835	-0.3205421510193098	-0.3013762797507373	-0.0750907863776344	0.0255340813437325
9	-3.5279207806412614	4.041952507852706	-0.3361659941924031	-3.1126632005431976	0.8930624500045177	0.5523367495299629	1.2290853072934436	-1.060263539796377	-0.9653004503006248	-0.6036650660015506	-1.2668313383658385	0.7992043148257384	0.6301595510230698	0.8531761639247009	0.5996782225473352	-0.5424579263253505	0.3557211067951982	-0.0913023242360286	0.0597017905664305	0.0413734345012852
10	-1.8634260410661208	4.351413089691267	-2.20573233756597	2.031649446959955	2.28493331075422	-0.7444051271056731	-1.0194101465063117	0.7252524598641337	-1.0846043765726496	-1.5720783591814682	0.5804598709222739	0.5905096483821666	0.4718536963539605	0.7800083340207493	-0.2407263505729071	-0.0052354661865133	0.1474237928105537	0.062479570183193	0.4483613479859105	-0.3822595073198314
11	-2.5018965216751154	4.460544095849585	-3.2662333740429803	1.607403453094781	1.2054356141955085	-0.8188339908704956	0.0323447794651396	0.3412124503120246	0.2954001585950396	0.7012095147720279	-0.8447510891577875	1.033287600850029	0.297662542604808	-0.2338094316596795	-0.4731157842452989	-0.5387747766919185	-0.1877341694010923	0.133060555913467	0.055951857917547	0.0402373876180921
12	-2.707478713191127	5.2096982414046815	-0.3494373444096446	-0.984794513054334	1.5829937642200171	0.6543393606921084	1.007768949061747	-1.5788445349911733	-0.2358317935230869	0.7383519416516362	-2.0750943084441307	0.0632902965212096	-0.3571413574563244	-0.2366771691446239	0.9497904570018704	-0.132777960731199	-0.0823090960221357	0.165742724745588	0.8356171277190381	0.1542460131456953
13	-2.6626989754722543	-5.495957612511044	-2.306348129787829	1.1832512180954229	-2.690229104561101	0.0859870146504127	-0.3598026954494724	0.3396390585125388	-0.1113963193815945	1.3658370567816005	0.9818064925700491	1.9447933830834645	-0.8361330740424968	-0.4160780045817489	1.3452659340850266	-0.0034264080756672	0.3950800809612758	0.2418612567166003	0.6965531900196336	-0.4512557560885599
14	-1.5495994559198265	5.933384131840434	-4.580188104549348	0.4867728246190719	-0.8666550901378933	0.1722975578435415	0.171637307761669	0.309038895376414	0.1217234276997802	-0.6608685031625792	0.1172980968156717	0.2264957868163346	0.4478886705918974	-0.5116998400565294	-0.6162293300205635	0.1515517991880799	-0.1117385710363649	0.2756392828691185	-0.3448146012809783	0.0369688239962013
15	-1.3046464926187131	4.736865396622632	-3.6446012772810064	1.2905153352249157	1.0767460056894789	0.997709355800498	1.8153895493441408	-1.1026521795260358	0.8498487629732271	0.1744523932657633	-0.4862206858313788	0.7967906042283897	0.9573575595983002	-0.9469068864056815	0.2677610008243887	-0.8126777263578361	-0.0645724477885558	0.1158781911147885	-0.0426954124124119	0.1789873251067892
16	-4.452473285731783	-4.340628316166427	0.7753943163562724	-1.5784776457700982	-3.5231039743264283	0.4530848862512924	-1.334150411512022	-1.9412625658077328e-05	-0.0840363560509485	0.0766778314671794	0.5219660016178248	0.9803356875932624	-1.1254270888401692	-0.430286810163313	1.3636678517330614	-0.9391794966504802	0.0488471795917753	0.4615483669122222	0.2075333142295239	-0.2673889656485424
17	-2.8893265296871298	2.0511336350404368	3.222326717346319	-1.7047461319496424	-0.3476393670689219	0.833991930567417	1.6071291343048395	-0.1870512019525847	-1.0020764355094165	-0.5743042377534773	0.5944440564273828	0.0671793124685642	-0.1946065947007937	-0.6647157465706748	-0.9934186353176928	-0.7355028315438609	0.1475895220075862	-0.198645907322813	-0.8497755022118749	0.2432731010074271
18	-4.821154992622239	0.1784238880122725	-1.1065243504240427	1.0947845786470527	-3.2687087396527303	-0.0368711350238273	-1.5452343761928962	0.8241284450804223	-0.2688573518424211	-0.5654322829085852	1.0952199818837571	-1.3463597162927616	-1.448983300292504	-0.7898382765191094	-0.1047037776575843	0.6733396954364624	0.0187850836054515	0.3161496255798826	-0.2372048878223598	0.1163686057358615
19	-5.33860118529074	-0.1793664990889031	-5.190970045892283	-1.6542179681038702	-1.2650202518278135	-0.9839486812797248	0.0293005729638746	0.1698743422476063	0.3959802786184379	0.3790861448337457	-0.4747567783003515	-0.0404061530892754	0.0754152216285782	0.492960007719919	-0.2300364203003519	-0.2747588295770492	-0.2119237012909487	0.3103547973820471	-0.2201279205571698	0.1016681684595171
20	-5.026598268931967	-1.1500827053121578	-0.6676477826289549	-0.5436656726537397	2.05994074059738	-0.3965926712900982	0.0452025082566915	0.0058497924761411	0.2356850827149794	-1.0157316370460845	2.4207215750194795	0.0293582365300135	-0.3714439706736137	0.3354343939928803	0.2458155575829606	-0.1505182715864369	0.4436778182017782	-0.266813195446655	-1.191806110590301	0.0571441075235505
21	-3.6821932590218736	2.9015694960483462	0.3285150752680394	-3.753223447029826	0.1092736990750182	-0.9500856211078323	-0.4208180492821984	-0.2459116294260575	-0.3173441688858678	-0.0233046766923445	0.0693212190556716	-0.1511360386108009	-0.8883961240685672	0.7053496471742521	-0.4441220257920948	-0.5007212151333685	-0.0498538897470439	-0.059084033767135	-0.1980443712791437	-0.1284131687588181
22	-4.215369465187992	-4.037374762252433	1.8045529827637268	0.5095242569403435	0.6323113235898425	-0.4251032272532891	0.8315640498213472	-0.429817099508984	0.0888818858661575	0.2937845564497434	-0.1808667037946368	0.4601410378921002	0.5038746440876594	0.098331866420871	0.490317738521159	0.2136238858845333	0.262600248205193	0.0582991986935506	-0.2609836341737317	0.1195517372334191
23	-2.3883903608216186	0.4515113793368218	-4.280052828433677	0.7931288657004085	1.5341647383078725	-2.00949770822129	-0.2255149240389311	1.1688948926110534	0.8293350642457821	0.5617225071584853	0.2543098062264181	-0.0889173806399021	0.4688526243846205	0.2417046142424332	-0.3381646226534593	0.4028095889305779	-0.3470435837077474	-0.274214721606995	0.4105605190810184	-0.1321113228734289
24	-1.987333423477613	-4.768621264118625	-0.9388541089293808	0.5082829131915165	-1.2534905804370349	0.0340678377274654	0.2694044025211449	0.484129164836709	-1.0715310751723242	1.0515412766976302	-0.1487483280983516	1.4778260550879203	-0.100746435639948	-0.2040977522219869	0.4719488473481865	0.5691525998205317	0.2980184509596675	-0.0709791243215851	1.116098124493364	-0.4447447217919946
25	-1.7922981045835915	4.83601797341414	0.6718114273985443	-2.2829525393114083	-1.1816380753650009	0.8232921754690237	0.4404830288516432	-1.4456978965536464	-0.3311763895943334	-0.1236521602818501	0.0129604606465586	-0.1424674996607553	-0.113176650672301	0.2527944731641796	0.91804982914078	0.5583045546454354	0.5596715449176919	0.1498217188932715	0.6343363242272506	-0.2574316570432979
26	-6.508884678088281	-3.2808171858753954	-1.8290177351183	-2.1394769215758327	-0.1177888213835522	-0.3931528715395567	0.0647509530800096	0.2021379768440994	0.1910789660337175	0.6823051585768025	-0.1346107243249134	-0.5388579259406967	-1.1388840970609806	-0.8476915318544016	0.2153494102816813	-0.4444268983418281	-0.2957099389049304	0.1039035729808228	-0.1795931233977494	0.1559950942672139
27	-0.3121536305841679	2.1881756611206424	3.2632232289009333	1.2287280968487853	1.8366026458448663	-1.99210662438134	-0.2008854859041111	1.0736850430071885	0.0181012967679339	-0.2701688944901657	0.7699857488158005	-0.2662311167903901	-0.0007539396250599	0.0627227394148732	-1.138652694359192	0.2824203212587352	0.0651424802727695	-0.0674964574622014	-0.4711170534645905	0.048274788032137
28	0.4768539677476036	6.165699394591446	-0.2366872504745499	-3.537252044930204	-2.049654224618319	0.7995651529758829	0.3917332659593686	-0.75540494774053	0.4138066960638364	-0.3461462768996706	-1.2993290808123223	0.0582456442627509	1.053155346593197	-0.5260117698050628	1.6620024492371916	-0.4491010554774078	0.1176053935863528	0.1325411725295249	0.906748878025864	-0.1788819920190483
29	-2.641919658461896	3.7463030730946265	0.3393478314295202	1.4112575629314552	0.3659122238273156	-1.4927382333658494	-1.8062504325460136	0.7374513910187623	0.4893753149034654	0.2117884665737184	-1.1821290436138394	-0.3177316542532935	-0.6823856935863652	0.0475186544239178	0.8507941997816806	-0.0830287635539464	0.056211686354733	0.4302886413174038	-0.3414819909484183	0.2678093865170088
30	-2.784871818333482	2.8416536099329592	-2.7338793124004512	0.8863565074179878	1.245898602301633	-1.1265274075736444	-0.0447361392532865	1.2421265840365123	0.6426100895405109	-0.0935248372500654	1.4327805514927636	0.9755872716590748	0.562545598762128	-0.3133560605020271	-0.5157979302596738	-0.3365069227506622	0.2122716357045113	0.0041238778905106	-0.8188953458215327	-0.0390974118134717
31	-1.5964993787027109	2.412936753124854	-1.6947316025879438	2.243617656644924	-0.2313699627742913	0.5839664048224966	-0.2168989957870106	-0.3111206854010753	-0.1152000426484538	-0.365323853945448	1.211109705663974	0.5390428409759771	-0.1128286036919021	-0.2027937156034092	-0.0700651396092277	0.4097784288539395	0.2010263915716989	0.2982153988007534	-0.0274107845757907	-0.2566282973598741
32	-0.8585637437929825	-0.3756765790623429	-1.5125939035812557	0.4414456090180376	-0.1872221566761602	-2.3244417378690767	-0.8757298061433065	1.0297967470018463	0.8078112772536907	0.9094379680268004	0.1865815939431082	0.7887847395464203	-0.1231255054763486	0.5646455978255283	0.2341146515427139	0.3529674336772496	0.0872774514411112	-0.2843961959867476	-0.0769241182666799	0.0057650189908788
33	-1.4809544776297383	-1.0454483115124265	2.626685713125723	1.1699799832441844	2.0211989607679577	-0.7044833759052844	0.3526301387752841	-0.2039694244862673	0.5585871608375608	-0.4235312810890692	0.0744696545697055	-0.0609554705620389	0.4610959911550196	-0.1898641443322688	0.1369552235622242	-1.2584318292685728	-0.214990990827917	-0.3799993037177065	-0.0146999656091946	0.2806316367425148
34	-0.0681734949733061	5.495665147580586	-2.6388363619472424	-2.0285904277891245	-0.5074424249641609	0.8185407345656612	0.9393626442438164	-1.051811193624001	1.045925781337146	-0.2664002422112406	0.5584954215634158	-0.4264542005593323	-0.1068826107973172	-0.8154134878509183	0.9018725213330072	-0.4503560358338726	0.0229953267590594	0.0654395557672418	-0.6543676668586489	0.2182357445103293
35	-0.4840254178832288	2.8305297134989367	-1.3345157259606253	0.0314458392771843	-1.5512397092863992	-0.4642356947697807	0.8964350725689894	0.3948224977948804	0.9807034811078804	-0.7687079720097219	0.5971450654681244	0.2048433983712652	1.5361843194296014	-0.2582932648859106	0.1096944852041224	-0.7326670719824288	0.380419076678671	-0.3023965990111106	-0.6414343992833604	0.3321298692735497
