label_id	feature 1	feature 2	feature 3	feature 4	feature 5	feature 6	feature 7	feature 8	feature 9	feature 10	feature 11	feature 12	feature 13	feature 14	feature 15	feature 16	feature 17	feature 18	feature 19	feature 20	feature 21	feature 22	feature 23	feature 24	feature 25	feature 26	feature 27	feature 28	feature 29	feature 30	feature 31	feature 32	feature 33	feature 34	feature 35	feature 36	feature 37	feature 38	feature 39	feature 40	feature 41	feature 42	feature 43	feature 44	feature 45	feature 46	feature 47	feature 48	feature 49	feature 50	feature 51	feature 52	feature 53	feature 54	feature 55	feature 56	feature 57	feature 58	feature 59	feature 60
1	-3.122132235495416	-4.161179279970491	2.124016178418167	-2.71664248172434	-0.8099308418797713	-0.4304190093901454	0.1356822223613354	0.0181226089956028	-0.2500183587950602	0.536436040563654	0.4865675200834789	-0.0815977392554868	1.3508398931037575	-0.321829372612826	-0.388294236346541	0.8772767317556651	1.5793739142799903	-2.623659376657362	-2.062441981035392	-2.3419326331338794	3.8450661863635576	0.0577098710251531	0.6261810439638348	1.5126614007995194	-0.3813150966915324	-0.0708313268351991	0.1695493024459538	-2.943884521418441	0.1198435104820947	2.524966392851982	0.983078309560748	1.6770855978625028	-0.7459674088487376	0.99682961934873	0.2870334032992279	1.463292925213883	-2.308747963633074	-3.242213468438332	0.9089862850422226	-0.3598174887457581	0.0326606259984227	-0.3738323635716534	-0.9056470268856556	0.7336925988478065	-3.434835695316602	-2.8217869554304875	-1.885531729598884	0.9394637851304588	1.4031882700715146	1.720816587460835	-2.6197875283573744	-1.557858617233728	0.3203904886931188	-2.457113183696132	-0.2283337483724272	0.9442002421482992	2.082428186106473	-0.7638755313466681	-0.811968444513623	0.4430014759059653
2	-1.6941047286329871	-4.3869456413427885	3.648716425056432	-2.6006743801494903	-0.8785984598614944	-0.2047365723340767	-1.4537198538544966	-0.1585937956546317	-1.5340102994993208	1.7621003173393708	-0.2205605960201957	0.339692283155873	1.099056713847438	0.7322406324811435	1.3668262531715203	2.0305740554953746	0.0782112523650799	-2.25591548221593	-0.9997740660302434	-3.2089861608048835	4.672597694980984	1.2671786964178429	-1.0304458618426966	2.3446963237066494	0.2319808115233179	-1.552538691537637	-1.2265242203444997	-2.27812180177966	-1.347884154658649	2.389146174429823	1.8061164371726712	2.5192615911018104	0.0242579645197984	1.7297966854450335	0.8143451968191208	3.265362084544659	-2.150786122898963	-4.05530616445901	-0.9531446803805728	-0.0440790849908241	-0.152695876306792	0.0816346795554141	-0.8064672999338907	-0.2619230833991208	-3.1945501143281527	-2.2471341879596034	-2.0520601150642346	1.5018796376159167	0.1688791358178294	2.6386190939409646	-3.379880306120998	-0.5289250376958803	-2.604140884167279	-4.10206163800037	0.0209355555630099	0.3255235202938875	1.0779160126379483	-0.1753915421447123	-0.8985450988526842	1.8034537203527767
3	-1.8165239725233857	-3.927897738608509	0.6234836799339734	-2.9775804144411797	-1.0478447098809314	-0.7431202078192319	-0.3207717965611709	-0.8715446150645105	-0.2314335457601521	0.4615342903887605	1.2754416595092353	0.1599464127675759	1.1208515518386886	-0.3596905012491764	0.2563262985173109	0.4952212997094879	1.2877661068207846	-0.4967425554205729	-1.4689616013702345	-1.4244573786922272	1.416819540565358	0.8189946014752558	0.3704751338202969	0.5178456985912825	-0.8009653028281691	-0.541785245076612	-0.2784707693130235	-1.6755949803927588	-0.3838349988360865	1.0664282628135502	1.05646039107938	1.682220595681741	-0.128625348958093	0.9017452128868144	1.354407499384227	1.1644260383292742	-2.622036016861068	-3.343608851672484	-0.971877399293652	-0.941149198002595	1.6877884220784751	-0.9446179904724712	-1.9657945773342929	1.3317124379024738	-2.1610232784645445	-2.4457980156870875	-1.3947859966770677	-0.6288145185175207	0.9645168925861204	1.0020431390873614	-0.6669294807365391	-2.234540007123885	-1.245786003323778	-1.3696756331476987	0.4848688380697901	0.9589177340678052	0.2073167262445858	-0.1837717658824156	-0.4994214056546275	0.0421270158990376
4	-2.8901206497224075	-4.756027756321962	1.51303891930614	-1.3635598769789343	-1.216033037621087	-0.4461469133379832	-0.7765565688737885	-0.9800700360233652	-1.115206200496087	1.0625065258237223	1.4909884126613109	-0.0270455196435883	1.555715156317992	-0.8815156844646321	0.6299097132481319	-0.9368239113494754	1.803874169239092	-1.7191250703046426	-1.827020515841716	-2.59668685961482	3.823388258222596	0.1160657623214762	0.7067843903393571	1.6682802206724268	-0.2653306030900495	-1.8378724184821245	-0.4451835751296871	-0.9517433631813166	-0.4774382143585449	2.9489508780552347	0.3672889757481981	1.1636295724416208	0.6045384750038683	1.1373814749693156	0.5632699462410143	1.664956612744095	-3.024365391101888	-4.07134561717375	-0.3523024725017862	0.5682336174286631	0.5567306910419498	-0.0393140338964052	0.1030387168735984	-0.1968845590019072	-3.317505976785947	-1.4989657088234654	-2.941887019542236	0.6275714270770973	0.1968795976452622	-0.0362757880759502	-2.5967543267036683	-1.0158625419778415	-1.944006401572952	-3.633655841962255	1.0632479609504673	1.2665279147136594	1.897447740424468	-1.1606490501510027	-1.2325135753792753	0.2106442142574671
5	-2.7523017564941794	-4.03960703778232	2.393562799405513	-2.392296682984822	-0.6873312922727988	0.3932520217592803	-0.5009714628320687	-0.6136869174306203	-0.6578503546588479	1.1475744729224264	1.0101486227317182	-0.1053135786888739	0.984603824343944	0.2427270944119319	0.1000768779865881	1.8802607932691373	1.4890596113729682	-0.5971926473285323	-3.228233022201623	-2.0100542207549106	3.2399359516962583	-0.8499270757781021	0.5415206377876833	1.1422217767619762	-0.6683874900802356	-0.7345182365170719	-0.0550509267954426	-2.5948469468428823	-0.3594270548724343	3.386563856106654	1.4777273443402743	2.51647096619304	-0.6273866754080041	0.33767312209135	0.5132252121478417	0.1908613837367392	-2.6206657351366744	-3.6717449074506674	-0.5135390402054265	-0.4845361556547756	0.7341216447599157	0.3376717751888755	-0.2116933393945093	-0.4335415093381609	0.0075574954419312	-2.7248416131359443	-1.7559370639753225	1.352874257978953	0.9563142124049846	2.043629688886474	-2.202926542831821	-0.9800973770523962	-2.1671705039545897	-1.7863965158551482	-0.2715049635610467	1.908133062912567	2.164762530984051	-0.3539936768540959	-0.8459411025867625	0.5192618723680646
6	-2.9103844552472133	-4.022297660224558	2.2334840764465724	-3.07108059402912	-0.8964956030398903	-0.4121028551842899	0.0638574481804075	0.1146647438976984	-0.0376971184173431	0.3125954194104012	0.1965730456866898	-0.4615008783578571	2.006560492577019	-0.6276512768102116	0.2222763558000404	1.3863081932173036	2.461974279982732	-1.0916104816367809	-1.8977001371474675	-2.4736380530781217	3.682109424786829	0.5117244032183497	-0.0282362392705843	1.2616640714395193	-0.8637938122633	-0.407687086476457	-0.1591501397959396	-2.8660335139592044	0.0470622811808114	2.1484069705117363	1.512057902813242	1.8019053413294297	-1.3445356613915258	1.1375663069724578	0.1029230093499064	0.9250572524442764	-3.2117919420385865	-3.0791261697101264	0.350828026603849	-0.8503315510899228	0.3622277893731285	-0.6131384561488518	-1.4987742473650738	0.8220636124801541	-3.060823293666626	-3.020889082559922	-2.022602581856836	0.5937806283131897	1.599483964646195	2.000397765809668	-1.7341924922331224	-2.089341968680204	-0.3370385415551677	-2.021932780864809	-0.5591471877628145	1.055529646946615	2.000851067800215	-0.6297952325633995	-0.6136771804538088	0.5653449149575882
7	-0.471240743383011	-4.42123898843953	1.029442886124198	-0.8496397038423522	-0.8532455684768023	-1.8721809076549956	-0.1176615979698425	-3.3936690859057363	-1.166023614910287	0.9166836480310804	1.3517987775456508	0.4763342125268188	2.485919037146071	-2.0113831446828545	-0.6626453303605291	-1.0931072281712422	0.7374033334168275	-0.8283392945779493	0.776750284411658	-2.135615774444167	2.869962172666548	1.787271406160554	0.9189464056794102	1.4721025998723496	0.7934763918027152	-1.3807651967673986	-2.485841136670124	0.3601179497672246	0.4445155830342957	0.6677919499437106	1.490094007179242	0.5588128764568652	0.5109773365282857	1.856804620756873	0.5287221879673686	1.8210470789770676	-0.438571571405304	-4.185651464449026	-3.2542442202639195	1.2303513779905133	2.5330498136199777	-1.7665045541383286	-1.215939938442819	0.778097935702045	-3.675391058094512	-0.829411017320437	-1.4177050924143146	-0.733505501357453	1.2524679762247373	-1.5851956018717417	-2.192948747189768	-2.295243124723944	-2.3496624210624644	-3.337680761789976	1.992406362360504	2.610647018371725	0.4464891655532472	0.6131219255009455	-1.3160581564977425	-0.5232867662757987
8	-1.3015379989247329	-5.11787879574621	1.3380378701076825	-2.3261380915638936	-0.1598836597414743	-1.7947893484843085	-0.2417195698048067	-0.8346385347263481	-0.7122072309877621	0.4963058496043714	1.7211529190426285	-0.5509922468892599	1.3705672295955158	-1.4353651873740203	1.1175365335478624	-0.514657075470158	1.8715762451676072	-0.6047259488888259	-0.8001116438876879	-2.4917557190484185	0.1740258401786389	0.5782553493627756	0.4105019306679243	0.040602969135814	-0.5336013730118063	-0.759493311771931	-1.062478209275077	-0.7679173035994094	-0.1703154123174828	-0.2380631611705892	0.3865645950230041	1.349286347338878	0.2057698120474684	1.8559868528662011	-0.6599890857191125	1.4501892308372564	-2.7266259707767238	-3.682935581844864	-0.5608349750848703	-0.2438191799390292	2.849200727376144	-2.159722290885335	-1.7800341386850134	1.6383312123365847	-3.714038267091219	-1.4702701184574378	-2.2195308911550926	-0.2246727297994382	0.413468817749596	0.3453539856299965	-0.2919035633969722	-2.931305099184985	-0.8501488956932358	-2.5146555463109874	0.8884675308571497	2.5558082834798004	-0.170784183972473	0.2709767207673711	-1.532667858845944	0.8866442378840306
9	-1.0189126425618604	-6.118714220533552	2.5163016732224266	-2.241602041203042	-1.2742896010560862	-1.8729851702669444	0.047400912685432	-2.755574723603309	-2.637934124615624	2.310707091269989	-0.2125758413340301	-0.9245954915317558	3.171538020393849	-2.20768533256273	0.2679687591680524	1.437536743287073	1.1802118666703518	-3.0270483227950877	0.4715886195112846	-4.536231121135051	3.396458944015186	1.3386826982944862	-1.6488710840245848	1.4816215508654629	-0.3801119020863188	-2.241221819902512	-1.5157678389247962	-0.6555491675180081	-1.0434536574069933	1.3125023354856502	2.4199953485263963	1.7997757455428798	-0.7781369046989115	2.1548486423008466	-1.1393641615200556	2.5038465596843893	-1.9916786072612305	-5.684718340417062	-1.3299163291806402	-0.3116332001651294	0.5953456074625336	-1.5952983504809777	-0.8316842612566258	-0.2699694132872388	-4.74511443166371	-1.0440141362515254	-3.781270065860975	-0.1820859979690186	1.982873809460569	0.2029934886235606	-4.552399726157733	-1.564738462519352	-2.032511733843396	-4.729001535140908	0.1618516119231117	0.059556765117243	0.1416869902866588	-0.4570029169188943	-2.633333085147764	1.5676719162478825
10	-2.379121010007238	-3.628338475867798	2.3103422106799467	-1.9550701799960704	-0.6119881260147033	0.8290811416816803	0.5314985485479111	-1.1876676860158393	-1.2878166950570749	0.6860566174560241	0.7154266262220541	-0.418187602222293	1.2973858993358576	-0.837483983520241	0.2719916320195163	1.0556404281100151	2.11594479085852	-0.8240716896047391	-2.433921248864176	-1.1277540301296467	4.621977050893905	-1.0170375538675305	-0.1021044156611703	2.027561605128409	-0.6695084045611401	-0.2767816473874565	0.1523980397456072	-2.9334482515226177	0.6968911172299947	3.80062788861255	1.009776763278599	1.6565273477522882	-0.844340735912246	0.2822031342702091	0.1024104035173157	0.6215064804496331	-2.658765742676187	-3.499224697504804	-0.5900744539850006	-0.2253001206731566	2.512728563249913	0.4681453710822464	0.2677775341787818	0.5533009274267671	0.2850808770850959	-2.5651120152945763	-1.3648167797905528	1.160189522100083	1.5306590550624364	0.7985199523322039	-3.1285492698791435	-0.191484936173651	-1.6384793619261435	-0.5889191216648673	-1.6181220137189616	2.7361322244994737	1.9311215264959345	0.1074686335456472	-0.485222144114048	0.5056271323260584
