label_id	PC 1_NLStdTomato_TFOR_pca_predicted	PC 2_NLStdTomato_TFOR_pca_predicted	PC 3_NLStdTomato_TFOR_pca_predicted	PC 4_NLStdTomato_TFOR_pca_predicted	PC 5_NLStdTomato_TFOR_pca_predicted	PC 6_NLStdTomato_TFOR_pca_predicted	PC 7_NLStdTomato_TFOR_pca_predicted	PC 8_NLStdTomato_TFOR_pca_predicted	PC 9_NLStdTomato_TFOR_pca_predicted	PC 10_NLStdTomato_TFOR_pca_predicted	PC 11_NLStdTomato_TFOR_pca_predicted	PC 12_NLStdTomato_TFOR_pca_predicted	PC 13_NLStdTomato_TFOR_pca_predicted	PC 14_NLStdTomato_TFOR_pca_predicted	PC 15_NLStdTomato_TFOR_pca_predicted	PC 16_NLStdTomato_TFOR_pca_predicted	PC 17_NLStdTomato_TFOR_pca_predicted	PC 18_NLStdTomato_TFOR_pca_predicted	PC 19_NLStdTomato_TFOR_pca_predicted	PC 20_NLStdTomato_TFOR_pca_predicted
1	1.5778491830818815	-3.2063794316060465	-2.7469660448684547	1.731139950912751	-0.181133471333155	-0.901811187494278	2.269959362831477	1.0310168319996968	-0.4484095694563573	-0.1898052625495691	1.233008649277452	0.4508844907737694	0.2800731951639756	0.365556392343597	0.6083133325663185	1.1138027143584606	-0.3661300784378531	0.3965604927418979	0.2797415183979915	0.549461212938347
2	-3.568090724345588	-2.7025118954739766	-1.7549523146112531	-0.991038180404428	-3.3152698043259914	2.3546570111334653	1.179736101484172	0.290491910201805	-0.1061782470298594	-0.5608674904895251	0.031492844190924	-0.0291804312956505	0.1919508358252297	-0.912186404076348	-0.8835897005865351	0.2608734761518354	-0.2767345848758133	0.1328304859962616	0.2406156529367233	0.5930076884218957
3	-1.1013450396562636	-2.659820811989848	-1.816778158482712	0.0158503544172595	-1.1176972547720196	-1.1680092090672305	2.9918038666530697	-1.1185275619963466	0.7642313145506067	-0.5193124146656715	0.4561649956800894	-0.1815791212894635	0.2662742733247675	-0.2995233720154363	-0.3070756732484553	0.2765575951727652	-0.3085106554712439	-0.2209180209178862	0.0653666839812525	0.3754320278351218
4	0.2144904082596406	-0.2479224758235401	-3.461788493330933	1.526292547980077	0.1086336566145039	0.7621027387111906	0.3916069802122697	-2.215030612879829	-0.2458851102363989	-0.0087178040921666	0.797160440289559	0.133039319389953	0.3063057833721616	0.848857539852173	-0.2846418774752058	0.0846119496813577	-0.0764230622950168	-0.1463602166885946	0.3255433129135742	-0.2784513628569155
5	0.7643769561002622	-0.7838041831342619	-3.763716305751671	-0.8055539126629228	-1.6980331505053718	-0.9869055082269804	1.8118104351091264	0.924376137699671	-1.7222975296499747	-0.3376841222040015	0.8318112574921767	0.4097437749089931	0.6875781808356443	0.2094246558642784	-0.21078439502822	-0.7216042269254631	0.0464932215639284	0.0336143692488457	-0.1510727549654004	0.2920224383133131
6	-4.276858892940467	-1.4685308933447998	2.2114132813748606	-4.12828135306422	-1.2688459156640042	2.9251693959747054	-0.1691068397697652	-1.0528991868521578	0.3598038954353689	0.0780421326497021	-0.6875482457595087	-0.8982011878167322	0.1693307813535809	-0.1259470564869808	-0.4622672711510825	-0.2439225131875402	-0.2405075996363774	-0.0058324615481093	-0.4855057487075355	0.4469436259984515
7	-0.6736570906839411	0.5213032188305537	-3.0565582466382297	1.5683584846203935	0.7662271716728762	-0.4330011399819209	1.399858943531023	-1.6798189367613503	0.7091575884107898	-0.6655931368966584	1.4090685075683729	-0.2566750218468396	-0.1012169256238931	0.5961792038195398	-0.0531609290785411	0.2950011190066253	-0.4069953055349704	-0.2601956174685539	-0.049363601025718	0.1024569801554201
8	-2.3660416120070824	-2.7247040015102786	0.4845598384060772	-3.5028950685220783	-2.0986975155087566	0.7397480465049507	-0.1824616896848419	-1.1058185968840195	0.0564666867836588	-1.0055056984410289	-0.1313783047250999	-0.207734278675256	0.6595808232981695	-0.7244815359030973	-0.754474590259539	-0.0050304274153207	-0.1217507923868237	-0.0983934219450399	-0.1144719039766878	0.6487968216982837
9	-5.305129937807791	-3.138433375719315	1.140603000947862	-2.9205818407446698	-2.284780339469328	2.1172441964214954	-0.9212313382081254	-0.0550120661439742	-0.4243398742774492	-1.581604184102784	-0.8556466082029254	-0.3800256944520497	-0.9073631043060592	0.2602983791438072	-0.1929142513967495	0.0236469940587671	-0.168101405284935	0.5891641318741659	-0.3013904307430929	0.4390402293846219
10	2.2686826601985364	0.7738752308905992	-2.29616013800877	0.6721759586689835	-1.2428465314909103	1.381343004464471	-0.3817875935251289	0.1874111175628697	-0.7631637705008448	0.7204064840319363	-0.2317458701896967	0.0704986338146247	-0.1510492765206745	0.1404147372359544	0.7322373503889211	-0.1643527743246697	-0.3485335929669335	-0.4122372325430916	0.1204524898296724	-0.1406030878227388
