label_id	Predicted Archetype
1	2
2	1
3	1
4	2
5	2
6	2
7	1
8	2
9	2
10	1
11	4
12	1
13	2
14	2
15	1
16	2
17	2
18	1
19	2
20	2
21	4
22	1
23	1
24	1
25	1
26	2
27	2
28	2
29	2
30	1
31	1
32	1
33	1
34	1
35	2
36	1
37	1
38	1
39	2
40	2
41	1
42	1
43	1
44	4
45	2
46	2
47	1
48	1
49	2
50	1
51	2
52	2
53	1
54	1
55	2
56	1
57	1
58	2
59	1
60	2
61	2
62	1
63	2
64	2
65	4
66	2
67	2
68	2
69	2
70	2
71	2
72	1
73	2
74	1
75	2
76	2
77	2
78	1
79	1
80	2
81	4
82	1
83	2
84	2
85	2
86	4
87	2
88	1
89	1
90	2
91	2
92	2
93	2
94	1
95	2
96	4
97	2
98	1
99	3
