label_id	Predicted Archetype
1	1
2	2
3	1
4	1
5	1
6	1
7	3
8	2
9	2
10	2
11	3
12	2
13	3
14	1
15	3
16	1
17	1
18	2
19	2
20	1
21	1
22	1
23	1
24	2
25	2
26	2
27	1
28	2
29	1
30	1
31	3
32	1
33	3
34	3
35	1
36	4
37	4
38	3
39	3
40	3
41	3
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	2
50	4
51	1
52	2
53	1
54	1
55	1
56	4
57	3
58	1
59	2
60	2
61	2
62	1
63	2
64	3
65	2
66	4
67	2
68	2
69	2
70	2
71	2
72	3
73	3
74	2
75	3
76	4
77	1
78	3
79	1
80	2
81	2
82	2
83	2
84	2
85	1
86	2
87	4
88	2
89	2
90	2
91	2
92	2
93	1
94	2
95	4
96	4
97	3
98	4
99	2
100	4
101	4
102	4
103	2
104	2
