label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	1
5	1
6	1
7	4
8	1
9	1
10	1
11	2
12	1
13	2
14	1
15	1
16	1
17	2
18	2
19	1
20	2
21	2
22	1
23	1
24	2
25	1
26	2
27	1
28	2
29	1
30	2
31	3
32	2
33	2
34	1
35	1
36	1
37	3
38	2
39	1
40	2
41	1
42	1
43	1
44	1
45	1
46	4
47	2
48	1
49	1
50	2
51	1
52	1
53	1
54	1
55	2
56	2
57	4
58	1
59	2
60	4
61	2
62	1
63	2
64	2
65	1
66	4
67	1
68	2
69	2
70	2
71	1
72	2
73	2
74	2
75	2
76	2
77	2
78	1
79	2
80	2
81	2
82	1
83	2
84	2
85	2
86	2
87	2
88	2
89	1
90	2
91	4
92	1
93	2
94	2
95	1
96	2
97	4
98	1
99	3
100	1
101	2
102	4
103	2
104	4
105	2
106	2
107	2
108	2
109	4
110	2
