label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	1
6	1
7	2
8	2
9	1
10	1
11	1
12	2
13	3
14	2
15	2
16	1
17	1
18	1
19	2
20	3
21	1
22	1
23	4
24	1
25	3
26	1
27	1
28	2
29	2
30	1
31	1
32	3
33	1
34	2
35	1
36	2
37	1
38	1
39	1
40	3
41	1
42	3
43	2
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	2
52	2
53	2
54	1
55	2
56	2
57	3
58	2
59	1
60	1
61	2
62	2
63	1
64	1
65	1
66	1
67	2
68	1
69	1
70	2
71	2
72	1
73	2
74	1
75	3
76	2
77	2
78	1
79	4
80	1
81	2
82	1
83	4
84	1
85	3
86	2
87	4
88	2
89	2
90	2
91	3
92	1
93	2
94	4
95	4
96	3
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	2
105	3
106	1
107	2
108	2
109	2
110	2
111	2
112	2
113	2
114	2
115	2
116	2
117	2
118	2
119	2
120	4
121	4
122	3
123	3
124	3
125	2
