label_id	Predicted Archetype_archetype_CFOR_classifications
1	2
2	3
3	2
4	1
5	1
6	2
7	2
8	2
9	2
10	1
11	1
12	1
13	1
14	1
15	3
16	1
17	3
18	1
19	1
20	1
21	1
22	2
23	1
24	1
25	2
26	2
27	1
28	4
29	2
30	1
31	2
32	1
33	2
34	2
35	2
36	1
37	1
38	2
39	2
40	2
41	2
42	2
43	2
44	1
45	2
46	1
47	2
48	2
49	2
50	1
51	1
52	4
53	2
54	2
55	4
56	4
57	2
58	2
59	2
60	4
61	2
62	1
63	4
64	2
65	2
66	1
67	2
68	4
69	2
70	1
71	2
72	2
73	2
74	2
75	2
76	1
77	1
78	4
79	4
80	2
81	1
82	2
83	2
