label_id	Predicted Archetype
1	1
2	1
3	1
4	3
5	1
6	1
7	1
8	1
9	1
10	1
11	3
12	1
13	1
14	2
15	1
16	1
17	3
18	1
19	1
20	2
21	2
22	1
23	1
24	1
25	1
26	1
27	1
28	3
29	3
30	1
31	1
32	1
33	1
34	2
35	1
36	1
37	2
38	2
39	2
40	2
41	2
42	3
43	4
44	1
45	1
46	1
47	1
48	3
49	2
50	4
51	2
52	1
53	3
54	2
55	1
56	2
57	1
58	1
59	4
60	2
61	1
62	2
63	1
64	4
65	2
66	2
67	4
68	4
69	1
70	1
71	2
72	2
73	4
74	2
75	3
76	2
77	4
78	3
79	3
80	2
81	2
82	3
83	2
84	2
85	4
86	2
87	1
88	4
89	2
90	2
91	2
92	2
93	4
94	2
95	2
96	2
97	2
98	4
99	3
