label_id	PC 1_lysotrackerdeepred_CFOR_pca_predicted	PC 2_lysotrackerdeepred_CFOR_pca_predicted	PC 3_lysotrackerdeepred_CFOR_pca_predicted	PC 4_lysotrackerdeepred_CFOR_pca_predicted	PC 5_lysotrackerdeepred_CFOR_pca_predicted	PC 6_lysotrackerdeepred_CFOR_pca_predicted	PC 7_lysotrackerdeepred_CFOR_pca_predicted	PC 8_lysotrackerdeepred_CFOR_pca_predicted	PC 9_lysotrackerdeepred_CFOR_pca_predicted	PC 10_lysotrackerdeepred_CFOR_pca_predicted	PC 11_lysotrackerdeepred_CFOR_pca_predicted	PC 12_lysotrackerdeepred_CFOR_pca_predicted	PC 13_lysotrackerdeepred_CFOR_pca_predicted	PC 14_lysotrackerdeepred_CFOR_pca_predicted	PC 15_lysotrackerdeepred_CFOR_pca_predicted	PC 16_lysotrackerdeepred_CFOR_pca_predicted	PC 17_lysotrackerdeepred_CFOR_pca_predicted	PC 18_lysotrackerdeepred_CFOR_pca_predicted	PC 19_lysotrackerdeepred_CFOR_pca_predicted	PC 20_lysotrackerdeepred_CFOR_pca_predicted
1	2.166560511414556	-2.3765905923021258	0.317794294659922	0.9494112536031736	0.6410706528297728	-0.1933216688594964	-0.0107803544622012	-0.0489475043585698	0.062967784302808	0.1118965525074696	0.1935081628647805	-0.1267583966669666	-0.0002200497057094	-0.0704774134101688	-0.0672474551610158	0.0280402522168494	0.0284773379702122	-0.0092266921865392	0.0704047740522184	0.027288200872336
2	-1.0759873840261065	1.3395386587312803	0.1338571864426918	-0.3688995267180515	-0.5473958691547083	0.2999349021791486	-0.133260881802382	-0.0570655332793113	0.0326124079955357	-0.1788788726269313	-0.0487373386402766	0.1765348573398256	0.0365439522056563	0.0513106854195681	0.072272993428829	-0.0342289866894808	-0.0306679317074123	-0.0218882488416504	-0.0187831104565584	-0.0060289045239352
3	-2.3616000767057304	3.657437040893144	-0.1513055192817546	-0.9718650733271464	-0.957103784321298	0.3202844577403989	-0.0785226189084851	-0.1738001305921391	-0.0433964350157307	-0.0554354065565914	-0.0723409502451824	0.2927648642841741	0.0383700292265874	-0.1021146826522367	-0.0358618790162513	0.0538541322545894	-0.0115686344732425	-0.0610997238123182	-0.0932276778702678	-0.0052442767767901
4	-2.000916128229683	3.672026436643199	-0.5010969708142691	-0.9844163293866386	-0.72854094307654	0.1453887075778341	-0.1137965664264467	-0.1692509110613774	-0.1143705782310618	-0.1021977356223839	-0.0387839516820645	0.2259713546104735	-0.0161917511956248	-0.1204947688422345	-0.0587524701449881	0.0696448334807145	-0.0457406733638245	-0.1040797490629267	-0.0692984829592145	0.0283212910672245
5	0.4153916144568605	0.078901956917925	-0.0338261785674175	0.4423035765729821	-0.6225147654263357	-0.2940070821174607	0.1804706394038947	0.1633956909359553	-0.0144523491569508	0.1760886603697017	0.1576296192636239	0.0796451042298213	0.3356760501393766	-0.295581914481298	-0.0911372619320052	-0.0239677304819343	-0.0700373084218821	-0.0489345134087302	0.1309121639581403	0.1999590519529953
6	-0.4563958373393283	-0.0298728487536482	0.188057065200193	-0.1075489289718192	0.037365277500705	0.3180631040716131	-0.2380929053995037	-0.0779358838957134	0.107244172538425	-0.2746135929379408	-0.009000100215349	0.0785215561368399	-0.0615095993547016	0.2272346993309176	0.1064268594255208	-0.052408571913687	-0.0492659006684042	0.0237760818027194	-0.0406306506289876	-0.0748667843011904
7	-0.6165838676981379	0.9144767912800452	0.1699840744230925	-0.2116863015274382	-0.3546723817532184	0.1200444375039236	-0.0987160808989688	-0.0529744296525829	-0.0493923165121233	-0.1056601760069162	-0.0293648091652082	0.1300816543476667	-0.0087193118579443	-0.0306923817403709	0.0315407391318262	-0.0136131993818515	-0.0171586244632849	-0.0144195757548046	-0.002994567151695	0.0007785751313617
8	-1.7246507426616453	2.4448851413858064	-0.0250314767053491	-0.6844014730726616	-0.5087079205640272	0.1519850739608325	-0.2810375418678584	-0.1797983329461492	-0.151381684398213	-0.2676751409089261	0.0150963887379103	0.2602760864843185	-0.0811231629308177	-0.0550527562380058	0.015469467445384	0.0029278974030712	-0.078778195625031	0.000331053592527	-0.0629464811068107	-0.0466986299994386
9	-0.486247747347526	0.0881711694474223	0.0724054001083211	-0.2681560028207143	0.018027652435817	0.208017583931836	-0.1129315794300565	-0.0381811178112978	0.0084039189965031	-0.1379439622816494	-0.0646989948341681	0.0231469359572905	-0.0808510831416547	0.1620619375446274	0.0920170394629834	-0.0255662665181926	0.0016876489365508	0.0374867565118934	-0.0396100370347349	-0.0961580488095269
10	-0.6790474051503046	1.134406466182448	0.1746639972824357	-0.3512163932019429	-0.3895988037626547	0.2133255313809936	-0.0171408078946505	-0.0307763649820901	-0.0149186413880784	-0.1104451483362488	-0.1318108562485294	0.0838160436556938	-0.0260303359316359	0.0940535696227804	0.0415125762882225	-0.0021716429862142	0.0026085053563992	-0.0455267634372662	-0.0354258332744491	-0.0306006107766978
11	0.2651761316072333	-0.3509613669391782	0.3795654886885215	0.1297015479776136	-0.1076366207181015	0.0084431228557479	-0.0905964647522341	-0.0204566696787	-0.0867538434074626	0.0490351663179429	-0.0424245972635986	0.0776194059533854	-0.0494130714421098	-0.0652799865600501	0.0378343565836296	0.0006257470732765	-0.0035315092423574	-0.0327252363426679	0.0644457669274779	0.0244214872092209
12	-0.9637165405497136	1.5430638797620393	0.5460779072022953	-0.2652242133002389	-0.6653749084604605	0.216336256670398	-0.1405622441140497	-0.0613357902455726	-0.0805973397269348	-0.1823226318936585	-0.1406274296812444	0.2368866224310696	-0.0415411212607343	-0.0330440022486217	0.0511914766122922	-0.0289744217202232	-0.0328734261965604	-0.0622831893330293	0.0016688986189865	0.0374030839201336
13	-0.2125723350056057	-0.3618503050642711	0.1704591056714614	0.0572021026609177	0.1682135151954902	0.1073504201892763	-0.1936627321003984	-0.0305719230385858	0.0339610498112811	-0.2505364156606497	0.0199569518956534	0.0423033821867049	-0.0771065885494242	0.0926477826185912	0.0779747169074797	-0.0677613248563425	-0.0355247688845854	0.0617581810894679	-0.0191834235921327	-0.0334176802518807
14	0.0813255612567787	-0.1694693063554813	0.2429466264289574	0.0675989447368843	-0.0743722220168738	0.3797152602576973	-0.1366833331411215	-0.0621347022180242	0.18821636518301	-0.2403169945865347	-0.0055916373950601	0.0400098985732729	0.0204392945537499	0.2367533853867826	0.0933319151791286	-0.0438884098582679	-0.012327440633868	-0.0280001702152234	-0.0214476705329716	-0.0432430504627614
15	-0.0644781055447174	-0.4166519169776257	-0.0578355671646818	-0.1024045066127251	0.0216818451257298	0.1654155742306943	0.1211937783469028	0.0724239247791108	0.1134339331661596	0.0933022523969258	-0.1036923667350833	-0.0816718358132637	0.0285310735274209	0.1357992688917769	0.0569042515421675	-0.0092771957148115	0.0585501627938464	0.0132740447515965	-0.015284231984256	-0.036594824980235
16	0.7752715537884212	-1.881093833926509	-0.0632830319937668	0.5479498100110378	0.6021381090066988	-0.4136532346924482	0.0479711357797393	0.1569178488267903	-0.0474861118011996	0.0330373817666999	0.0851793719697959	-0.1387893519588987	-0.0280020081426098	-0.1394984970952453	-0.0137841559138438	-0.069043192951085	-0.0074180416183607	0.1237454932462076	0.0509679965464216	0.0660743307998067
17	-1.8597570517072344	3.4179273705398745	-0.4970600753692443	-0.956030208496096	-0.6174106897951321	0.1804932036955293	0.0005307881015919	-0.1676151645790463	-0.0504418068059106	-0.0328596356155467	-0.0406756842643378	0.1549092175792059	0.0059600588236323	-0.0570848057140898	-0.0860832472331639	0.0893060688473478	-0.0013718159041167	-0.0745498726264058	-0.1153483849626535	-0.0277488752717165
18	-1.0887155128179216	0.9888546237228248	0.1736235049143605	-0.2601176943593556	-0.2604252084768922	0.0183952811701916	-0.2058929646259648	-0.0197228833574932	-0.1144119162472017	-0.1943677757699082	-0.0624176026957069	0.1772032310677511	-0.0898267059806572	-0.0700466797953165	0.0516158865585712	-0.0533538017932774	-0.0711147776226304	0.0181442589194958	0.0027300975157368	0.0402905615106706
