label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	1
5	1
6	3
7	2
8	4
9	1
10	2
11	1
12	1
13	1
14	2
15	1
16	2
17	2
18	2
19	2
20	1
21	1
22	2
23	1
24	1
25	2
26	1
27	2
28	2
29	2
30	1
31	1
32	2
33	2
34	2
35	2
36	1
37	2
38	1
39	4
40	1
41	2
42	3
43	2
44	1
45	4
46	1
47	2
48	2
49	1
50	2
51	2
52	1
53	2
54	1
55	3
56	2
57	4
58	2
59	2
60	1
61	2
62	2
63	1
64	2
65	1
66	2
67	2
68	1
69	1
70	2
71	2
72	1
73	1
74	1
75	2
76	1
77	4
78	2
79	3
80	2
81	2
82	2
83	2
84	2
85	2
86	2
87	2
88	2
89	1
90	3
91	4
92	4
93	2
