label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	2
10	1
11	1
12	1
13	2
14	3
15	1
16	1
17	3
18	1
19	3
20	1
21	1
22	2
23	3
24	2
25	1
26	1
27	3
28	1
29	1
30	3
31	2
32	3
33	1
34	1
35	1
36	1
37	2
38	2
39	2
40	1
41	1
42	1
43	1
44	2
45	2
46	1
47	2
48	1
49	2
50	2
51	1
52	3
53	1
54	3
55	1
56	1
57	2
58	2
59	2
60	2
61	2
62	1
63	1
64	1
65	1
66	2
67	1
68	1
69	2
70	1
71	1
72	2
73	2
74	3
75	2
76	1
77	2
78	1
79	1
80	2
81	3
82	2
83	2
84	2
85	2
86	3
87	3
88	2
89	2
90	2
91	4
92	2
93	2
94	4
95	2
96	2
97	4
98	4
99	2
100	2
101	1
102	4
103	2
104	2
105	3
106	2
107	1
108	4
109	4
110	2
111	3
112	2
113	2
114	4
115	4
116	2
117	4
118	2
119	4
120	2
121	1
122	3
123	2
124	4
125	3
126	2
127	2
128	4
129	2
130	2
131	4
