label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	2
21	1
22	1
23	2
24	2
25	1
26	1
27	1
28	1
29	1
30	2
31	2
32	2
33	1
34	2
35	2
36	2
37	2
38	1
39	1
40	2
41	1
42	2
43	2
44	1
45	2
46	2
47	1
48	2
49	2
50	2
51	2
52	1
53	2
54	4
55	2
56	1
57	2
58	2
59	4
60	2
61	4
62	2
63	4
64	2
65	2
66	1
67	1
68	2
69	4
70	1
71	2
72	2
73	2
74	2
75	2
76	2
77	2
78	4
79	2
80	2
81	2
82	2
83	2
84	2
85	2
86	1
87	2
88	2
89	2
90	4
91	3
92	3
