label_id	PC 1_mKate2GM130_CFOR_pca_predicted	PC 2_mKate2GM130_CFOR_pca_predicted	PC 3_mKate2GM130_CFOR_pca_predicted	PC 4_mKate2GM130_CFOR_pca_predicted	PC 5_mKate2GM130_CFOR_pca_predicted	PC 6_mKate2GM130_CFOR_pca_predicted	PC 7_mKate2GM130_CFOR_pca_predicted	PC 8_mKate2GM130_CFOR_pca_predicted	PC 9_mKate2GM130_CFOR_pca_predicted	PC 10_mKate2GM130_CFOR_pca_predicted	PC 11_mKate2GM130_CFOR_pca_predicted	PC 12_mKate2GM130_CFOR_pca_predicted	PC 13_mKate2GM130_CFOR_pca_predicted	PC 14_mKate2GM130_CFOR_pca_predicted	PC 15_mKate2GM130_CFOR_pca_predicted	PC 16_mKate2GM130_CFOR_pca_predicted	PC 17_mKate2GM130_CFOR_pca_predicted	PC 18_mKate2GM130_CFOR_pca_predicted	PC 19_mKate2GM130_CFOR_pca_predicted	PC 20_mKate2GM130_CFOR_pca_predicted
1	0.7653738886297239	0.1681363143458428	1.2628416819090649	-0.2832729675029917	0.0772918201700183	-0.151065810226613	-0.1646880589748809	0.2138806788825594	0.0509594930768965	-0.0531642373753321	-0.0701742875375229	0.1109316128989669	-0.0125615873104977	-0.1232894442462739	0.0251254253460998	0.0362111485785242	-0.015512691963116	0.102951318354747	-0.0137594571198517	-0.0025767428172324
2	0.304206782232591	0.3286335802018454	0.2534514432459112	-0.0667444822308606	-0.2992527253376003	0.0361411714662775	-0.090217886495738	0.0087953990217491	0.0827394638572084	0.0252402597666035	-0.1001641150646066	-0.0309088860558708	0.1175378045943253	-0.0322360589690959	0.0806157557057674	0.0738583648394614	0.0201053274654576	0.0124231617935224	0.0125550050889962	-0.0373822847976855
3	0.7173319001449061	-0.3986666575849874	0.927759979164244	0.2883224680064634	0.3644833110252871	0.0235788687475606	-0.2552363436805057	0.0030021939218893	0.0644642744841561	-0.0044999389365216	0.0516788973611109	0.033634934371808	-0.0016507470715471	0.0128906678957547	-0.08575409883437	-0.0075102285135992	0.0276042233116239	0.0175346150627448	0.013062293401161	0.0139495696672746
4	-0.3620322040924811	0.2081502352027713	1.9404372549877644	-0.0144074888950045	0.6733343157716424	-0.5056698597801453	-0.3211283768584571	0.2196248436875849	-0.0484795391417838	0.0532640566453108	-0.0761302528352674	0.2322181017755866	-0.0310970695602858	-0.1514316704441161	-0.0265224301508536	0.0508346306235354	0.0238409062637349	0.0396917573741249	0.0303460827886379	0.0386413306979575
5	-0.8962747031528233	-0.1323108540725434	-0.4383115647451906	0.314101430968578	0.0342150978046815	-0.2252145867279304	-0.019812216800575	-0.1794323214389613	0.0725812928511774	0.1803749603524781	-0.0116207448101369	-0.0208464323106212	-0.0140134034519074	0.0060141738423701	0.0923660763605811	0.0584724182234519	-0.0044260961431873	-0.0528665507718317	0.0066113431812018	-0.0391411874107444
6	0.0627881703551243	-0.2057883824389571	0.3383926166239375	0.2031443245811295	0.408812358114158	-0.0708691851308894	-0.0207243000989	-0.0318075138136312	0.011150195381266	-0.1157260280542324	0.1125719628596119	-0.0224734514986991	-0.0680674747518335	0.0437529002538059	-0.1489717190947546	-0.0739551868446332	0.0324877550483601	0.0163088619718651	-0.0130245156632872	0.0254742729842134
7	0.4393630013572439	-0.3671841968701367	1.71304845328705	0.1090918232660115	1.0789496931555298	-0.0221815510273996	-0.3422736878821583	0.2890352511802918	-0.1652589216018408	-0.180489828462331	0.1326634432822232	0.2175347546875028	-0.0803370833657659	-0.049749110069018	-0.266492133958995	-0.1171369986789511	0.0410422742041295	0.0308660487356527	0.023340447389827	0.1215752848822201
8	-0.2656128165584118	-0.3340086179954645	0.9674844811296384	0.1985533858924016	0.930028689699168	-0.1756753644192777	-0.1762732636251418	0.1128732511272816	-0.1383516807085732	-0.0502310069118959	0.1157469091508796	0.1427806137698102	-0.118414460563444	-0.0470011930141667	-0.1635795052040212	-0.1031093619437133	0.0213480605611321	-0.0071109355092013	0.0087045760889355	0.0849441664250963
9	-0.186129445645503	0.3418858657498859	1.759072854553282	-0.2055962023169474	0.8754272874002329	-0.2509794908417265	-0.2178143614543171	0.4120603447403537	-0.1478714458011489	-0.0920736624300953	-0.0142461240393056	0.2990701376277648	8.699618303265398e-05	-0.248966318933515	-0.0844140237455891	0.0064581734898709	-0.0092602488148227	0.0646534606978254	0.0110439519162716	0.1244053740760474
10	0.0709047634969165	0.0926537598672598	0.3920556773378407	0.2210907548421776	0.5564086519494207	0.2110140989453037	-0.0009074076415877	0.0875321837417411	-0.0901316980499692	-0.1862310073049161	0.1099902155687069	0.0752435304737077	0.0692441723099801	-0.0387216973815769	-0.1976221506600173	-0.0634944644389321	0.0465038851768929	-0.0198853737554015	0.0115414740700361	0.1378546702667982
11	-0.2622049690071694	-0.0760839731425393	2.0603463100876485	0.0042502615019138	1.2683314172965887	-0.4093330460245339	-0.2591951090545532	0.3080668552893433	-0.1840384489367433	-0.1213160886940631	0.0860503810599923	0.2781244928908841	-0.147296693406549	-0.1589912767255683	-0.2065364755000766	-0.0947790488055874	0.0259753589433396	0.0498560138279749	0.0076591116900074	0.1286719158471581
12	0.3400023274789844	-0.2870680915088608	0.0380159601739019	-0.0179946096329592	0.2728270692721142	0.0306689245758651	0.0937269831710662	-0.0249451586571202	-0.0914049157531467	-0.1672824610906723	0.1328306511054181	-0.084650571956769	-0.1257107936077671	0.1128580818501523	-0.1799436748656943	-0.1503539875605035	0.0326439673576753	0.0124192724504248	-0.0155692297556289	0.0188983156946864
13	0.5828619804327939	-0.3634292925674496	1.1422082996737035	0.2181177058775512	0.6648729617888643	-0.0356289201757952	-0.219689961403572	0.1151544921724298	-0.0015315064412531	-0.1385648933562523	0.1192438981524933	0.071720371569568	-0.0575660551063963	0.0156719759943357	-0.2061582280595131	-0.075303312276569	0.0272596895662292	0.0488821547184687	-0.0005328042157013	0.0480594800131794
14	-0.6422383289855368	-0.2048099985784641	0.2213906097559299	0.4346417029613973	0.1371533730759827	-0.1821645595367869	-0.2097467427099494	-0.0809749648202715	0.1440671543994567	0.1922367085236271	-0.0200065291869126	0.1524022892092584	0.0077194472487038	-0.0691005413345391	0.1140183419620255	0.1061216711778254	-0.0085835062286967	-0.0344895964067413	0.0099389282246635	-0.0033660079696067
15	-1.4066317113103703	-0.0413380985479984	-0.2228403957836001	0.3876362883349502	0.236182465482222	-0.2484280665657837	-0.0699406750124174	-0.0464988145844193	0.0443894084611312	0.1048156816932566	0.0154793219870709	0.1498451665096032	0.0107161989287864	-0.0200446365416383	0.0174147747513505	0.0922524806534112	0.0009416838463511	-0.0564461757427555	0.0222774083304078	0.0322270386383243
16	-1.862765612249228	0.3029153724806157	0.2401867571768078	0.3610930233622469	0.4193022839774999	-0.4005966116061602	-0.1376813116442559	0.0142782823491477	-0.0167711009511783	0.0875822065851175	-0.0366047661527937	0.1988967121867235	0.0639550471181123	-0.0633713975831777	-0.00902718279012	0.1158087141272021	0.0395094506050606	-0.0727129613654585	0.0495053975288459	0.0607293467554495
17	-0.9284871801579668	0.0055014744157699	-0.4234521944169502	0.4006713440294446	-0.0390123329490249	-0.1780328786777778	-0.0421307509105179	-0.2583532456359581	0.0916673697442168	0.1745557092662704	-0.0262962549351163	-0.0564656056376056	0.0223919376406367	0.0267878198876609	0.0955442445256074	0.0508877981466358	0.0372857298818395	-0.0826007007336426	0.015001590612667	-0.0446775262539895
18	-0.2103524986177153	0.139948361494504	0.7677698232562885	-0.0629719154443136	0.3784192720103306	-0.2089954319492331	-0.1134161584187998	0.1843926311119812	-0.0555817452740868	0.0905034022792318	-0.0603851189185954	0.1306984113382034	0.024624487166512	-0.1404043895134546	0.0270427059122768	0.0496915916402478	-0.0461782442556411	0.0303805617133449	0.0103960696380824	0.0303866091418661
19	0.5635030633832878	0.343953849818274	-1.3953554043455012	-0.3780827023005157	-0.9710413199306304	0.4770967766844774	0.2717348428283347	0.0018945907315258	0.0224443061517163	-0.1601306088371277	-0.0415027322427016	-0.1867600532661755	0.1394482460487096	0.1496222618258909	0.0019613104528974	0.0165191781516625	-0.0130001989511519	0.0139985723519548	-0.0052215793730544	-0.0510866280867039
20	0.1114865451705307	-0.1955919310471549	0.4158743106979636	0.3115454469835197	0.1753604059643311	-0.0403534453514194	-0.1773718009373877	-0.0579018975457151	0.1205927530680913	-0.0327245997936024	0.049431327374169	0.0123724504482686	0.0088510448719934	0.0315421697544439	-0.0565830151686891	0.0183408717295656	0.0404067685159326	0.0059959985206064	0.0038839194264296	-0.0073353278781806
21	0.3016192921993882	0.4007992822422434	-0.8452314000697104	-0.1869438033568889	-0.4992417499202773	0.3425495807768586	0.2606973380658161	-0.0495051207455422	-0.03510068012097	-0.2111997289403288	0.0066685576034448	-0.1629998573333145	0.1201004168633214	0.1167633388797106	-0.0932083088374615	-0.023882387079496	0.0483500277302896	-0.0152371020195961	0.0070009988718176	0.0201504329989694
22	-0.5541886026992565	0.1591352747600568	-0.7502198736123125	-0.0417867643744395	-0.4096097198309507	-0.0012147321200406	0.0828633372416681	-0.0506452063292563	0.0312094075272761	0.0527274401102876	-0.0504165801807954	-0.0269697024219249	0.0502999297934335	0.0477648351357915	0.0770814613383931	0.0671621890104602	-0.0092908199127497	-0.0279205365051025	0.0105875897891829	-0.0385799455425384
23	0.8589336579974305	-0.2758133206522982	0.1193688863747429	0.2609705820740121	-0.2679439248298506	0.0311548602443579	-0.0225725708166804	-0.2375548903303167	0.2020037833317269	-0.0002307289800416	0.0176522261134437	-0.1389938193920727	-0.0131880729253083	0.0968054072634596	-0.0052427910710697	0.0089564838737432	0.0355189843467205	0.0213834823905292	-0.0164436957901622	-0.0552473344890465
24	-0.1759291685469253	0.0669446911953152	0.1461765926688995	0.2304297378362468	0.4331557226215768	0.0015540597911451	0.0702106782145574	-0.0034128829514779	-0.0052569079173167	-0.1109199075078817	0.0947712774616424	0.0084210661630242	0.0102117955957883	-0.0317692836569034	-0.1282260344907679	-0.0469405359126949	0.0172935839167732	0.0037850034414775	-0.0146009099079569	0.0723324589260479
25	0.0532351957098439	0.2812166647594045	-1.9692665515966423	-0.5517854115199905	-1.075239077186034	0.2722141724915476	0.4406210522880028	-0.0726502632000906	-0.0651298776570919	-0.2081485478038467	-0.0184910950566971	-0.2852903138104119	0.0043372998713216	0.2771485290940223	-0.0520166623161075	-0.0671164991243398	-0.0082781573804653	0.0093443726257123	-0.0146533098388695	-0.096366255963444
26	0.8638540935013588	-0.2093949938552694	0.7930995607323539	0.0447381257612481	-0.1436768993318239	0.0148006937262091	-0.2518112230680479	0.0700790152014209	0.125910135840123	0.0600488019741495	-0.0644886299971595	0.0801313820451651	0.0378864393690481	-0.0142421716587725	0.0462314901784164	0.0793563475971232	-0.0148367109510499	0.0501808261464692	0.0116153104314749	-0.0298801687653584
27	0.3823896817137081	0.2667413876081377	-1.0644009402573262	-0.1459301294072768	-0.6517265141517898	0.3593698247141277	0.1479825973968485	-0.0420512808201935	0.1017369452833128	-0.0684800923322273	-0.0251222318953875	-0.1478355221373822	0.1293566446008435	0.0334293643804746	0.0771686367982346	0.0360778043561879	-0.0146831511232861	0.0112485141560977	-0.0203151066662938	-0.0503581902974769
28	-0.9616705479855312	-0.0518289096415659	-0.5750173123171306	0.0743603995945988	0.1565576676121308	-0.0901952195896756	0.0913108771714484	0.0074995160821033	-0.0599148975722899	0.0234203182206079	0.0478111481774509	0.0840350261630743	-0.0588536350950656	-0.0153259705020335	0.0044396564022389	-0.0139573987983398	-0.0255933855421274	-0.0338447593326458	-0.0065391978372774	0.0324859682884255
29	-0.2094432956984144	0.1755136441902546	-0.2897998957403591	0.0651291631634438	0.1351708566941583	0.0751451524153843	0.1588301213036343	-0.0777005589331782	-0.0343350706536265	0.0233099176936266	0.0257039687823097	-0.023323792125781	0.0155463234101688	-0.0969115503982067	0.0469430843613558	-0.0271989322036636	0.0032101354434272	-0.0353807881865398	-0.0174799789699734	0.0517185939356314
30	-2.654221548114225	-0.1491054733682807	2.8808494100596933	0.1287559584690397	1.864028290597092	-1.3052170534775835	-0.4848066556343609	0.2811911132370254	-0.2967386129375714	0.1637612971210194	0.0106608829821198	0.5786996958331677	-0.3801747159788357	-0.2448908734144179	-0.0894010995883793	-0.0359585518746903	0.0494663616251705	-0.0332427550444017	0.0474957420100448	0.1250658880180661
31	0.6365629078272332	-0.4213107160857732	-0.6616181318345854	0.0482269226730813	-0.7127047288313789	0.0102184934124648	0.0176035167870764	-0.2579491934357682	0.1679763913862897	0.1315135139735206	-0.0434430939454353	-0.2162988533449186	-0.0460415242295952	0.1949356110116158	0.0977114571439294	0.024698172398332	-0.0134938663617668	0.007086629630172	-0.0081070270585467	-0.1550158550446871
32	0.7557973238768417	-0.2001148559931936	-0.5802049150938691	-0.0610792481074737	-0.4793072729119774	0.1377238114178904	0.1670718113760964	-0.1876038780998625	0.0809615361135266	0.0042233306408146	0.0114396906958298	-0.1767472612097567	-0.0648205958596177	0.1056610622646335	0.0420564430621987	-0.0562741928801311	-0.0098573942270871	0.0156780272806127	-0.0340322359925263	-0.0706092065130626
33	0.8283393212213873	0.1170779507057644	-1.903725511729504	-0.7913067354723529	-1.4880743095108226	0.3846909811457919	0.3735473952278609	0.0187074282008375	-0.0393369837524779	-0.0874090776615958	-0.1088346913827188	-0.288412900084974	0.0280773725273362	0.3000074510299916	0.0451939975743616	-0.0107247017543016	-0.0774447441114793	0.0490443000122655	-0.0085489098136826	-0.1647370337760415
34	0.2862353501590559	-0.1242921554067175	-0.6120403640575657	0.1991171159426694	-0.0285332932927956	0.241012448160285	0.1650437882126797	-0.1380718358023309	0.03710697025991	-0.1277918399863455	0.1168521694430109	-0.1266654147009514	0.0073951699776373	0.0869932284903151	-0.1011274031609247	-0.0720728195747428	0.0282495499704623	-0.014689220430287	-0.0208127314947285	0.0232031943095462
35	0.370844878095739	0.002489450957724	-0.9847455157951018	-0.0512015125534554	-0.7115449715311638	0.1936885938477879	0.1954944867354037	-0.1996556519799257	0.091434938313601	-0.0802187882376859	0.002510510236391	-0.2125788811945861	0.0197434109465605	0.198674241220384	-0.017062172430711	-0.0116228709146533	0.0272062433784196	-0.0069913252449322	-0.0083721632256878	-0.0756783759025643
