label_id	Predicted Archetype
1	1
2	1
3	1
4	1
5	2
6	2
7	1
8	2
9	1
10	1
11	2
12	1
13	2
14	1
15	1
16	1
17	2
18	1
19	1
20	1
21	1
22	3
23	2
24	1
25	1
26	2
27	1
28	1
29	1
30	1
31	3
32	3
33	2
34	2
35	3
36	1
37	1
38	1
39	3
40	1
41	1
42	1
43	1
44	2
45	2
46	2
47	1
48	1
49	1
50	2
51	1
52	2
53	4
54	1
55	1
56	2
57	4
58	1
59	2
60	3
61	3
62	2
63	2
64	2
65	1
66	1
67	2
68	4
69	1
70	1
71	2
72	2
73	1
74	2
75	2
76	2
77	2
78	2
79	3
80	4
81	2
82	2
83	1
84	1
85	4
86	4
87	2
88	4
89	2
90	2
91	2
92	3
93	2
94	2
95	2
96	2
97	2
98	2
99	2
100	3
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	2
109	2
