label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	2
3	2
4	1
5	2
6	1
7	1
8	2
9	2
10	1
11	1
12	3
13	1
14	2
15	2
16	2
17	2
18	1
19	2
20	1
21	2
22	1
23	3
24	1
25	1
26	3
27	3
28	2
29	1
30	2
31	3
32	1
33	3
34	2
35	1
36	2
37	2
38	1
39	1
40	2
41	1
42	1
43	1
44	1
45	1
46	1
47	2
48	2
49	2
50	1
51	1
52	3
53	1
54	1
55	1
56	1
57	2
58	1
59	1
60	1
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	1
69	2
70	1
71	1
72	1
73	2
74	1
75	2
76	1
77	1
78	2
79	1
80	1
81	1
82	1
83	1
84	1
85	2
86	2
87	4
88	2
89	2
90	1
91	1
92	2
93	4
94	2
95	4
96	2
97	2
98	1
99	4
100	2
101	2
102	2
103	2
