label_id	PC 1_mKate2rab11_CFOR_pca_predicted	PC 2_mKate2rab11_CFOR_pca_predicted	PC 3_mKate2rab11_CFOR_pca_predicted	PC 4_mKate2rab11_CFOR_pca_predicted	PC 5_mKate2rab11_CFOR_pca_predicted	PC 6_mKate2rab11_CFOR_pca_predicted	PC 7_mKate2rab11_CFOR_pca_predicted	PC 8_mKate2rab11_CFOR_pca_predicted	PC 9_mKate2rab11_CFOR_pca_predicted	PC 10_mKate2rab11_CFOR_pca_predicted	PC 11_mKate2rab11_CFOR_pca_predicted	PC 12_mKate2rab11_CFOR_pca_predicted	PC 13_mKate2rab11_CFOR_pca_predicted	PC 14_mKate2rab11_CFOR_pca_predicted	PC 15_mKate2rab11_CFOR_pca_predicted	PC 16_mKate2rab11_CFOR_pca_predicted	PC 17_mKate2rab11_CFOR_pca_predicted	PC 18_mKate2rab11_CFOR_pca_predicted	PC 19_mKate2rab11_CFOR_pca_predicted	PC 20_mKate2rab11_CFOR_pca_predicted
1	1.7655440959771398	0.0822392419497444	0.5600803433850698	-0.8502309287768166	0.2281805761075022	-0.064609332804625	-0.0369268592558429	0.0485416476397888	0.3158200673688281	-0.0146919799413844	-0.143033792435501	-0.1704666953336147	0.0627356214070976	-0.1506218000619925	-0.0241840247234676	-0.1269757747240009	0.1188182913121461	0.0022106403889943	0.0807234014258678	0.0330893735066486
2	-2.9303572262694955	1.1569280427073163	-0.1526879966241875	-0.662227228035354	-1.1909032084433226	-0.2854077432630393	-0.3947870494537472	-0.2016176217414629	0.4150341878797211	-0.6340142454228858	-0.3020495240394969	-0.6067257022478324	-0.026649097159808	0.0262792453745632	0.2125923931170748	0.0349931322172592	0.0505348818557639	-0.0995623448288461	0.0685723592722771	-0.0171811357083914
3	1.4789604904600295	1.5570930510011751	0.6898169595583344	-1.04762126981076	-0.9176943325647152	-0.6363733895655717	-0.4107929204378296	-0.1593835450153252	0.1805798821528888	-0.4840561569339762	-0.2533545651830709	-0.5650698891135189	-0.038492679059652	0.1084732754762067	0.2908994284243714	0.0917919347434867	0.202257827212075	-0.1179348863573464	0.0770985609961988	-0.0519389005687417
4	1.1962542856856524	1.2116897627376344	1.0534612870620603	-0.7131684806925559	-0.6676626151198761	-0.2749605767901428	-0.3745588474346198	-0.1819227964046467	0.3586574444086869	-0.4873777383861553	-0.2095421013434396	-0.4877020375006187	-0.0126104500941426	-0.0825985738501818	0.2229813183654054	-0.0050841809451541	0.1105772269690579	-0.0743545643037415	0.0758282387918869	-0.0614059988968037
5	0.2881177229087327	0.9844895191877008	0.1664885918306408	-0.8830098803384883	-0.6674437655866255	-0.3807498446690837	-0.4202875724971972	0.0558358280897152	0.1727237289136913	-0.2923011259803048	-0.2157309412000228	-0.2655280429347956	-0.009681937369854	0.0205729870812122	0.205743024637762	0.0429054072728152	0.0977719137252316	-0.0918238204607981	0.0406290249178265	-9.333027991415348e-05
6	-0.1309370357690575	0.696753208651848	-0.1085192894897401	-0.9003339491917208	-0.204438139569761	-0.2566946503510617	-0.4814822585205248	0.0788840134908948	0.4645820656626307	-0.0568988872083494	-0.3601325654693909	-0.3928808605005452	0.1325566859137845	-0.0982523576053521	0.0818947021695783	-0.1795642117014683	0.1025289012120119	-0.0711942160105822	0.1174305524891814	0.0406824989598886
7	1.3294464945704003	0.3683948670093271	0.1248315678320718	-0.0055088881651979	-0.1150267912582535	-0.0681323526324266	0.0279605072653405	-0.0442413878747206	0.0475319678549178	-0.0099138871061806	0.0386649674563479	0.0654612548642163	0.0108939303128551	0.0314068099223967	0.0330917073802335	0.0285770763916956	-0.0230092875423433	0.0215239269477173	0.0276264542529936	0.032006985151937
8	-1.468446002021106	-0.6510604279070298	0.4795935821098535	0.3220518273219368	0.0745225386314051	0.2897213585712598	-0.1795503042949564	0.1776643222751075	-0.4073421010805899	0.0794894998374814	0.0036193649071022	0.1789614054414262	-0.0928770995256343	0.1311225134845931	0.0822030240330499	0.1444102175853003	-0.0265261737463596	-0.0113705726248044	-0.1192406894294069	-0.0405301026902185
9	2.4526380661649334	1.1968815382575202	0.9068049757446758	-0.4368773855618388	-0.8388973973570621	-0.3879518182168016	-0.2348799963204933	-0.1169984572207716	-0.0649094060398659	-0.3753991096726127	-0.0716389953879417	-0.2444057915502611	-0.1175374009183413	0.1661409884269044	0.2724842490283969	0.2031695517301059	0.0857107734280721	-0.072570947122786	0.0100261244382125	-0.0549793231968995
10	1.0663392568583787	0.2845012614542066	0.3399784971876491	0.0429190455196415	-0.0128112881849584	0.055387284598264	-0.0414055360969997	0.0560957524229886	-0.1180569960798165	0.1594935795130317	-0.0801206354913334	0.1759540029853382	-0.0683760795303746	-0.02200587817975	-0.0115997398321918	0.1120518169480555	-0.0320653646536957	-0.0016817637199229	-0.0479043661367005	0.0260749571309954
