label_id	Predicted Archetype_archetype_CFOR_classifications
1	1
2	3
3	1
4	1
5	2
6	1
7	1
8	1
9	2
10	2
11	2
12	2
13	2
14	1
15	2
16	1
17	1
18	1
19	2
20	1
21	1
22	2
23	2
24	1
25	1
26	1
27	1
28	1
29	2
30	2
31	2
32	2
33	1
34	1
35	2
36	1
37	1
38	1
39	2
40	1
41	1
42	2
43	1
44	2
45	1
46	1
47	1
48	2
49	1
50	1
51	3
52	2
53	1
54	2
55	1
56	2
57	3
58	1
59	2
60	2
61	2
62	1
63	2
64	4
65	2
66	2
67	1
68	3
69	2
70	1
71	2
72	2
73	2
74	1
75	2
76	2
77	1
78	2
79	4
80	1
81	4
82	2
83	1
84	1
85	2
86	4
87	2
88	2
89	2
90	2
91	2
92	2
93	2
94	2
95	2
96	2
97	3
98	1
99	2
100	1
101	1
102	4
103	1
104	1
105	2
106	1
107	2
108	2
109	3
110	4
111	2
112	2
113	4
114	2
115	2
116	2
117	2
118	1
119	2
120	2
121	1
122	2
123	2
124	4
125	4
126	2
127	4
128	3
129	1
130	4
131	1
132	2
133	2
134	2
135	4
136	1
137	1
138	1
139	3
140	4
141	2
142	4
143	1
144	3
145	3
146	3
147	3
