label_id	PC 1_NLStdTomato_CFOR_pca_predicted	PC 2_NLStdTomato_CFOR_pca_predicted	PC 3_NLStdTomato_CFOR_pca_predicted	PC 4_NLStdTomato_CFOR_pca_predicted	PC 5_NLStdTomato_CFOR_pca_predicted	PC 6_NLStdTomato_CFOR_pca_predicted	PC 7_NLStdTomato_CFOR_pca_predicted	PC 8_NLStdTomato_CFOR_pca_predicted	PC 9_NLStdTomato_CFOR_pca_predicted	PC 10_NLStdTomato_CFOR_pca_predicted	PC 11_NLStdTomato_CFOR_pca_predicted	PC 12_NLStdTomato_CFOR_pca_predicted	PC 13_NLStdTomato_CFOR_pca_predicted	PC 14_NLStdTomato_CFOR_pca_predicted	PC 15_NLStdTomato_CFOR_pca_predicted	PC 16_NLStdTomato_CFOR_pca_predicted	PC 17_NLStdTomato_CFOR_pca_predicted	PC 18_NLStdTomato_CFOR_pca_predicted	PC 19_NLStdTomato_CFOR_pca_predicted	PC 20_NLStdTomato_CFOR_pca_predicted
1	-4.4472249561230655	-1.3845772539484256	-0.482255770603731	0.6365435873544221	0.0786819598291934	0.1499726072899675	0.1440533239738154	-0.0482932240488016	-0.1717555589479742	0.1036522756364971	-0.1675585792962736	-0.0537366860679735	0.0836420642975774	0.0859591521105462	-0.014870314193956	-0.0098001270294888	-0.0677097159704724	0.0157171649378005	-0.0085864416433071	0.035744456714818
2	-2.4741632095936725	-0.6274625854265735	0.4718535896129061	-0.4312237801955072	0.0698800267649684	-0.2445466440104501	-0.0568071132409508	0.2272724394386473	-0.1108767112371935	-0.1547265981434905	0.2281937132043359	-0.0604291731424172	-0.0771002147895223	-0.0828580694401754	0.1272716356959697	0.0300003492846007	-0.0780226437025373	-0.0875094259928686	-0.0610312758427909	-0.0247978937343822
3	-5.611881210598862	-0.9117490764533972	-0.1284928951483754	-0.2826183084916487	0.1840791600136569	-0.2278776756743767	0.3042752579778869	0.8284153560332964	-0.0658886964135792	-0.0830100119188714	0.3148138619047664	-0.1230867996935263	0.1011943943788667	-0.0817321468951031	-0.0919633176269981	0.0561178558322787	0.0914741956928384	-0.1462593473882245	0.0790644919446443	0.0007606113958634
4	-5.916083919311397	-1.4958704590370009	0.6268300071512678	-0.5224027436201146	0.0135439718363113	0.1365566850154802	0.3754132902029541	0.0982273168697353	-0.154528749661983	0.0188096318458719	-0.1495775678820346	0.198478343417902	0.0535175437865799	0.1201787217582573	0.0244595594199328	-0.0398423315224864	-0.0063294673197557	-0.0096672022864238	0.1009491965641771	0.0553284580945578
5	-2.9153349585704755	-0.469459573336441	0.3123400113742695	-0.2699558353814386	-0.1577719765382636	-0.4041606087189472	-0.0097777683473609	0.4769967846137197	-0.139308423981387	-0.1261664799504377	0.3120350934717207	-0.0249333662984573	-0.0741740053188838	-0.0394470736292878	0.080158382755029	-0.0760187418675034	0.0141731603152187	-0.1417260033140378	0.0245096433332163	0.001393631517005
6	0.8412635028357386	0.5685201088469816	0.8479171128532258	-0.6464577006408248	-0.0719019321969182	-0.4226289200034629	-0.1025457021546151	0.1058682267548085	-0.1429654831146253	0.025422999522409	0.044566789078165	-0.0285266776472173	-0.0610867566211075	-0.076518088938908	0.0640713793446107	0.0298938214315868	-0.0497736942857565	-0.0679767261186725	-0.0593046257227464	0.0023360085511398
7	-3.0813421106518195	-0.3019075945147624	0.3491883628143804	-0.670861929129377	0.2683280346205707	-0.3267562510292882	0.0864661746897537	0.4519506180698299	-0.0205008959882211	-0.0717063062724407	0.2666325235551393	-0.0741497732164669	0.0270901745709125	-0.0775564548173436	-0.0435978589508899	0.0516249664993415	-0.0358093964806934	-0.0922513778591859	-0.0059493318054564	-0.0137160384783674
8	0.9302430438075904	0.7917805483167168	0.30161067514599	0.2450583228606562	-0.1714938409003513	-0.4129070442813246	-0.0251577083115236	0.2457454933395789	-0.0625009887367351	0.138863132141763	0.1490529642923371	-0.1409968860911054	0.0149221661494847	-0.0365850851482955	0.0521569757883924	0.0204704634128971	-0.055383886791891	-0.0867887626977959	-0.0160638520825279	0.0238279539221454
9	1.9078060272955268	0.5023084359048882	1.3704201508105902	-0.9119380599711548	-0.2268943542225372	0.0891834213233475	-0.1933522028796084	0.0117288394657387	-0.1730612805669333	0.1847607167892315	-0.2263990303611354	0.1799729310772845	-0.1593523389499975	0.0700724846307675	0.1117140775591764	-0.0675553112922125	-0.0591010207388159	0.0462293250023677	-0.1461389077551319	0.0676249328805596
10	-2.533930838125782	-0.6155340880353541	0.3755346644117797	-0.3179908544626226	0.0202086954986192	-0.0111603904549388	-0.2153119900221144	0.1659531083207731	-0.0794723886089796	-0.0208904191303218	0.0597520274263282	-0.0369653746611224	-0.1481682351337273	-0.0772433736629582	0.1066146319112493	-0.0299864333438805	-0.0306614564762694	-0.0281596161684165	-0.0797025749632804	0.0140752099105646
