label_id	Centroids RAW X	Centroids RAW Y	Centroids RAW Z	Centroids TFOR X	Centroids TFOR Y	Centroids TFOR Z	Longest Extension	Major Axis Length	Major/Medium Axis Eccentricity	Major/Minor Axis Eccentricity	Medium Axis Length	Medium/Minor Axis Eccentricity	Minor Axis Length	Orientation along X	Orientation along Y	Orientation along Z	Roundness (Smoothness)	Sphericity	Surface Area	Volume	X Axis Length	Y Axis Length	Y/X Aspect Ratio	Z Axis Length	Z/X Aspect Ratio	Z/Y Aspect Ratio
12	54.725123083095575	35.21479341119829	11.846578994293868	-80.62705440379705	-8.532321655872588	1.9725452681955011	9.816356434893873	16.961331262006837	0.8163426739540464	0.9399850124098212	9.79631988456825	0.8068324506959508	5.787473079176266	-0.2754801028607638	0.7900992780987222	0.5475891193912652	0.7955626336797479	0.7072483010953674	313.5859638101448	247.33803600000005	11.70692634434296	11.352566400963752	0.9697307446074056	11.68567986797845	0.9981851362398998	1.0293425693582747
13	44.15026934722832	37.81841734162182	12.007091308860192	-91.28472038428488	-6.506272053738197	1.0022709939664425	9.118753906131037	14.547357682475823	0.8370113165466384	0.923757529389974	7.960104311246146	0.7142360927201612	5.571315641255747	0.3720711241270821	0.6089023566693235	0.700571908253074	0.8177250772107745	0.6908014915831902	271.7304337689022	206.106944175	7.532083102224377	11.64781210960611	1.5464263938041622	12.332714224961457	1.6373576947550348	1.0588009240628546
14	40.72354565285789	40.10993981122181	11.160554535920294	-94.78936773707704	-5.049019216176776	-0.8154187799408105	10.380295062843397	14.66804904707988	0.7355143354540775	0.9263399381292584	9.937737593679849	0.8311886781506126	5.525287204047412	0.6941258241761613	0.524009902506751	0.4935615081087972	0.7904282931211521	0.7403858071754064	279.40920288351435	210.26820375000003	11.578962321764209	9.48489813365771	0.8191492354914719	11.14371501461949	0.9624105083815142	1.174890321180717
15	56.18055249420438	42.62488928267649	10.339151336746776	-79.42904315924926	-2.8408182285856145	-3.0744034667407245	9.919820036087009	16.706843829209546	0.8304481707772873	0.9408143319589956	9.30731410706392	0.7936508302845007	5.662323596146356	-0.366967625494103	0.450288218424573	0.8139872739713095	0.8269100937699284	0.6927532879718703	298.342881645484	264.44617155000003	11.475466441622444	8.80421723600786	0.7672208603281042	14.083219557471004	1.2272459362863046	1.5995992806575532
16	96.0904169426365	45.082207547297074	10.897168920513945	-39.62610985980953	0.7157549659927491	-4.565833934987713	7.478313550782264	10.672085587264874	0.1719641024372427	0.7691776315470844	10.833469434252535	0.7610454567971543	6.92296647814926	-0.6552806982463181	-0.2289396756819089	0.7198568131263885	0.8778625049423496	0.8546611308017887	312.55674512579424	326.95768462500007	9.728613711794855	9.784508661573549	1.0057454177372591	9.660125487684416	0.9929601250353474	0.9872877445162253
17	40.44606060120791	45.3833322886164	9.90277612554905	-95.24956417451182	-1.1294227767605054	-4.542704078279891	7.827993524846754	12.609337910019187	0.6072495575127695	0.8039258059137538	10.018259622557109	0.663080798448696	7.499146507071341	0.572522495447512	-0.0072132006049043	0.8198572814481719	0.8283941948668079	0.8493103627189966	294.35438588599663	289.18438560000004	9.852821911575532	8.238682916487184	0.8361749547921914	10.408636211562076	1.0564116864158022	1.2633859461604475
18	86.00839958805356	36.93289620033606	10.37680226570546	-49.42349191321374	-6.8814394168293616	-0.7418212215537151	8.639049642395406	14.27276563396341	0.4500086253826368	0.8953886697487055	12.7459252342886	0.8668169999426217	6.355454837676678	-0.3406307466580193	0.4405544342881369	-0.8305916474780252	0.829122129783252	0.7747617362777599	375.6625524117746	366.1577642250001	10.623732661559965	10.584904177519794	0.9963451184929886	13.85633140544914	1.3042808819527003	1.309065360731106
19	96.49687315212208	39.0145203351727	12.47122249472035	-39.00927144647026	-3.7280629906285	-0.1690542328513102	8.768919068930531	14.788629930341706	0.7303635349266223	0.9310809361006988	10.101501460357184	0.8454295789885383	5.39507969695281	-0.7531150471518647	0.247717201774247	0.6094701909844167	0.8738220362550997	0.7502152898155771	313.6362302365284	291.334479975	11.276975585614792	8.25630333036403	0.7321380868196601	13.598133236964587	1.2058315754723037	1.6470002000719892
20	67.92030278847056	31.194678527837763	12.132149563421276	-67.30131324673107	-11.483407031073872	3.990306256434595	7.563538385949576	11.403309544357406	0.3438087363908997	0.9103092032785084	12.143586239474166	0.8976052294546912	5.026581590046218	0.6328883835833927	0.52988166865603	0.5645154658178121	0.8606204799646462	0.7811149368274339	311.7963508831623	258.36636622500004	12.204449478474515	8.049910346099818	0.6595881576057792	10.387603631566543	0.8511325029357191	1.2903999156461836
21	60.24317346418298	42.452856833901215	12.053245057433742	-75.36019152945235	-2.012077504536442	-1.5810057235251436	9.159759495854	16.722991801312304	0.8252870027191048	0.934207122698056	9.443699616460645	0.7752107352846391	5.965610655677564	-0.4946118378642347	0.4173858406359489	0.7623307614685282	0.8530407351475094	0.7237325517918101	357.6354859031806	324.25407877500004	11.965568489750524	8.574394472447358	0.716588976093532	14.323465333773695	1.1970568173207066	1.6704929286610488
22	86.1955100985144	43.70234431150316	10.830052674187543	-49.46796003304322	-0.7964741034088773	-3.7479971522813713	8.391624206434805	14.90236424478324	0.7067402607333807	0.8489131956779853	10.543022004786527	0.6647448093815549	7.87638076599873	-0.0283626822287987	-0.1043965244824779	0.9941312407991048	0.8487679293926412	0.7995992520299642	392.3834249136081	419.4911308500001	11.65248543379758	8.189367513792382	0.7028000644428561	13.974889345129716	1.199305455005856	1.7064674801312147
23	99.76685198006192	36.43649355959926	10.926076396477695	-35.65525263488894	-6.6377206136794165	-0.2735070156920153	11.705231058977958	18.88258542640069	0.8422511075714428	0.9296726090224152	10.179326175446644	0.7300860807719247	6.95609536497184	-0.8603848278284582	0.1855077553586416	0.47468391666918	0.7755059086785294	0.7035381829980123	371.2738633925468	312.78690877500003	17.024920754198185	8.063520492015684	0.4736304273267936	10.48841977497772	0.6160627662476125	1.3007246382474154
24	36.25070685552408	41.923513427762046	11.600341746072626	-99.32107448837812	-3.389643827739981	-1.2613517347909788	8.982728621555983	14.195761796398344	0.8310369990054258	0.9194827904620791	7.895926019549973	0.7074206474775382	5.580783466631475	0.7470686787046731	0.2895659460005044	0.5983643975165025	0.8548554237479	0.7440721065091906	248.72737544544148	214.07221687500004	11.605820022774523	6.567660733269488	0.5658937257670313	11.177216618196791	0.9630699594051376	1.7018565775751626
