label_id	PC 1_lysotrackerdeepred_CFOR_pca_predicted	PC 2_lysotrackerdeepred_CFOR_pca_predicted	PC 3_lysotrackerdeepred_CFOR_pca_predicted	PC 4_lysotrackerdeepred_CFOR_pca_predicted	PC 5_lysotrackerdeepred_CFOR_pca_predicted	PC 6_lysotrackerdeepred_CFOR_pca_predicted	PC 7_lysotrackerdeepred_CFOR_pca_predicted	PC 8_lysotrackerdeepred_CFOR_pca_predicted	PC 9_lysotrackerdeepred_CFOR_pca_predicted	PC 10_lysotrackerdeepred_CFOR_pca_predicted	PC 11_lysotrackerdeepred_CFOR_pca_predicted	PC 12_lysotrackerdeepred_CFOR_pca_predicted	PC 13_lysotrackerdeepred_CFOR_pca_predicted	PC 14_lysotrackerdeepred_CFOR_pca_predicted	PC 15_lysotrackerdeepred_CFOR_pca_predicted	PC 16_lysotrackerdeepred_CFOR_pca_predicted	PC 17_lysotrackerdeepred_CFOR_pca_predicted	PC 18_lysotrackerdeepred_CFOR_pca_predicted	PC 19_lysotrackerdeepred_CFOR_pca_predicted	PC 20_lysotrackerdeepred_CFOR_pca_predicted
1	-0.6611453668347184	0.8127664421452222	0.1733061538127587	0.0080924316510339	-0.5512121986344052	-0.2474598210077453	0.0161200836358811	0.0936374024209327	-0.1794518882408906	0.0222836125867799	0.0141991885345335	0.1635002396450987	0.092196116974856	-0.3080373281920084	-0.0262825802535207	-0.0477106760020857	-0.0497936558613026	0.0267955295925101	0.0689108901187501	0.1260937792992065
2	0.2005943024712156	-0.4273464008858276	0.4909857713645243	0.192715855425846	-0.0393661007931599	0.1131286563058518	-0.1822059630606395	-0.0042522676719812	-0.0139437080046524	-0.2118261520859777	-0.0715597761683985	0.0805873634801701	-0.0828831889143228	0.0842164810829099	0.0897859629838438	-0.0598016010559928	-0.0468438815854271	-0.0289014760900551	0.0401780234052073	0.0227062806836181
3	-0.0331437022845842	-0.1156478201816259	0.4359287331753841	0.1134768830226931	-0.0789845563446522	0.2584661361034379	-0.1759393622837595	-0.0295142883984527	0.0849035105329	-0.2875576459558506	-0.0703057880925489	0.0787417964646933	-0.0586231799308554	0.15049736209348	0.0996525312575975	-0.0695460447955799	-0.0276774719848559	-0.0227995978100326	-5.577550217591615e-05	0.0050962698680877
4	-1.884404589715416	2.644881975488916	-0.0236722670727579	-0.7521424942148198	-0.8782583439404971	0.5524169719201337	-0.1431018128539718	-0.1582044118025763	0.1205518780000631	-0.2478103110394202	-0.0080501007481746	0.2499965931262381	0.1152151260061167	0.1357440566747586	0.0598916948534451	-0.0080125303199511	-0.0276346323850214	-0.0266971696555939	-0.0961920097924343	-0.0780928303444874
5	0.0164635660083182	0.3464027536242826	0.3934517713472425	0.1355046292415463	-0.3534446067562131	-0.1729513158642865	0.0215878439887017	0.0309255901073575	-0.1649994773057134	0.0090617272013265	-0.0169414786029647	0.1024528094100804	0.020190059218955	-0.1904573571728104	-0.0299667133512935	-0.0132584831604026	-0.0173082875664366	-0.0093840281568328	0.0484140460000993	0.0614726390518721
6	-1.9045028803853985	2.139372523671972	0.013430065312715	-0.6809362712396901	-0.4296693229083778	0.2451025084607601	-0.2030457961053587	-0.1363483989125599	-0.0442171236434919	-0.2286669555073139	-0.0347392999983239	0.2180117383999558	-0.0609750012472265	0.0436978753756244	0.0258836700288905	-0.0100656841627109	-0.0567490697113786	0.0370517569563938	-0.1023903558298604	-0.0746775501860323
7	1.3917045118706548	-1.4602850374840048	0.2988148255146989	0.5672142521668958	0.1578285862691482	-0.2645203893860078	0.0499744977022229	0.0241397872697859	-0.103938653088263	0.2366325796231982	0.0870307861744375	-0.039002929215588	0.0314961362894427	-0.1556549587214369	-0.0515112230700779	0.0373762356497755	0.004330474726634	-0.0273700870467105	0.1047145538064396	0.0428043331783298
8	-0.6294244383309426	1.3255180237793138	0.1890631467136999	-0.1976199428005344	-0.2868209225958956	-0.1157892037082456	-0.2028629675505009	-0.0720436188871055	-0.2175502304219096	-0.1493754895572869	-0.04488620512585	0.1844603958107955	-0.1222752104126639	-0.1636196156662076	-0.0130598968692878	-0.0008234964778155	-0.0790609101552805	-0.0601743187974319	0.0296796059254368	0.0752969833160335
9	-1.3123470921947162	1.8586962289111348	0.1380628267852999	-0.4062007439192588	-0.3292441408275416	0.0873035526052627	-0.3208214459342851	-0.1595859321190548	-0.1352916035001967	-0.2823243102544641	0.0016384193338045	0.2516018041972295	-0.1254254700780133	-0.0873699746706783	0.0141307237823572	-0.0148905451139162	-0.0896242736332178	-0.0169485908018704	-0.0308620983113766	0.0162017831537899
10	-1.6313394089468678	2.1014155059927715	-0.1377151758130851	-0.6460943666905288	-0.3329560691358897	0.144464181705004	-0.2881390678963342	-0.1864254065123504	-0.1128592427255549	-0.2098876599540413	0.0432715605225959	0.2281893002612111	-0.087337019558674	-0.0429414683614515	0.0089618205033032	0.0135745533139085	-0.0756566237784726	0.012676959196787	-0.0652795517388149	-0.0529810204209976
