label_id	feature 1_NLStdTomato_CFOR_raw_measured	feature 2_NLStdTomato_CFOR_raw_measured	feature 3_NLStdTomato_CFOR_raw_measured	feature 4_NLStdTomato_CFOR_raw_measured	feature 5_NLStdTomato_CFOR_raw_measured	feature 6_NLStdTomato_CFOR_raw_measured	feature 7_NLStdTomato_CFOR_raw_measured	feature 8_NLStdTomato_CFOR_raw_measured	feature 9_NLStdTomato_CFOR_raw_measured	feature 10_NLStdTomato_CFOR_raw_measured	feature 11_NLStdTomato_CFOR_raw_measured	feature 12_NLStdTomato_CFOR_raw_measured	feature 13_NLStdTomato_CFOR_raw_measured	feature 14_NLStdTomato_CFOR_raw_measured	feature 15_NLStdTomato_CFOR_raw_measured	feature 16_NLStdTomato_CFOR_raw_measured	feature 17_NLStdTomato_CFOR_raw_measured	feature 18_NLStdTomato_CFOR_raw_measured	feature 19_NLStdTomato_CFOR_raw_measured	feature 20_NLStdTomato_CFOR_raw_measured	feature 21	feature 22	feature 23	feature 24	feature 25	feature 26	feature 27	feature 28	feature 29	feature 30	feature 31	feature 32	feature 33	feature 34	feature 35	feature 36	feature 37	feature 38	feature 39	feature 40	feature 41	feature 42	feature 43	feature 44	feature 45	feature 46	feature 47	feature 48	feature 49	feature 50	feature 51	feature 52	feature 53	feature 54	feature 55	feature 56	feature 57	feature 58	feature 59	feature 60
1	-0.0613243329455097	0.0178265783997644	-0.1192665842643954	2.9167485299794915	2.1267339439985893	1.3517623301546673	0.3166399817670544	-0.181448694846937	0.0064198028596375	-0.3686985956675719	-0.7360962221988769	-0.9482914222220616	1.9538331817088816	1.1902765254633945	0.6216185783359127	1.0126558313431724	0.3245098705020125	0.0742516580333754	-5.613959726746101	-2.7351975179151244	-1.95192263061413	0.8299446631227944	-0.32284104515543	-0.8777434224948131	-0.0297687235658115	0.0900890505500547	-0.0031909787982348	0.0042979096258368	-0.017873418876017	-0.2044019546781195	2.3261904092617023	1.3519489558424285	-0.4820675350570107	1.6404455210479785	-0.0914704964829671	-0.2057376944827619	-0.0557908101222928	0.0144490617920727	-0.0254702072517398	0.4414182535890925	0.137685723174486	-0.6139153278365541	-1.9420281914805444	-1.439645400811958	-1.3502467814745789	-0.5571466580500835	0.0323355907743394	0.3379944349169893	1.1067923551765766	0.5771624599991911	-0.4728468285836548	0.2370893860202201	-0.3642706808637006	-0.8854425552329659	0.6299063703608234	0.3689688556586702	-0.7830584382058546	-1.0266686865565755	-0.1961773094982142	-0.146022612646919
2	-0.3049206621744698	0.0527625966930125	-0.045818894161987	2.546839150458234	1.94642631321695	1.3570266486776927	0.2516658597686267	-0.1635426028019748	0.1184949320933683	-0.5308984844374778	-0.8893092534419429	-0.8309213622912106	1.574248158541378	1.0132149134830508	0.6331447786462079	0.6187178345084962	0.1992164715880052	0.0873978954202052	-5.441838336361831	-2.582999836979774	-1.6726287221785916	0.7899200978854559	-0.3668051448119278	-0.7537009949213921	-0.065750904632446	-0.0181630457923784	-0.0439431341060697	0.0549429181801818	0.0482772347926529	-0.0734240338712923	1.9190366678831432	1.2185080038109048	-0.5936743206202005	1.389605953795619	-0.2958343625678924	-0.3140038243425188	-0.1441827028481075	0.0059078678383577	0.0612691778642721	0.2832163708990007	0.0649500477584541	-0.5036016521243156	-2.0460822672433907	-1.4459311819910203	-1.1563644137149771	-0.4613377359574628	0.3213266888933003	0.3456142966971848	0.7406135743790465	0.4771053778762928	-0.4932408894235719	0.3129720034049557	-0.4963322710465494	-0.7709287557243372	0.5253963527269732	0.3671053113080886	-0.653986338549885	-1.2457022980343375	-0.2785729580508023	-0.068628392943761
3	-0.4647648651719831	0.0216216827573156	0.0948047728708345	2.2597873042741687	1.7175460834059155	1.1906016634672292	0.2489128538849015	-0.298465580631191	-0.0790804148369326	-0.2610625739930636	-0.4248185854760362	-0.527161897288313	1.306536656087078	0.7735528063385335	0.4480213319142716	0.3856205628640713	-0.025508117908898	-0.0574300312567408	-5.719640206330342	-2.310821553914756	-1.3844172199148097	0.6624732407112212	-0.5038773406236836	-0.7322451875656979	-0.066336522335211	0.0871118311778578	0.0079896617152036	-0.0269378678977358	-0.1448184640251903	-0.1874252024362939	1.7321337423093164	0.9102554504047664	-0.5914485613371862	1.220031420271758	-0.404451902711782	-0.0154379335482388	-0.0852650610475924	0.0564980608308007	0.0398591333084753	0.276502667787145	-0.1299858603423012	-0.3513712234177255	-1.998436250935336	-1.051053000326544	-0.8366512288786416	-0.8792031051408464	0.0079878268999863	0.4734997434903669	0.6305176474905029	0.2551082635975484	-0.184485567151932	0.3423949070631571	-0.2357804125876592	-0.6610185443525323	0.3585298599247449	0.0938075068334644	-0.4037486528128423	-1.101327228440463	0.176188506661866	0.3715662332909617
4	-0.1892969879305659	-0.0263290407225691	-0.0978007532949087	2.8628482886847686	2.070747058371219	1.2739330120138008	0.433729684051346	-0.3348148969764067	-0.0384884511320755	-0.2085861278929912	-0.9854245753306456	-1.0111042620677009	1.906997281478425	1.1233299498048637	0.5449741137065052	0.980633047140138	0.2552491078902199	-0.0755559102180016	-5.43111237138525	-2.8106893661023147	-1.9307633672694904	0.995742045273184	-0.5176521270070138	-0.9778926864716168	0.0175040558870622	0.0360030155293129	-0.0532035549469995	0.2224076736634855	-0.0855194768596021	-0.2014612459964098	2.321372930560726	1.2785119533038642	-0.7159173135110855	1.7263977365383034	-0.168230906198177	-0.2713993154903565	-0.1214620198282186	-0.0017603845320885	0.0226685153047992	0.5198941238607813	-0.0799076487582729	-0.7078444757440543	-1.7511365061692452	-1.5415606165902949	-1.3098117073506403	-0.4249974201793329	0.2371884711333115	0.3883767183676042	1.1446485581648354	0.5416842613686775	-0.5342323387613089	0.5212928583494539	-0.6266479808843965	-0.9601489389585792	0.7486206609197361	0.29714371042346	-0.8160345350540936	-0.9769015277508712	-0.3381684157851736	-0.1597811675802543
5	-0.5479591905493624	-0.0470778516532295	0.1265837371220535	2.650742202065815	1.8790355219999848	1.1571530680170712	0.2549662055786501	-0.312167414797332	0.1700117103971496	-0.7964942919678968	-1.1313066389116662	-0.8910128689300074	1.6916898798015634	0.9425807079587708	0.4144286745673646	0.7474890077094491	0.1481726148303903	-0.0485578072652681	-6.221108616447191	-3.0245912751459745	-1.7998758695040695	0.8218327496605541	-0.5094703482499103	-0.7136002854432888	-0.0192172267601448	0.0266843299191067	-0.0321826556661853	0.0453197121362717	-0.1636368656875677	-0.0522238194370181	2.0971929478418376	1.1078658798532504	-0.7063559743018328	1.4790128758463907	-0.2627592831134967	0.0190515643420755	-0.0984167978311173	0.0980787317423607	0.0132892852705399	0.3762226201396385	-0.0321705462888485	-0.4248264467863333	-2.5298897740442	-1.754147707609629	-1.2122887134590237	-0.8647218024686176	-0.0574023140497345	0.209676230695557	0.937064742518731	0.4542964679976202	-0.25165089898358	0.20963413596772	-0.6534225399849558	-0.7620904069826802	0.4817543413415832	0.2498293106181196	-0.5711324394672858	-1.620004217252404	-0.5048676022203855	-0.0107852698459436
6	-0.4914735931726166	0.0310085354604479	0.1309667130746308	2.6142786765338912	1.848016817382264	1.1165623624728496	0.1796415864992362	-0.1684762910776971	0.1216910728718939	-0.7383493231847256	-1.070137644570381	-0.9625843943278976	1.6519291224371906	0.9051335527545612	0.3964474708597425	0.6898962619630278	0.1272735262461162	-0.0445064057730755	-6.206630901404036	-2.952336271821	-1.831343794664788	0.7695164990948297	-0.3558321986083808	-0.8470165203148055	-0.0969817208718755	0.0200138739766216	-0.0047058414341349	-0.0025258108198731	-0.0217242052563118	-0.1361093117459093	2.000428509592348	1.1947009412699194	-0.6661979397687173	1.3617937296772258	-0.1964773806895883	-0.226566867720506	-0.0226037811162948	0.0397741254060435	-0.0595662134385547	0.3249817705441297	0.1049153971348375	-0.5603224019880401	-2.5073883428397377	-1.6805416616475572	-1.2541575830738187	-1.001024056242696	0.0080623977508046	0.462320331416194	0.8193927892647676	0.5219121676903581	-0.4658573889903659	0.2827324550244259	-0.5687332943005217	-0.8586696507572837	0.4108002077453576	0.3125777658380599	-0.7612227453181354	-1.6042790987785285	-0.4340002342097539	-0.0425646053805246
7	-0.0694777344809252	-0.0357355675955259	-0.0032642435751779	2.895919333717756	2.202662432912293	1.5160041351542026	0.5073223521207787	-0.2805214203763106	-0.0983471738786771	0.5072828832088092	-0.5163859583144492	-0.5048847981191065	1.9426686855306647	1.2586691558449106	0.7734238036012449	1.0141353146267509	0.3968203025374258	0.1419404462400364	-4.179394629467122	-2.041195073936605	-1.223087438196019	1.0312271278601135	-0.6922192357136098	-0.8689646849194566	-0.0830563162609784	0.0331392639139048	-0.0242090383050025	0.1968730525189327	-0.3257404639182575	-0.1402931179231235	2.336234094760638	1.362208090195305	-0.6318310270574221	1.7508136719004948	-0.2512973939613963	-0.4361647073764819	-0.0672419858635086	0.0301389075639773	-0.0002838572440522	0.6804628274443978	-0.1438439337718057	-0.5213251392016137	-0.640217976392587	-0.8486948769149598	-0.6868746807360768	-0.3420121270429297	0.1606012439206321	0.3755319406948605	1.1610135930470389	0.5482325991364604	-0.5644128108803169	0.626609892813019	-0.6144038903488871	-0.7486327284553975	0.8906533334954567	0.2850407733146116	-0.6715462073918228	-0.2027658007879034	-0.0088693225065732	0.1926886016750348
8	-0.1888523407563229	0.021899732575312	0.0243681978322556	2.612563830123964	1.9969911207859128	1.381244245203076	0.245853191673446	-0.2061362196139924	0.0052781422152013	-0.3896140676544242	-0.6250018268980102	-0.8749234956587622	1.6466965098236144	1.0580708861139057	0.6574634666459191	0.6872090465500774	0.2172408498749451	0.1307136834968281	-5.795670415421751	-2.5570047079466853	-1.7600570312217687	0.7223007543257094	-0.1981731800813955	-0.9141419350688887	-0.0323191627285904	0.0149031860915834	0.0267191273663116	0.0391454844264121	0.0300366024920046	-0.2132640822260619	1.977561398385813	1.2266489057815304	-0.4579860383830569	1.3909415403817418	-0.3211923809598208	-0.1812173848492169	-0.053798760836875	0.0381481222185711	-0.0046568299651865	0.3595637132381508	0.0631810439086933	-0.5945582248682116	-2.09430418505952	-1.269624116830426	-1.1979765076753508	-0.7056686559478291	-0.0621119127189455	0.3293296857803014	0.7791965400612542	0.4272871479258425	-0.4107376125726331	0.5063118514472391	-0.0996899427111137	-0.8034891792377228	0.4688893280795789	0.2347109804457103	-0.6932572257660983	-1.1698822487318297	-0.1075014710351545	0.005066841764111
9	-0.0773113440221695	0.0010991642519131	0.0381939011491032	2.9817812371346157	2.219460826255716	1.505202205671783	0.6255053276026893	-0.2615209770179701	-0.0165114659095268	0.2452558990848143	-0.5509167825699595	-0.6246030978141182	2.0285305889475245	1.2754675491883334	0.7626218741188255	1.096616233733233	0.4131117147053114	0.1508194731502337	-3.960035088773168	-1.6604775831840712	-0.9270166978005911	1.1804657680719113	-0.4519672687794511	-0.9344030092454056	-0.0166065029164712	0.0622738338089012	-0.0279882367106881	0.2471347762951518	-0.1701437263774152	-0.2357866092556317	2.416112556833373	1.3956681293536422	-0.6298394320949284	1.8169058974310657	-0.2739231936222487	-0.4275886203124083	-0.0801672490399772	-0.0466930738305545	-0.0398713867208855	0.7069083572892878	-0.103204109986795	-0.7266249491029254	-0.5068016447516284	-0.5251443822162725	-0.4646260990372619	-0.3193314112924399	0.1867689014955965	0.4483799767837099	1.2289250774597351	0.6250959739302948	-0.5883818769288665	0.7604474413981892	-0.3677293683978451	-0.7315376600555719	0.9391241070027252	0.3166036034050069	-0.773412434202126	-0.4881349903271408	-0.0926489270041814	0.0897742184708338
10	-0.1384687492196015	0.0787487104466102	0.0279278743882769	2.4064660692816453	1.8094259126567525	1.3676701115475804	0.2891300775740065	-0.2758133552415667	0.0505936010662489	-0.2116193334599154	-0.7814916681917129	-0.7426576542057692	1.4403890866416382	0.8718150790506067	0.6408093936458976	0.4965288224832767	0.0242052506939951	0.0853683736601522	-5.279273218299631	-2.7071433374206424	-1.8913826798382616	0.5828388868980324	-0.2216521775462996	-0.5609995403867458	-0.037334897160136	0.0375550531601431	-0.044445648995759	0.0852348759167253	-0.0824324501686302	-0.0309804105988087	1.7580976757763978	1.0782109843607472	-0.4709145356457775	1.1583570959375151	-0.3687381362474129	-0.1867924090653127	-0.0605613116810894	0.0753981116481383	0.0168824932460681	0.0175217197545271	0.0223902545747914	-0.3826367392936547	-1.6667997938304948	-1.40575873329038	-1.2058358535039455	-0.3388355434717389	0.1071902516463071	0.2223406349995478	0.5649884940475107	0.3248936951066701	-0.384999945527858	0.2094004580956718	-0.4432295411383835	-0.6186772313343625	0.3497257529226458	0.2540221294137724	-0.5113450136897919	-0.645530710284866	-0.2003196846541589	-0.1787331372087155
