label_id	PC 1_mKate2rab5_CFOR_pca_predicted	PC 2_mKate2rab5_CFOR_pca_predicted	PC 3_mKate2rab5_CFOR_pca_predicted	PC 4_mKate2rab5_CFOR_pca_predicted	PC 5_mKate2rab5_CFOR_pca_predicted	PC 6_mKate2rab5_CFOR_pca_predicted	PC 7_mKate2rab5_CFOR_pca_predicted	PC 8_mKate2rab5_CFOR_pca_predicted	PC 9_mKate2rab5_CFOR_pca_predicted	PC 10_mKate2rab5_CFOR_pca_predicted	PC 11_mKate2rab5_CFOR_pca_predicted	PC 12_mKate2rab5_CFOR_pca_predicted	PC 13_mKate2rab5_CFOR_pca_predicted	PC 14_mKate2rab5_CFOR_pca_predicted	PC 15_mKate2rab5_CFOR_pca_predicted	PC 16_mKate2rab5_CFOR_pca_predicted	PC 17_mKate2rab5_CFOR_pca_predicted	PC 18_mKate2rab5_CFOR_pca_predicted	PC 19_mKate2rab5_CFOR_pca_predicted	PC 20_mKate2rab5_CFOR_pca_predicted
1	0.0779759386265596	-0.387101780127251	0.0491385991142584	0.0016755250054628	0.2302336876784669	-0.1869391858070316	0.0431137695647352	-0.1658072760671302	0.0631889477379905	0.0284282566997476	0.0494646428603436	-0.0976901246171939	-0.0540519269621813	-0.0451241506945241	-0.0361270362175639	0.0172135887999179	-0.0006670334528037	-0.0185471266220277	0.0634870062416315	-0.0119470075487957
2	0.3266682949178553	1.3666221222296264	0.1316743160877421	-0.0057640312232844	0.0807114383929993	0.5902411993766028	-0.0638065289217813	0.1223003484212409	0.0312964917854335	-0.0513696438550712	0.0344058124967404	0.0161223564186105	0.0517189872187187	-0.1579005387793343	0.1386422235061896	-0.1080167585753841	-0.021436286651921	-0.0445858392174672	-0.0417116890742396	-0.0007592648882469
3	0.3175224682203865	0.0501742059731867	0.2039125532717349	0.2327452307551579	-0.0740274426498415	-0.3618124273330904	-0.3008382359860208	-0.0544880935066576	-0.0951771744356403	-0.0152127571851105	-0.023101573371882	0.0389473712645528	-0.0203137761920641	-0.0456256577776214	0.0079795285668111	-0.0701051222174609	-0.0476538578514599	-0.0459699010721405	-0.0435224266448217	-0.0056648135598832
4	-0.5164104348889119	-1.2422269469461942	-0.1218369098836371	0.0481996397232202	-0.0383010080461178	-0.6469349734939654	-0.0273959509610013	-0.1827483757473115	0.0086181030442551	0.0689144654662569	0.0134780004468532	-0.0331538946156028	-0.060369954842424	0.1254954933853183	-0.1352384748008582	0.0872506471923969	0.0193426945852199	0.0215764152261665	0.053404167203097	0.0027017039698609
5	0.1265754921342363	1.0406509992348192	0.1395806793726393	-0.0659012349342206	0.217102431349781	0.5295064846063183	-0.0022172492935749	0.1034924456544605	0.0714841622598047	-0.0091777892246915	0.0103213538337726	-0.0294754884705385	0.0842751669062105	-0.1615378168639946	0.1363388446092309	-0.0794964304010832	-0.0321293568874073	-0.0475778730483186	-0.0163513099331437	0.0098280050533169
6	0.5930407837973488	1.4931907172035883	0.4451572507980758	0.1313233700223531	0.0639792821944771	0.3376170513136921	-0.2254191471098044	0.1886496206253063	-0.0715723011285485	-0.0534699446252423	-0.0070935696616937	0.0702927701498977	0.0992171826936623	-0.1787929620127029	0.1604760631043292	-0.1731216669667828	-0.091123984117443	-0.0687523676776831	-0.0908515049022639	-0.0093545462265603
7	0.7267103137661304	0.0277761743754516	0.4110106263472563	0.307445332547385	0.0334828282367164	-0.5032473707353595	-0.3079565483096684	-0.0960358773630453	-0.1297592289835738	-0.0358074919365783	-0.0020320244601472	0.0220312105716982	-0.0459906495935116	-0.0806011906216558	-0.0025388463586727	-0.099707248205343	-0.0728669867727831	-0.0605125779638569	-0.0338674357952557	-0.0248225571487789
8	0.4563259737952708	1.017724173934713	0.0772834598042172	0.0772941107994233	-0.060972146444387	0.3942561256931975	-0.066505619309987	0.0739519820616772	-0.0239899191066589	-0.0920494230005574	0.0537194870049727	0.0499563772461608	-0.0157667547466351	-0.0804109311584421	0.070235974541669	-0.0840351294443854	0.0101771505426242	-0.0221260878982026	-0.0374453229937781	-0.0080244763232623
9	0.3812760586319307	0.7404457645554793	0.4195648560355023	0.1564983286284604	0.1288233924163292	0.0070423995962978	-0.1703780223344254	0.0759768848171246	-0.0544325384945875	-0.0322414363341549	0.0201846070422034	0.0341952188805804	0.0602468837570193	-0.1122815542466825	0.0774484758301712	-0.1189686906484119	-0.0718548688014042	-0.056757043510027	-0.0403226084340451	-0.0067638765420165
10	0.6135133054497073	-0.3916262210616983	-0.0065244301195043	0.1637307061396813	-0.2474429925752821	-0.2797712550898537	-0.0004909177005484	-0.0620594870769951	-0.1336775733089283	-0.0991669534190176	0.0262363153839961	0.067299566629164	-0.1307731535890768	0.1051940327926069	-0.1023216963469633	0.0157436714802489	0.041898595128648	0.0369177747479829	-0.0077768237316783	-0.0276816823004218
