label_id	Centroids RAW X	Centroids RAW Y	Centroids RAW Z	Centroids TFOR X	Centroids TFOR Y	Centroids TFOR Z	Longest Extension	Major Axis Length	Major/Medium Axis Eccentricity	Major/Minor Axis Eccentricity	Medium Axis Length	Medium/Minor Axis Eccentricity	Minor Axis Length	Orientation along X	Orientation along Y	Orientation along Z	Roundness (Smoothness)	Sphericity	Surface Area	Volume	X Axis Length	Y Axis Length	Y/X Aspect Ratio	Z Axis Length	Z/X Aspect Ratio	Z/Y Aspect Ratio
6	97.61352757158006	40.228905152517	8.732894080219575	-56.01523531673925	2.3550229013166604	-3.4190637953456835	8.08636807464114	12.292526785151287	0.7221877308736238	0.8500254470737484	8.502705157637601	0.6481406516661518	6.474985532059683	-0.0100618868821023	-0.5703478702240447	0.8213416252469301	0.8290764627645313	0.7982481643737118	239.13161227181672	212.11177185000003	8.736530804281713	8.475550840596336	0.9701277349634624	11.350740713837462	1.299227458601135	1.3392333934768572
7	91.43338683718515	41.979511157397866	9.59053042959003	-62.069327446123346	3.8021285834184235	-1.6168000458428744	8.176009355162495	12.2495395009168	0.5955689797806092	0.8363823096101495	9.840106167641448	0.7310117575844888	6.714542725946307	0.4814442931071136	-0.6116536164719789	0.6277668724067405	0.8649528209022544	0.8120806236485276	306.53376996726206	310.206795525	9.581226774083019	9.223793957601943	0.9626944623158358	10.762481867497046	1.1232885016988945	1.1668172464571338
8	99.77341933110323	44.39287571791605	9.819575518296213	-53.621176194989346	5.683565955929554	-0.8943971073687655	8.88433533491482	14.593382404767599	0.7555615922329165	0.8835016974174552	9.55979812566556	0.6990503458754893	6.835948301866522	-0.3400659488271519	-0.7895535782456983	0.5108427326758237	0.850156205839016	0.7832779586120293	324.7442946449892	323.68072027500006	10.236777207011642	11.30730807605091	1.104576943249875	11.168176395546658	1.0909855875242709	0.9876954196729691
9	94.92470914150287	37.17025510841754	9.226880947046963	-58.826466739584255	-0.5695231684144343	-4.0298958835823395	7.6996581307475935	12.314141169731851	0.7859427336538559	0.9086289504405034	7.613824815916632	0.7374441042564979	5.142439468678917	0.0758559037072687	-0.1401221816575909	0.9872242177338796	0.8633798132680983	0.8013004924617348	211.8938230760067	187.027337475	6.934341819377153	7.1727076638968565	1.0343746891527066	11.551064985023865	1.6657766931456788	1.6104190392653326
10	90.87685646566277	36.66304122493079	11.268460058072794	-62.81591116731105	-1.7255464967985914	-2.1435327961052937	7.228719961304918	12.99839746219134	0.8081882223140509	0.8387387469376347	7.655071753341128	0.3808790223505135	7.078069808023484	0.6108860299531566	-0.2146955060398491	0.7620525559922782	0.8965811521861804	0.816533457603072	313.4521232153541	326.5717702500001	8.718530579519964	8.36914087715356	0.9599256205871288	11.723629256888481	1.344679490420962	1.4008163357474537
11	85.39897467132326	38.975304464630526	9.864671029433989	-68.22560169534938	1.1120291701239366	-2.2317745361771646	8.871582865294073	14.227402811102026	0.7893523090475177	0.8894955576904521	8.734778733687808	0.667867375134124	6.5011237613599375	0.670724279609734	-0.2568639476068337	0.6958087762897482	0.8359961046282964	0.7925650231894931	284.7971109914403	262.67317065000003	11.373312173330653	8.325922390679679	0.7320578441698966	10.895714901251424	0.9580071957227071	1.3086495873956812
12	57.33633792059253	40.66899912240942	11.120174698388514	-96.11060828717274	2.9866121165965964	1.0650146003576133	7.47232658151351	13.773049093069925	0.8223208713649051	0.9033352157307996	7.837196357797773	0.6570939252707789	5.907746887406829	-0.6082050248982863	-0.5034126806006415	0.613728214032035	0.8510461031861103	0.7237077124745458	282.9635851430122	228.66639592500005	10.655477693083824	7.084112997236532	0.6648329808652909	11.450231338148775	1.0745863928353776	1.6163253384884515
13	43.08585659637495	39.30905622982088	8.101587157820708	-110.51115229017029	3.348672822658128	-1.4905240602586711	7.629905425137272	11.639015681898966	0.7013353369867685	0.8594063494014003	8.296656988285994	0.6967945587733071	5.950949461786967	0.2569545324125696	-0.3208610173934002	0.9116043965393704	0.8325541391570496	0.7917628824526118	258.27112918573584	206.95375057500004	8.596714274155559	6.567082342288277	0.7639060846806323	11.53087632358374	1.3413120357215085	1.755859866311018
14	93.97143655928177	46.637839830340646	10.525868513995244	-59.279856793324214	7.633310000166304	0.9439580798441792	8.755103125939678	13.43089529293612	0.5943958713044755	0.8241257546775426	10.800757800869665	0.7098677767581613	7.607351341571407	0.1254889049292872	-0.9252327773827156	0.358045866330439	0.8675692275318089	0.8277863985127271	346.88442449416425	400.85697960000016	10.589312663776326	13.051498046295727	1.232516071693868	10.228783144264384	0.9659534541136716	0.7837248343432512
15	100.35317569467293	48.63234715700058	10.46945196362875	-52.81688922313576	9.300376137978931	1.3424268669398	6.141200674213108	10.961615589351261	0.7680273079454498	0.9100854460134754	7.0200060009578715	0.7623961817195009	4.542719934401619	0.6707278967803727	0.2595031929439623	-0.6948252883512994	0.8704113936297789	0.7657498724794158	192.8839491248927	147.45457485000003	7.921712775523673	7.97574857234426	1.0068212264634924	8.816702062280347	1.112979264979411	1.1054388164707292
16	57.35085072042118	36.60134483236354	11.323867414796345	-96.28208904643728	-0.8277859388483193	-0.3521920152158784	8.11062674097876	14.60923707009096	0.7301197291148551	0.9384402575532176	9.982772743953477	0.8628062822659491	5.046637889789334	-0.7136991169464392	-0.033551996737775	0.6996483645266252	0.8697258095684949	0.7560485950463052	321.0386099841177	286.51165290000006	12.840841111707633	6.460923447008491	0.5031542241510757	12.476698184317314	0.9716418165895448	1.9311013799574153
17	25.83237114329127	37.88082269217651	9.985907314955504	-127.73191099782049	1.7941657557535151	0.5836627886632861	6.599655410951894	11.593731093066951	0.7158593581745685	0.8283155272330538	8.095258949737168	0.5968048754596801	6.495525714614957	0.8636800149737176	-0.147688242909903	0.4819180580152444	0.8412849008732319	0.7996632878432295	250.2529968572072	213.34890307500004	11.958000760531267	8.188055633795766	0.6847344968250355	7.028126117792617	0.5877342089649086	0.8583388330661065
18	86.43393332678711	44.271272486252954	10.353777985074627	-66.92260856054196	5.7489010803852825	0.2500131455347316	6.434304650295626	10.37891449914652	0.3205563185228542	0.8589956112073297	9.831213558679618	0.8413403335999867	5.313827251270924	0.7244951506057047	0.4513270120452095	-0.5209709252416688	0.8612104612518455	0.8083506685550069	247.78224188278992	202.12210260000003	9.379360537407683	9.129695047092998	0.9733813953180552	8.249762880264749	0.8795656001666889	0.9036186682808832
