label_id	feature 1_mKate2GM130_CFOR_pca_measured	feature 2_mKate2GM130_CFOR_pca_measured	feature 3_mKate2GM130_CFOR_pca_measured	feature 4_mKate2GM130_CFOR_pca_measured	feature 5_mKate2GM130_CFOR_pca_measured	feature 6_mKate2GM130_CFOR_pca_measured	feature 7_mKate2GM130_CFOR_pca_measured	feature 8_mKate2GM130_CFOR_pca_measured	feature 9_mKate2GM130_CFOR_pca_measured	feature 10_mKate2GM130_CFOR_pca_measured	feature 11_mKate2GM130_CFOR_pca_measured	feature 12_mKate2GM130_CFOR_pca_measured	feature 13_mKate2GM130_CFOR_pca_measured	feature 14_mKate2GM130_CFOR_pca_measured	feature 15_mKate2GM130_CFOR_pca_measured	feature 16_mKate2GM130_CFOR_pca_measured	feature 17_mKate2GM130_CFOR_pca_measured	feature 18_mKate2GM130_CFOR_pca_measured	feature 19_mKate2GM130_CFOR_pca_measured	feature 20_mKate2GM130_CFOR_pca_measured
1	-4.167393583543247	2.0285594073262736	0.8287486282931593	0.4165299730849765	-1.3452715974210367	0.8873777217268105	-0.310177924509705	-1.2301082234267682	1.0827156231408386	0.3984021527653008	0.3277536503794097	0.1702110275359928	-0.0834616186669966	-0.2045069292837296	0.6650347200701555	0.0368024514981845	-0.5908513510376593	-0.255935124621392	0.0015218243962942	-0.3050545650452351
2	-5.16580846621099	1.9502167940731912	-2.0299927246504987	3.326121210850693	-0.7808716682634119	-0.6078205310972715	0.0137460493906922	-0.1309908119848667	0.7266365122172752	-0.0701559317760081	-0.3694219479489937	-0.3368131684325792	0.18704855744452	0.2342035518510262	-0.2101382084090999	0.6451597394544553	-0.3249852445062492	-0.0415673845619542	0.217417257211061	0.1893093810965669
3	-5.935634301659713	1.4078470893500907	-1.882344599171032	3.513883675612901	0.2152085952975843	-0.5697632663136547	-0.0181678079987336	-0.2506313908753035	0.3878886487394803	-0.2329621456306051	-0.8613124510960871	-0.627579543534421	0.8944145743612704	0.1958859896097105	-0.1687525848289256	0.0553912505757491	-0.1847744707421074	-0.0257951739286782	0.2954486076065779	0.218340578083546
4	-5.6844157651133305	1.0458268710176308	-1.2287195210741295	2.7710551984469096	0.4561726844806685	-0.7778663200729291	0.6957028087770193	-0.4222972250095577	0.0266026942580989	0.0094315915960302	-0.0968797802989648	-0.4972879055775507	0.4194781582684642	-0.4563379669340348	0.364875599553046	0.7360864878863562	0.5152880547785633	-0.147124747347924	0.0575596345496622	-0.206524702357091
5	-3.735548435547978	0.8415820432206749	-2.1942712231365813	3.083832216661944	-1.1594545866953183	-0.0973505195564872	0.7318599712149564	-0.3660736617899524	0.4184534188958082	-0.1787071330309356	-0.0323154911054284	-0.3175424467253016	-0.3285713932385369	0.3215026123617918	-0.146104519717216	0.6425757157775842	0.4817576627349342	-0.0097171404045066	-0.1557410591133953	0.2107014709108688
6	-4.651293668024159	1.5234512011231611	-1.6500069098283214	4.023995689445297	-0.7774469173380785	-0.3301215682671512	0.6166484891410406	-0.6886101965584718	0.0867649765771896	0.1666904461168895	-0.5433042722480007	-0.6877488802225638	0.7251557365734308	0.3285295632400223	-0.0245771987614885	0.4897883907112081	0.0802309610643525	0.3909925390607917	-0.0154286836766522	-0.2460875861893133
7	-5.544054835915365	0.5630313729678492	-2.9949812770313344	2.799218725614704	-0.3657744941145403	0.0275556200478355	0.7564251302364242	-0.168452757354384	-0.1371425619720034	-0.5258348121473567	-1.5996047228438364	-0.6053322784841314	0.298014183122719	-0.4948266965188505	0.1375802043381741	0.6454095204062085	-0.2406029426151467	-0.1094518318422379	0.265163292335387	-0.0714966826919204
8	-5.725605784340779	0.8410962955105539	-2.3500780451069927	2.11743405679603	0.733046929242305	-1.1333890527404908	0.4245000143167823	-0.8658470465482709	-0.1637721970691217	0.1932997651537167	-0.4253267701274464	-0.6170531289339044	1.1003867255002822	0.3780661153171835	-0.1942984368409521	0.0559095620226279	-0.4887269344685196	-0.3075616410934749	0.2775245399743186	0.0361819009023802
9	-4.347864991315587	2.469647735220552	1.0426810806930198	1.3180637003297782	-2.2620411593032794	1.1403811534679893	-0.2612992903206812	-0.5785606909210949	0.7618506373786809	0.0234287751712777	-0.420808097320852	-0.3838636299654592	0.3227128671033072	-0.1259386862157067	-0.265668836222271	0.4187982731304363	-0.2090979006289794	0.0040923592082964	0.1845435786350411	0.1207449674613771
10	-6.1393075018014125	2.003771293546276	-0.8152954981470641	3.294628176193368	-0.9345018255268376	0.1016803962163207	0.215209960471905	-0.5207363379365436	0.1456442881285888	0.8937363004840719	-0.5676406830989169	-0.1541420092825498	0.9916253749065842	0.0795249802182958	0.1443588461858464	-0.1786439310080279	0.1899833012476088	0.6905055113670044	0.3320324497819764	-0.6672675306766787
