label_id	PC 1_b4galT1tagRFPt_CFOR_pca_predicted	PC 2_b4galT1tagRFPt_CFOR_pca_predicted	PC 3_b4galT1tagRFPt_CFOR_pca_predicted	PC 4_b4galT1tagRFPt_CFOR_pca_predicted	PC 5_b4galT1tagRFPt_CFOR_pca_predicted	PC 6_b4galT1tagRFPt_CFOR_pca_predicted	PC 7_b4galT1tagRFPt_CFOR_pca_predicted	PC 8_b4galT1tagRFPt_CFOR_pca_predicted	PC 9_b4galT1tagRFPt_CFOR_pca_predicted	PC 10_b4galT1tagRFPt_CFOR_pca_predicted	PC 11_b4galT1tagRFPt_CFOR_pca_predicted	PC 12_b4galT1tagRFPt_CFOR_pca_predicted	PC 13_b4galT1tagRFPt_CFOR_pca_predicted	PC 14_b4galT1tagRFPt_CFOR_pca_predicted	PC 15_b4galT1tagRFPt_CFOR_pca_predicted	PC 16_b4galT1tagRFPt_CFOR_pca_predicted	PC 17_b4galT1tagRFPt_CFOR_pca_predicted	PC 18_b4galT1tagRFPt_CFOR_pca_predicted	PC 19_b4galT1tagRFPt_CFOR_pca_predicted	PC 20_b4galT1tagRFPt_CFOR_pca_predicted
1	-0.6943502478025517	0.3722464276158005	0.4289848263046846	-0.1659895979704748	-0.4529575619393661	0.2821015129062579	-0.4184267091756573	-0.1341248434085972	-0.0567624800012998	0.1045540736787113	-0.0484127424685906	0.283669758246568	-0.0860502244524819	-0.0562059538662631	-0.0358257427140182	0.140098409957501	0.0720941079078619	-0.0231741098431959	-0.0166489581155631	-0.0745334338420128
2	-2.5861667138602544	4.5384968203110185	2.14780333334626	-0.0141543067133208	-0.2190691225861963	1.4320191624882388	-0.4496800135324898	0.1568903439197733	-0.329397969974443	0.0347552647167632	0.2067008230835685	0.107439556353579	-0.0714703302654267	0.0046808508494379	-0.0020395127930879	0.0534413959582723	-0.1537555232756061	-0.0580667087576889	0.1570799963122486	0.043917906867062
3	-0.641602980499263	-0.0217456722921752	0.3223696832616616	-0.0374986615427015	-0.4552866325418972	0.7407550365508049	-0.238866119787813	-0.3265674285699002	-0.1667318046835944	0.1778950191200287	0.0537837297035653	0.1650172034334412	-0.0452421402406019	-0.0181805606691439	0.0716652234865195	0.1052899452805241	-0.0486271667810011	-0.02677532862336	0.0213079663796297	-0.0468108798487674
4	-0.8742039902547029	-0.0927446378290399	0.3564348883824372	-0.0653026718934024	-0.5919127852240895	0.7573957935936185	-0.3825294135561821	-0.3591505019419013	-0.2141916467282323	0.1975223291501535	0.0393012266763275	0.2483227522002225	-0.0950468378953482	-0.0490525093778892	0.0574029625246385	0.1625716124726157	-0.0267938140705807	-0.034788535082237	0.0166396305179884	-0.0716679098324045
5	-1.6700562940131891	3.4214325866553423	1.4845546220551191	-0.0128138421244611	0.3983477373871721	0.5901303643216661	-0.0050412211291656	0.6333136270585622	-0.360354481326075	-0.1441622580030675	0.0851910972534129	-0.2641153153772018	-0.0676970558748851	0.1013476779238837	-0.0405455150076315	-0.1462307289754802	-0.063795078530388	-0.1060895109596508	0.17739430159768	0.1135028294216316
6	0.0842792944720564	-1.3047084059267997	-0.2184391869788256	-0.0395258299381152	-0.4204115340042907	0.5210010336152768	-0.0753430496900209	-0.4431323546927246	-0.0631238623979786	0.1928382499547151	0.0208572252858516	0.1307648166734849	0.0027893706296703	0.0003940898490162	0.1027869005747046	0.0784491545781247	-0.020844300842545	-0.0056160833774608	-0.0235128271824506	-0.0579952692297568
7	-0.6748565469274305	2.078645927967107	0.919249837195626	-0.0997112072418748	-0.2018849808215791	0.525259184936855	-0.2326884771681734	-0.0972668503439981	0.132272955413661	0.0511194487667159	0.0638218751583328	0.2030723784095778	0.0668030552815423	-0.0219965144952734	-0.0269615639735866	0.0568696183097877	-0.0337363775663967	0.0298319223011731	-0.0027394372873949	-0.0137582158225984
8	-1.922501736413328	5.207488064518933	2.1047831230064333	-0.1848909955198669	0.3161590315867584	0.3788548591214651	-0.3047391577768954	0.7346952356422041	-0.0579332398675309	-0.2037336604952389	0.0453681830292387	0.0046133349819862	-0.0182505416889148	0.03850944653145	-0.1705560688973576	-0.0720108572886764	0.0188367351685817	-0.0540317272364694	0.1136254930968664	0.0730529217063431
9	-0.4011421324744879	0.9535515971068084	0.3622129479192508	-0.061780985608984	-0.2265244561650421	0.0663776735970007	-0.2789924291160491	-0.1004795429297748	0.1087454616976809	0.0221634944720869	0.0073127547873722	0.2275369744873988	-0.0054994730868973	-0.0780752306272692	-0.0566985744551486	0.1122427642187184	0.0110047163448714	0.0350871036700365	-0.0314659352722098	-0.0362590319480444
10	-1.3460894974948063	1.443627514739821	0.9024936199729588	-0.0023803665556115	-0.3266913910031327	0.943117467202531	-0.276273824738575	-0.1105962432994478	-0.2794192760650533	0.116016212456283	0.1006051906763437	0.0924985423465672	-0.0774426814077536	-0.0029634883904433	0.0494970877978573	0.0697614037498865	-0.0867375029954128	-0.0495380004096109	0.0841292711575101	-0.0026288969881834
